ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv
300118.SZ,20210528,13.5,4.4123,6.237,1.25,1.4316,0.7575,0.7393,90135.9941,89944.5941,63629.867999999995,1216835.9204,1214252.0204
300118.SZ,20210527,13.24,2.7456,3.8810000000000002,0.82,1.4040000000000001,0.7429,0.7251,90135.9941,89944.5941,63629.867999999995,1193400.5619,1190866.4259
300118.SZ,20210526,13.11,2.677,3.7841,0.81,1.3902,0.7356,0.718,90135.9941,89944.5941,63629.867999999995,1181682.8827,1179173.6287
300118.SZ,20210525,12.99,2.5155,3.5559,0.79,1.3775,0.7289,0.7114,90135.9941,89944.5941,63629.867999999995,1170866.5634,1168380.2774
300118.SZ,20210524,12.98,3.1469,4.4483,1.03,1.3764,0.7283,0.7108,90135.9941,89944.5941,63629.867999999995,1169965.2034,1167480.8314
300118.SZ,20210521,13.04,5.986000000000001,8.4616,2.5,1.3828,0.7317,0.7141,90135.9941,89944.5941,63629.867999999995,1175373.3631,1172877.5071
300118.SZ,20210520,12.3,2.364,3.3416,1.05,1.3043,0.6902,0.6736,90135.9941,89944.5941,63629.867999999995,1108672.7274,1106318.5074
300118.SZ,20210519,12.56,2.4507,3.4641,1.16,1.3319,0.7048,0.6878,90135.9941,89944.5941,63629.867999999995,1132108.0859,1129704.1019
300118.SZ,20210518,12.42,1.9167,2.7093,0.86,1.3171,0.6969,0.6802,90135.9941,89944.5941,63629.867999999995,1119489.0467,1117111.8587
300118.SZ,20210517,12.39,2.5878,3.658,1.23,1.3139,0.6952,0.6785,90135.9941,89944.5941,63629.867999999995,1116784.9669,1114413.5209
300118.SZ,20210514,12.54,2.654,3.7516,1.22,1.3298,0.7036,0.6867,90135.9941,89944.5941,63629.867999999995,1130305.366,1127905.21
300118.SZ,20210513,12.21,1.6989,2.4015,0.79,1.2948,0.6851,0.6687,90135.9941,89944.5941,63629.867999999995,1100560.488,1098223.494
300118.SZ,20210512,12.45,1.6775,2.3712,0.73,1.3202,0.6986,0.6818,90135.9941,89944.5941,63629.867999999995,1122193.1265,1119810.1965
300118.SZ,20210511,12.36,2.4971,3.5298,1.11,1.3107,0.6935,0.6769,90135.9941,89944.5941,63629.867999999995,1114080.8871,1111715.1831
300118.SZ,20210510,12.74,2.0218,2.8579,0.76,1.351,0.7149,0.6977,90135.9941,89944.5941,63629.867999999995,1148332.5648,1145894.1288
300118.SZ,20210507,13.04,2.9886,4.2245,1.15,1.3828,0.7317,0.7141,90135.9941,89944.5941,63629.867999999995,1175373.3631,1172877.5071
300118.SZ,20210506,12.71,1.632,2.3069,0.56,1.3478,0.7132,0.696,90135.9941,89944.5941,63629.867999999995,1145628.485,1143195.791
300118.SZ,20210430,12.66,2.3325,3.2971,0.8,1.3425,0.7104,0.6933,90135.9941,89944.5941,63629.867999999995,1141121.6853,1138698.5613
300118.SZ,20210429,12.66,2.2811,3.2244,0.8,1.3425,0.7104,0.6933,90135.9941,89944.5941,63629.867999999995,1141121.6853,1138698.5613
300118.SZ,20210428,12.78,3.9962,5.6488,1.59,1.3552,0.7171,0.6999,90135.9941,89944.5941,63629.867999999995,1151938.0046,1149491.9126
300118.SZ,20210427,13.38,2.8007,3.9589,0.96,1.4284,0.7508,0.7508,90135.9941,89944.5941,63629.867999999995,1206019.6011,1203458.6691
300118.SZ,20210426,13.65,4.4934,4.4934,1.13,1.3647,0.8542,0.7958,90135.9941,63199.998,63199.998,1230356.3195,862679.9727
300118.SZ,20210423,13.77,3.3189,3.3189,0.86,1.3767,0.8617,0.8028,90135.9941,63199.998,63199.998,1241172.6388,870263.9725
300118.SZ,20210422,13.62,2.9311,2.9311,0.76,1.3617,0.8523,0.7941,90135.9941,63199.998,63199.998,1227652.2396,860783.9728
300118.SZ,20210421,13.73,3.1924,3.1924,0.82,1.3727,0.8592,0.8005,90135.9941,63199.998,63199.998,1237567.199,867735.9725
300118.SZ,20210420,13.99,6.7165,6.7165,2.04,1.3987,0.8754,0.8157,90135.9941,63199.998,63199.998,1261002.5575,884167.9720000001
300118.SZ,20210419,13.72,3.7071,3.7071,0.96,1.3717,0.8585,0.7999,90135.9941,63199.998,63199.998,1236665.8391,867103.9726
300118.SZ,20210416,13.45,2.7086,2.7086,0.69,1.3447,0.8416,0.7842,90135.9941,63199.998,63199.998,1212329.1206,850039.9731
300118.SZ,20210415,13.38,2.8695,2.8695,0.63,1.3377,0.8373,0.7801,90135.9941,63199.998,63199.998,1206019.6011,845615.9732
300118.SZ,20210414,13.46,3.4927,3.4927,0.74,1.3457,0.8423,0.7848,90135.9941,63199.998,63199.998,1213230.4806,850671.9731
300118.SZ,20210413,13.32,3.6468,3.6468,0.71,1.3317,0.8335,0.7766,90135.9941,63199.998,63199.998,1200611.4414,841823.9734
300118.SZ,20210412,13.3,6.5803,6.5803,1.39,1.3297,0.8323,0.7754,90135.9941,63199.998,63199.998,1198808.7215,840559.9734
300118.SZ,20210409,14.13,2.9808,2.9808,0.59,1.4127,0.8842,0.8238,90135.9941,63199.998,63199.998,1273621.5966,893015.9717
300118.SZ,20210408,14.29,6.0868,6.0868,1.25,1.4287,0.8942,0.8331,90135.9941,63199.998,63199.998,1288043.3557,903127.9714
300118.SZ,20210407,14.77,4.2817,4.2817,0.73,1.4767,0.9242,0.8611,90135.9941,63199.998,63199.998,1331308.6329,933463.9705
300118.SZ,20210406,14.9,5.8209,5.8209,1.08,1.4897,0.9324,0.8687,90135.9941,63199.998,63199.998,1343026.3121,941679.9702
300118.SZ,20210402,14.53,4.5289,4.5289,0.83,1.4527,0.9092,0.8471,90135.9941,63199.998,63199.998,1309675.9943,918295.9709
300118.SZ,20210401,14.77,4.5698,4.5698,0.9,1.4767,0.9242,0.8611,90135.9941,63199.998,63199.998,1331308.6329,933463.9705
300118.SZ,20210331,14.77,5.1735,5.1735,1.09,1.4767,0.9242,0.8611,90135.9941,63199.998,63199.998,1331308.6329,933463.9705
300118.SZ,20210330,15.24,9.3191,9.3191,2.37,1.5237,0.9537,0.8885,90135.9941,63199.998,63199.998,1373672.5501,963167.9695
300118.SZ,20210329,14.44,3.4021,3.4021,0.8,1.4437,0.9036,0.8419,90135.9941,63199.998,63199.998,1301563.7548,912607.9711
300118.SZ,20210326,14.6,4.7808,4.7808,1.09,1.4597,0.9136,0.8512,90135.9941,63199.998,63199.998,1315985.5139,922719.9708
300118.SZ,20210325,14.23,2.7739,2.7739,0.54,1.4227,0.8905,0.8296,90135.9941,63199.998,63199.998,1282635.196,899335.9715
300118.SZ,20210324,14.27,3.5435,3.5435,0.64,1.4267,0.893,0.8320000000000001,90135.9941,63199.998,63199.998,1286240.6358,901863.9715
300118.SZ,20210323,14.48,5.1232,5.1232,0.87,1.4477,0.9061,0.8442,90135.9941,63199.998,63199.998,1305169.1946,915135.9709999999
300118.SZ,20210322,14.84,5.095,5.095,0.81,1.4837,0.9286,0.8652,90135.9941,63199.998,63199.998,1337618.1524,937887.9703
300118.SZ,20210319,14.65,5.4813,5.4813,0.76,1.4647,0.9167,0.8541,90135.9941,63199.998,63199.998,1320492.3136,925879.9707
300118.SZ,20210318,15.22,6.4178,6.4178,0.73,1.5217,0.9524,0.8874,90135.9941,63199.998,63199.998,1371869.8302,961903.9696
300118.SZ,20210317,15.61,5.3607,5.3607,0.52,1.5607,0.9768,0.9101,90135.9941,63199.998,63199.998,1407022.8679,986551.9688
300118.SZ,20210316,15.77,6.9479999999999995,6.9479999999999995,0.56,1.5767,0.9868,0.9194,90135.9941,63199.998,63199.998,1421444.6269999999,996663.9685
300118.SZ,20210315,15.6,7.1616,7.1616,0.6,1.5597,0.9762,0.9095,90135.9941,63199.998,63199.998,1406121.5080000001,985919.9688
300118.SZ,20210312,16.22,10.2045,10.2045,0.95,1.6217,1.015,0.9457,90135.9941,63199.998,63199.998,1462005.8243,1025103.9676
300118.SZ,20210311,16.07,14.267000000000001,14.267000000000001,1.59,1.6067,1.0056,0.9369,90135.9941,63199.998,63199.998,1448485.4252,1015623.9679
300118.SZ,20210310,15.55,12.8323,12.8323,1.75,1.5547,0.9731,0.9066,90135.9941,63199.998,63199.998,1401614.7083,982759.9689
300118.SZ,20210309,15.67,17.6642,17.6642,3.5,1.5667,0.9806,0.9136,90135.9941,63199.998,63199.998,1412431.0275,990343.9687
300118.SZ,20210308,13.79,4.6687,4.6687,0.79,1.3787,0.8629,0.804,90135.9941,63199.998,63199.998,1242975.3586,871527.9724
300118.SZ,20210305,14.22,4.0571,4.0571,0.59,1.4217,0.8898,0.8291,90135.9941,63199.998,63199.998,1281733.8361,898703.9716
300118.SZ,20210304,14.13,5.6978,5.6978,0.86,1.4127,0.8842,0.8238,90135.9941,63199.998,63199.998,1273621.5966,893015.9717
300118.SZ,20210303,14.82,4.5183,4.5183,0.64,1.4817,0.9274,0.8640000000000001,90135.9941,63199.998,63199.998,1335815.4326,936623.9704
300118.SZ,20210302,14.77,6.2946,6.2946,0.88,1.4767,0.9242,0.8611,90135.9941,63199.998,63199.998,1331308.6329,933463.9705
300118.SZ,20210301,15.27,8.86,8.86,1.16,1.5267,0.9555,0.8903,90135.9941,63199.998,63199.998,1376376.6299,965063.9695
