ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv
000055.SZ,20210528,4.37,0.4423,0.6838,0.74,0.8677,1.5751,1.4625,107387.4227,67741.3379,43811.0662,469283.0372,296029.6466
000055.SZ,20210527,4.4,0.7834,1.2112,1.28,0.8736,1.5859999999999999,1.4725,107387.4227,67741.3379,43811.0662,472504.6599,298061.8868
000055.SZ,20210526,4.36,0.6845,1.0584,1.14,0.8657,1.5715,1.4591,107387.4227,67741.3379,43811.0662,468209.16299999994,295352.2332
000055.SZ,20210525,4.34,0.4928,0.762,0.74,0.8617,1.5643,1.4524,107387.4227,67741.3379,43811.0662,466061.4145,293997.4065
000055.SZ,20210524,4.32,0.6495,1.0043,0.69,0.8578,1.5571,1.4457,107387.4227,67741.3379,43811.0662,463913.6661,292642.5797
000055.SZ,20210521,4.33,0.7357,1.1376,0.79,0.8597,1.5607,1.4491,107387.4227,67741.3379,43811.0662,464987.5403,293319.9931
000055.SZ,20210520,4.26,0.4984,0.7707,0.54,0.8458,1.5355,1.4257,107387.4227,67741.3379,43811.0662,457470.4207,288578.0995
000055.SZ,20210519,4.29,0.6202,0.9590000000000001,0.7,0.8518,1.5463,1.4357,107387.4227,67741.3379,43811.0662,460692.0434,290610.3396
000055.SZ,20210518,4.35,0.8291,1.2819,1.06,0.8637,1.5679,1.4558,107387.4227,67741.3379,43811.0662,467135.2887,294674.8199
000055.SZ,20210517,4.37,2.0528,3.174,4.09,0.8677,1.5751,1.4625,107387.4227,67741.3379,43811.0662,469283.0372,296029.6466
000055.SZ,20210514,4.33,0.6295,0.9734,1.37,0.8597,1.5607,1.4491,107387.4227,67741.3379,43811.0662,464987.5403,293319.9931
000055.SZ,20210513,4.28,0.4925,0.7615,1.1,0.8498,1.5427,1.4324,107387.4227,67741.3379,43811.0662,459618.1692,289932.9262
000055.SZ,20210512,4.31,0.4269,0.6601,0.89,0.8558,1.5535,1.4424,107387.4227,67741.3379,43811.0662,462839.7918,291965.1663
000055.SZ,20210511,4.29,0.3205,0.4955,0.64,0.8518,1.5463,1.4357,107387.4227,67741.3379,43811.0662,460692.0434,290610.3396
000055.SZ,20210510,4.3,0.6376,0.9859,1.23,0.8538,1.5499,1.4391,107387.4227,67741.3379,43811.0662,461765.9176,291287.753
000055.SZ,20210507,4.24,0.4132,0.6389,0.76,0.8419,1.5283,1.419,107387.4227,67741.3379,43811.0662,455322.6722,287223.2727
000055.SZ,20210506,4.27,0.4319,0.6677,0.8,0.8478,1.5391,1.429,107387.4227,67741.3379,43811.0662,458544.2949,289255.5128
000055.SZ,20210430,4.24,0.5912,0.9142,1.12,0.8419,1.5283,1.419,107387.4227,67741.3379,43811.0662,455322.6722,287223.2727
000055.SZ,20210429,4.3,0.4134,0.6392,0.73,0.8538,1.5499,1.4391,107387.4227,67741.3379,43811.0662,461765.9176,291287.753
000055.SZ,20210428,4.33,0.7474,1.1557,1.34,0.872,1.5607,1.4491,107387.4227,67741.3379,43811.0662,464987.5403,293319.9931
000055.SZ,20210427,4.42,0.5506,0.8513,0.98,0.8901,1.5932,1.5932,107387.4227,67741.3379,43811.0662,474652.4083,299416.7135
000055.SZ,20210426,4.43,0.3886,0.6008,0.63,0.8959999999999999,1.6182,1.6182,108827.8951,67741.3379,43811.0662,482107.5753,300094.1269
000055.SZ,20210423,4.44,0.5308,0.8207,0.78,0.898,1.6218,1.6218,108827.8951,67741.3379,43811.0662,483195.8542,300771.5403
000055.SZ,20210422,4.49,0.628,0.9711,0.98,0.9081,1.6401,1.6401,108827.8951,67741.3379,43811.0662,488637.249,304158.6072
000055.SZ,20210421,4.48,0.6809,1.0529,1.12,0.9061,1.6365,1.6365,108827.8951,67741.3379,43811.0662,487548.97,303481.1938
000055.SZ,20210420,4.44,0.5913,0.9142,0.9,0.898,1.6218,1.6218,108827.8951,67741.3379,43811.0662,483195.8542,300771.5403
000055.SZ,20210419,4.48,0.653,1.0096,1.02,0.9061,1.6365,1.6365,108827.8951,67741.3379,43811.0662,487548.97,303481.1938
000055.SZ,20210416,4.46,0.8292,1.2819999999999998,1.42,0.902,1.6292,1.6292,108827.8951,67741.3379,43811.0662,485372.4121,302126.36699999997
000055.SZ,20210415,4.36,0.4415,0.6827,0.69,0.8818,1.5926,1.5926,108827.8951,67741.3379,43811.0662,474489.6226,295352.2332
000055.SZ,20210414,4.39,0.5272,0.8152,0.76,0.8879,1.6036,1.6036,108827.8951,67741.3379,43811.0662,477754.4595,297384.4734
000055.SZ,20210413,4.35,0.8352,1.2914,1.24,0.8798,1.589,1.589,108827.8951,67741.3379,43811.0662,473401.3437,294674.8199
000055.SZ,20210412,4.42,0.5808,0.8981,0.8,0.8939,1.6145,1.6145,108827.8951,67741.3379,43811.0662,481019.2963,299416.7135
000055.SZ,20210409,4.42,0.5329,0.8240000000000001,0.68,0.8939,1.6145,1.6145,108827.8951,67741.3379,43811.0662,481019.2963,299416.7135
000055.SZ,20210408,4.46,0.7184,1.1109,0.92,0.902,1.6292,1.6292,108827.8951,67741.3379,43811.0662,485372.4121,302126.36699999997
000055.SZ,20210407,4.51,0.7995,1.2362,1.02,0.9121,1.6474,1.6474,108827.8951,67741.3379,43811.0662,490813.8069,305513.4339
000055.SZ,20210406,4.48,0.7452,1.1522,0.89,0.9061,1.6365,1.6365,108827.8951,67741.3379,43811.0662,487548.97,303481.1938
000055.SZ,20210402,4.45,0.8427,1.3030000000000002,0.89,0.9,1.6255,1.6255,108827.8951,67741.3379,43811.0662,484284.1332,301448.9537
000055.SZ,20210401,4.47,0.7878,1.2182,0.72,0.9041,1.6328,1.6328,108827.8951,67741.3379,43811.0662,486460.6911,302803.7804
000055.SZ,20210331,4.5,0.7248,1.1207,0.58,0.9101,1.6438,1.6438,108827.8951,67741.3379,43811.0662,489725.528,304836.0206
000055.SZ,20210330,4.45,0.825,1.2756,0.55,0.9,1.6255,1.6255,108827.8951,67741.3379,43811.0662,484284.1332,301448.9537
000055.SZ,20210329,4.52,0.9856,1.524,0.6,0.9142,1.6511,1.6511,108827.8951,67741.3379,43811.0662,491902.0859,306190.8473
000055.SZ,20210326,4.48,1.4353,2.2192,0.85,0.9061,1.6365,1.6365,108827.8951,67741.3379,43811.0662,487548.97,303481.1938
000055.SZ,20210325,4.48,1.5071,2.3303,0.87,0.9061,1.6365,1.6365,108827.8951,67741.3379,43811.0662,487548.97,303481.1938
000055.SZ,20210324,4.65,1.4615,2.2597,0.84,0.9405,1.6986,1.6986,108827.8951,67741.3379,43811.0662,506049.7122,314997.2212
000055.SZ,20210323,4.6,2.0596,2.6036,1.19,0.9304,1.6803,1.6803,108827.8951,67741.3379,53588.262,500608.3175,311610.1543
000055.SZ,20210322,4.81,1.8103,2.2913,0.94,1.0059,1.7415,1.7562,108827.8951,67827.2529,53588.262,523462.1754,326249.0864
000055.SZ,20210319,4.65,1.6364,2.0712,0.68,0.9724,1.6836,1.6978,108827.8951,67827.2529,53588.262,506049.7122,315396.726
000055.SZ,20210318,4.77,1.6944,2.1447,0.66,0.9975,1.7271,1.7416,108827.8951,67827.2529,53588.262,519109.0596,323535.9963
000055.SZ,20210317,4.76,1.4707,1.8615,0.48,0.9954,1.7234,1.7379,108827.8951,67827.2529,53588.262,518020.7807,322857.7238
000055.SZ,20210316,4.85,2.026,2.5643,0.51,1.0142,1.756,1.7708,108827.8951,67827.2529,53588.262,527815.2912,328962.1766
000055.SZ,20210315,4.77,2.8504,3.6078,0.64,0.9975,1.7271,1.7416,108827.8951,67827.2529,53588.262,519109.0596,323535.9963
000055.SZ,20210312,4.85,4.0511,5.1275,1.02,1.0142,1.756,1.7708,108827.8951,67827.2529,53588.262,527815.2912,328962.1766
000055.SZ,20210311,4.66,2.3913,3.0267,0.66,0.9745,1.6872,1.7014,108827.8951,67827.2529,53588.262,507137.9912,316074.9985
000055.SZ,20210310,4.65,4.0955,5.1837,1.41,0.9724,1.6836,1.6978,108827.8951,67827.2529,53588.262,506049.7122,315396.726
000055.SZ,20210309,4.9,6.3305,8.0126,3.66,1.0247,1.7741,1.7891,108827.8951,67827.2529,53588.262,533256.686,332353.5392
000055.SZ,20210308,4.77,5.4404,6.886,7.49,0.9975,1.7271,1.7416,108827.8951,67827.2529,53588.262,519109.0596,323535.9963
000055.SZ,20210305,4.51,1.5817,2.002,3.16,0.9431,1.6329,1.6467,108827.8951,67827.2529,53588.262,490813.8069,305900.9106
000055.SZ,20210304,4.34,0.6367,0.8059,1.31,0.9076,1.5714,1.5846,108827.8951,67827.2529,53588.262,472313.0647,294370.2776
000055.SZ,20210303,4.32,0.5356,0.6779999999999999,1.08,0.9034,1.5641,1.5773,108827.8951,67827.2529,53588.262,470136.5068,293013.7325
000055.SZ,20210302,4.25,0.4523,0.5725,0.87,0.8887,1.5388,1.5517,108827.8951,67827.2529,53588.262,462518.5542,288265.8248
000055.SZ,20210301,4.29,0.4265,0.5398,0.66,0.8971,1.5533,1.5663,108827.8951,67827.2529,53588.262,466871.67,290978.9149
