ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv
002482.SZ,20210528,2.61,0.4544,1.3424,0.74,0.6416,0.3276,0.3061,153727.9657,152929.4346,51769.4762,401229.9905,399145.8243
002482.SZ,20210527,2.63,0.6259,1.8491,1.51,0.6465,0.3301,0.3084,153727.9657,152929.4346,51769.4762,404304.5498,402204.41299999994
002482.SZ,20210526,2.62,0.4873,1.4396,1.26,0.644,0.3289,0.3072,153727.9657,152929.4346,51769.4762,402767.2701,400675.1187
002482.SZ,20210525,2.62,0.2923,0.8633,0.75,0.644,0.3289,0.3072,153727.9657,152929.4346,51769.4762,402767.2701,400675.1187
002482.SZ,20210524,2.61,0.5486,1.6205,1.44,0.6416,0.3276,0.3061,153727.9657,152929.4346,51769.4762,401229.9905,399145.8243
002482.SZ,20210521,2.59,0.3117,0.9207,0.67,0.6367,0.3251,0.3037,153727.9657,152929.4346,51769.4762,398155.4312,396087.2356
002482.SZ,20210520,2.59,0.4267,1.2606,0.86,0.6367,0.3251,0.3037,153727.9657,152929.4346,51769.4762,398155.4312,396087.2356
002482.SZ,20210519,2.61,0.36,1.0635,0.74,0.6416,0.3276,0.3061,153727.9657,152929.4346,51769.4762,401229.9905,399145.8243
002482.SZ,20210518,2.64,0.2967,0.8765,0.61,0.6489,0.3314,0.3096,153727.9657,152929.4346,51769.4762,405841.8294,403733.7073
002482.SZ,20210517,2.61,0.5117,1.5115,1.15,0.6416,0.3276,0.3061,153727.9657,152929.4346,51769.4762,401229.9905,399145.8243
002482.SZ,20210514,2.69,0.7425,2.1933,1.8,0.6612,0.3377,0.3154,153727.9657,152929.4346,51769.4762,413528.2277,411380.1791
002482.SZ,20210513,2.69,0.5693,1.6816,1.62,0.6612,0.3377,0.3154,153727.9657,152929.4346,51769.4762,413528.2277,411380.1791
002482.SZ,20210512,2.68,0.3124,0.9227,0.91,0.6588,0.3364,0.3143,153727.9657,152929.4346,51769.4762,411990.9481,409850.8847
002482.SZ,20210511,2.69,0.3017,0.8911,0.84,0.6612,0.3377,0.3154,153727.9657,152929.4346,51769.4762,413528.2277,411380.1791
002482.SZ,20210510,2.65,0.2964,0.8757,0.8,0.6514,0.3327,0.3107,153727.9657,152929.4346,51769.4762,407379.1091,405263.0017
002482.SZ,20210507,2.69,0.5878,1.7365,1.8,0.6612,0.3377,0.3154,153727.9657,152929.4346,51769.4762,413528.2277,411380.1791
002482.SZ,20210506,2.61,0.2596,0.767,0.68,0.6416,0.3276,0.3061,153727.9657,152929.4346,51769.4762,401229.9905,399145.8243
002482.SZ,20210430,2.57,0.2791,0.8246,0.69,0.6317,0.3226,0.3014,153727.9657,152929.4346,51769.4762,395080.8718,393028.6469
002482.SZ,20210429,2.6,0.3734,1.1031,0.93,0.6391,0.3264,0.3049,153727.9657,152929.4346,51769.4762,399692.7108,397616.53
002482.SZ,20210428,2.6,0.3535,1.0186,0.8,0.6391,0.3264,0.3049,153727.9657,152929.4346,53081.515,399692.7108,397616.53
002482.SZ,20210427,2.58,0.3638,1.0482,0.76,0.635,0.3239,0.3239,153727.9657,152929.4346,53081.515,396618.1515,394557.9413
002482.SZ,20210426,2.59,0.5265,1.517,1.1,0.6374,0.3251,0.3251,153727.9657,152929.4346,53081.515,398155.4312,396087.2356
002482.SZ,20210423,2.63,0.3921,1.1297,0.67,0.6473,0.3301,0.3301,153727.9657,152929.4346,53081.515,404304.5498,402204.41299999994
002482.SZ,20210422,2.68,0.3701,1.0664,0.6,0.6596,0.3364,0.3364,153727.9657,152929.4346,53081.515,411990.9481,409850.8847
002482.SZ,20210421,2.68,0.5455,1.5717,0.91,0.6596,0.3364,0.3364,153727.9657,152929.4346,53081.515,411990.9481,409850.8847
002482.SZ,20210420,2.73,0.5538,1.5956,0.94,0.6719,0.3427,0.3427,153727.9657,152929.4346,53081.515,419677.3464,417497.3565
002482.SZ,20210419,2.76,0.5303,1.5277,0.9,0.6793,0.3465,0.3465,153727.9657,152929.4346,53081.515,424289.1853,422085.2395
002482.SZ,20210416,2.76,0.91,2.6218,1.76,0.6793,0.3465,0.3465,153727.9657,152929.4346,53081.515,424289.1853,422085.2395
002482.SZ,20210415,2.72,0.5645,1.6265,1.1,0.6694,0.3414,0.3414,153727.9657,152929.4346,53081.515,418140.0667,415968.0621
002482.SZ,20210414,2.68,0.4474,1.2889,0.86,0.5785,0.3158,0.3386,153727.9657,152929.4346,53081.515,411990.9481,409850.8847
002482.SZ,20210413,2.66,0.4948,1.4255,0.93,0.5742,0.3134,0.3361,153727.9657,152929.4346,53081.515,408916.3888,406792.29600000003
