000012.SZ,000027.SZ,000040.SZ,000055.SZ,600710.SH,000058.SZ,600496.SH,002047.SZ,002135.SZ,002178.SZ,002218.SZ,300001.SZ,002309.SZ,002375.SZ,300117.SZ,300118.SZ,002482.SZ,300160.SZ,601222.SH,601886.SH,002620.SZ,002623.SZ,002641.SZ,601012.SH,300320.SZ,300324.SZ,300393.SZ,603017.SH,300490.SZ,300500.SZ,002822.SZ,603098.SH,603628.SH,300746.SZ,603105.SH,601615.SH,003035.SZ
10.702839733492597,12.598454096074619,2.351981357156747,4.468645068519993,7.035540457410605,5.371455727004031,3.9087198935247907,3.0290946528691545,6.354022575828918,3.8281150967777746,4.268448015742345,25.076400009303427,4.819946814158324,6.569197847523502,3.154388136046108,5.545357050603456,2.437991168328396,5.651645009743325,5.9894001864998465,7.860063451390908,5.754882306325191,23.509922422061365,6.283878194237484,82.19336518973074,4.508206828886203,3.0606886583728175,6.744235080387837,9.994340711279317,11.056380256079613,11.82221570148419,5.9787063292875775,30.873009608879247,6.756974573910076,8.997484470571976,6.924516132455051,15.123631147911107,14.685061854987252
10.715445844259916,12.622314626466263,2.347598802768461,4.468170898866767,7.043579665845403,5.36743639225282,3.9065680661517033,3.011547536708096,6.352969534478003,3.8296634223831223,4.266618611143645,25.212834583606003,4.819789670440707,6.569553419946963,3.1509462408319138,5.6535614325219194,2.436241149495908,5.642765635071897,5.979166767576468,7.866880905513255,5.753789785994014,23.433813859494133,6.282327399201307,81.9490167161841,4.498901006646903,3.0573156199749794,6.683188596020457,9.980925654108972,11.05318197376668,11.818556143845358,5.981865965513466,30.95223923782759,6.738184575017453,8.981766445790672,6.9151912640600415,15.12770924144094,14.73848949329785
10.726619309682365,12.646305847028547,2.343795724736682,4.46769727566098,7.05162133712628,5.364117475350739,3.904416238781806,3.008192524886637,6.3501779653705475,3.8312116287791804,4.263973912272146,24.996487494268138,4.820015069708981,6.5678226482545785,3.147504168291822,5.806980452478102,2.434492637658809,5.633902502970175,5.968934540745986,7.87374376182334,5.752696679028739,23.3577267336612,6.280799410395023,81.74426665872616,4.490329376756477,3.0539435554230323,6.723280165715483,9.991579549713226,11.050002717431507,11.814897843191375,5.985541535856704,31.051890626753128,6.727436689706692,8.96483408238384,6.905687158855301,15.16029549544482,14.79196958369585
10.739222369990713,12.67020854439669,2.3408256812202834,4.467223958975012,7.05966551603832,5.356685157706345,3.902263934573676,3.014926910495598,6.350356771858591,3.832759835175239,4.260404953918829,25.03012286714705,4.818560481859466,6.564006814462525,3.1440622226866863,5.393963670999854,2.4327459911729967,5.625023163707072,5.9587030291712395,7.880567969878396,5.751603665386009,23.281651279611346,6.279156585981786,81.63796041958156,4.4824220587228325,3.0505723770874225,6.662232234700479,10.019088773333698,11.046804692283217,11.811240723859463,5.989256514250871,31.132000757600927,6.706940105633418,8.948026281760958,6.896033083605947,15.204657698215453,14.845498311483988
10.750466488090412,12.694123818810763,2.3390925532922635,4.466749806838378,7.067711547334692,5.350416182693455,3.9001121072022826,3.026715054725775,6.346455614666682,3.8343080415712976,4.255988500184541,25.149163908691918,4.819809953380176,6.5596786029796865,3.140619868251391,5.209627489797024,2.431000530405659,5.616159229042498,5.948471279177914,7.8873065334894505,5.750510704735616,23.205593979081847,6.277333879709326,81.63574452252072,4.475142349391816,3.0472020052240456,6.702322522863087,10.044041986290267,11.043623901344873,11.807584714741282,5.99191710158248,31.23077350630527,6.695770689019334,8.932577848460419,6.886262731832684,15.26095607053847,14.899067093593414
10.763066345958293,12.718095162034686,2.337446090517747,4.466276836175185,7.075759981888357,5.341016787673405,3.8979602798319672,3.0426011374935493,6.347606413870147,3.8358562479673557,4.250753154641941,24.928509107090488,4.819404685681385,6.556730106207279,3.1371777067354474,5.464411133063527,2.4292560727142147,5.607280410964565,5.9382390523474315,7.893977791973324,5.74941709438483,23.12954403954905,6.275360774692219,81.72768022268787,4.468442137590234,3.0438323672641894,6.641273691287946,10.048616840203358,11.040428274704915,11.80392974900877,5.995563504356601,31.311690427055115,6.677573411184428,8.919288709178163,6.876413959708399,15.335883501702021,14.952670207978231
10.774378143525848,12.741979950671839,2.335919790707098,4.465802500508978,7.083809714566298,5.333884501267728,3.8958086908791687,3.054464979622591,6.342884690149345,3.837404454363414,4.244819074512207,24.986937703547984,4.817345068134818,6.555933051434005,3.1337351079841405,5.34410226272572,2.4275126049271534,5.598414673289802,5.928006110261212,7.900642040948636,5.748323243702874,23.05350974622775,6.273336567694866,81.86748043134133,4.462264287252061,3.04046339716922,6.681363201959535,10.030753371835996,11.037244598065886,11.800275763856515,5.999505553574571,31.409659412133866,6.662591233066937,8.908328886870551,6.866526454415675,15.415190192532254,15.006297641058117
10.78697742210386,12.765936526101314,2.3341309920408584,4.465329180068011,7.091861321073518,5.324982416089642,3.8936568635084843,3.053353963467636,6.3446962075187,3.8389526607594724,4.238319768587873,25.083707289455184,4.817010666245616,6.556404104699574,3.1302927014451307,4.937531363008719,2.4257697772581825,5.589537137137942,5.917771976082095,7.907355632122283,5.747229211240068,22.97748538069392,6.271373680628498,81.9924721449833,4.456586743820034,3.0370950348427455,6.620313937565596,10.004874706834887,11.034052022530389,11.796622700259597,6.00388110262687,31.491313824711344,6.648269772529357,8.89922521987802,6.856639511288372,15.493575623243192,15.059940809764223
10.798354509881975,12.789866191564538,2.3314137914275967,4.4648553413350935,7.099914434412432,5.3195133472559375,3.8915052745561183,3.041450095864622,6.339480672443235,3.840500867155531,4.231476961225322,24.85989532806466,4.814479744985844,6.556341440145307,3.1268499988917005,4.9805711684482485,2.424027392536588,5.580669759947843,5.9075368882286625,7.914134189244921,5.746135374609047,22.90147097181238,6.2695414874228454,82.0555885805279,4.451334079941928,3.033727225596084,6.660403583985378,9.991719677225445,11.030865386370554,11.79297050274604,6.010036067047758,31.5885526402227,6.629952284632091,8.891023916297637,6.846791177489567,15.554434418369016,15.113590654190544
10.810953843854156,12.813773473470444,2.3281042398545573,4.464381523202402,7.10796893611316,5.313344760064506,3.8893536856036928,3.0210835607963977,6.341618099076248,3.842049073551589,4.224416055856411,24.94379875415465,4.810570314062909,6.554422230797364,3.1234074521294777,5.185910611066231,2.4222855421138174,5.571792628087602,5.897301085119493,7.920946679045181,5.745041565980365,22.825464466120643,6.267837679777024,82.01571851438304,4.4464454437798,3.0303599196615467,6.599353580862498,10.002050710150073,11.0276754894899,11.789319119182938,6.016879481762709,31.67088161652175,6.618641845438452,8.882575463665187,6.837016705414034,15.594446839066359,15.16723906810539
