ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv
601012.SH,20210528,97.25,1.7016,2.1599,0.86,8.9544,6.8887,6.0805,386639.4792,386630.9182,304593.6278,37600689.3522,37599856.795
601012.SH,20210527,95.12,1.1824,1.5008,0.84,8.7583,6.7378,5.9473,386639.4792,386630.9182,304593.6278,36777147.2615,36776332.9392
601012.SH,20210526,95.96,1.2229999999999999,1.5524,0.88,8.8357,6.7973,5.9999,386639.4792,386630.9182,304593.6278,37101924.424,37101102.9105
601012.SH,20210525,98.0,2.0180000000000002,2.5615,1.73,9.0235,6.9418,6.1274,386639.4792,386630.9182,304593.6278,37890668.9616,37889829.9836
601012.SH,20210524,96.26,1.4075,1.7866,1.22,8.8633,6.8186,6.0186,386639.4792,386630.9182,304593.6278,37217916.2678,37217092.1859
601012.SH,20210521,98.57,1.4025,1.7802,1.31,9.076,6.9822,6.162999999999999,386639.4792,386630.9182,304593.6278,38111053.4647,38110209.607
601012.SH,20210520,98.68,1.0242,1.3,1.0,9.0861,6.99,6.1699,386639.4792,386630.9182,304593.6278,38153583.8075,38152739.008
601012.SH,20210519,100.66,1.0911,1.385,1.17,9.2684,7.1302,6.2937,386639.4792,386630.9182,304593.6278,38919129.9763,38918268.225999996
601012.SH,20210518,99.67,0.9063,1.1504,0.93,9.1773,7.0601,6.2318,386639.4792,386630.9182,304593.6278,38536356.8919,38535503.617
601012.SH,20210517,99.35,1.3548,1.7197,1.46,9.1478,7.0374,6.2118,386639.4792,386630.9182,304593.6278,38412632.2585,38411781.7232
601012.SH,20210514,95.8,0.9595,1.2179,0.95,8.8209,6.7860000000000005,5.9899,386639.4792,386630.9182,304593.6278,37040062.1074,37039241.9636
601012.SH,20210513,94.5,0.7841,0.9953,0.64,8.7012,6.6939,5.9086,386639.4792,386630.9182,304593.6278,36537430.7844,36536621.7699
601012.SH,20210512,96.58,0.6606,0.8385,0.44,8.8928,6.8412,6.0386,386639.4792,386630.9182,304593.6278,37341640.9011,37340814.0798
