ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv
000058.SZ,20210528,5.52,0.9404,1.7545,0.52,3.5181,4.8593,4.0728,123565.6249,53828.2117,28852.0597,682082.2494,297131.7286
000058.SZ,20210527,5.57,0.8828,1.6469999999999998,0.52,3.55,4.9033,4.1097,123565.6249,53828.2117,28852.0597,688260.5307,299823.1392
000058.SZ,20210526,5.57,1.4603,2.7245,0.7,3.55,4.9033,4.1097,123565.6249,53828.2117,28852.0597,688260.5307,299823.1392
000058.SZ,20210525,5.44,1.0388,1.9380000000000002,0.49,3.4671,4.7889,4.0138,123565.6249,53828.2117,28852.0597,672196.9995,292825.4716
000058.SZ,20210524,5.44,1.5067,2.8110000000000004,0.66,3.4671,4.7889,4.0138,123565.6249,53828.2117,28852.0597,672196.9995,292825.4716
000058.SZ,20210521,5.41,2.6273,2.6273,1.06,3.448,4.7625,3.9917,123565.6249,53828.2117,53828.2117,668490.0307,291210.6253
000058.SZ,20210520,5.62,1.8412,3.4351,0.82,3.5818,4.9473,4.1466,123565.6249,53828.2117,28852.0597,694438.8119,302514.5498
000058.SZ,20210519,5.65,3.458,6.4515,2.09,3.6010000000000004,4.9737,4.1688,123565.6249,53828.2117,28852.0597,698145.7807,304129.3961
000058.SZ,20210518,5.94,1.1509,2.1472,0.74,3.7858,5.229,4.3827,123565.6249,53828.2117,28852.0597,733979.8119,319739.5775
000058.SZ,20210517,6.04,2.3771,4.4349,2.01,3.8495,5.3171,4.4565,123565.6249,53828.2117,28852.0597,746336.3744,325122.3987
000058.SZ,20210514,6.26,3.6144,6.7433,5.92,3.9897,5.5107,4.6188,123565.6249,53828.2117,28852.0597,773520.8119,336964.6052
000058.SZ,20210513,5.89,0.6624,1.2359,1.12,3.7539,5.185,4.3458,123565.6249,53828.2117,28852.0597,727801.5307,317048.1669
000058.SZ,20210512,5.88,0.4731,0.8826,0.79,3.7475,5.1762,4.3385,123565.6249,53828.2117,28852.0597,726565.8744,316509.8848
000058.SZ,20210511,5.83,0.6401,1.1942,1.13,3.7157,5.1322,4.3016,123565.6249,53828.2117,28852.0597,720387.5932,313818.4742
000058.SZ,20210510,5.72,0.5108,0.953,0.93,3.6456,5.0354,4.2204,123565.6249,53828.2117,28852.0597,706795.3744,307897.3709
000058.SZ,20210507,5.75,0.7671,1.4311,1.51,3.6647,5.0618,4.2425,123565.6249,53828.2117,28852.0597,710502.3432,309512.2173
000058.SZ,20210506,5.84,0.5719,1.0671,1.17,3.7221,5.141,4.3089,123565.6249,53828.2117,28852.0597,721623.2494,314356.7563
000058.SZ,20210430,5.86,0.48700000000000004,0.9086,0.88,3.7348,5.1586,4.3237,123565.6249,53828.2117,28852.0597,724094.5619,315433.3206
000058.SZ,20210429,5.94,0.4995,0.932,0.89,3.7858,5.229,4.3827,123565.6249,53828.2117,28852.0597,733979.8119,319739.5775
000058.SZ,20210428,5.95,0.4208,0.7851,0.71,3.7922,5.2378,4.3901,123565.6249,53828.2117,28852.0597,735215.4682,320277.8596
000058.SZ,20210427,5.96,0.5581,1.0413,0.9,3.7985,5.2466,4.3975,123565.6249,53828.2117,28852.0597,736451.1244,320816.1417
000058.SZ,20210426,5.96,0.4726,0.593,0.66,3.8705,4.9319,5.2466,123565.6249,53828.2117,42904.7245,736451.1244,320816.1417
000058.SZ,20210423,6.03,0.8149,1.0224,1.16,3.9160000000000004,4.9899,5.3082,123565.6249,53828.2117,42904.7245,745100.7181,324584.1166
000058.SZ,20210422,6.09,0.5363,0.6728,0.74,3.955,5.0395,5.3611,123565.6249,53828.2117,42904.7245,752514.6556,327813.8093
000058.SZ,20210421,6.11,0.5931,0.7441,0.88,3.9679,5.0561,5.3787,123565.6249,53828.2117,42904.7245,754985.9681,328890.3735
000058.SZ,20210420,6.08,0.6881,0.8633,0.99,3.9485,5.0312,5.3523,123565.6249,53828.2117,42904.7245,751278.9994,327275.5271
000058.SZ,20210419,6.15,0.96,1.2044,1.55,3.9939,5.0892,5.4139,123565.6249,53828.2117,42904.7245,759928.5931,331043.502
000058.SZ,20210416,6.04,0.7321,1.3658,1.29,3.9225,4.9981,5.3171,123565.6249,53828.2117,28852.0597,746336.3744,325122.3987
000058.SZ,20210415,5.91,0.642,1.1977,1.16,3.8381,4.8906,5.2026,123565.6249,53828.2117,28852.0597,730272.8432,318124.7311
000058.SZ,20210414,5.93,0.3364,0.6276,0.54,3.7563,4.9071,5.0245,123565.6249,53828.2117,28852.0597,732744.1557,319201.2954
000058.SZ,20210413,5.87,0.7946,1.4825,1.13,3.7183,4.8575,4.9736,123565.6249,53828.2117,28852.0597,725330.2182,315971.6027
000058.SZ,20210412,6.01,0.5839,1.0894,0.83,3.8069,4.9733,5.0923,123565.6249,53828.2117,28852.0597,742629.4056,323507.5523
000058.SZ,20210409,6.06,0.4858,0.9064,0.67,3.8386,5.0147,5.1346,123565.6249,53828.2117,28852.0597,748807.6869,326198.9629
000058.SZ,20210408,6.11,0.5741,1.0712,0.74,3.8703,5.0561,5.1770000000000005,123565.6249,53828.2117,28852.0597,754985.9681,328890.3735
000058.SZ,20210407,6.18,0.68,1.2687,0.81,3.9146,5.114,5.2363,123565.6249,53828.2117,28852.0597,763635.5619,332658.3483
000058.SZ,20210406,6.19,1.2043,2.2468,1.57,3.9210000000000003,5.1223,5.2448,123565.6249,53828.2117,28852.0597,764871.2181,333196.6304
000058.SZ,20210402,6.06,0.5536,1.0328,0.67,3.8386,5.0147,5.1346,123565.6249,53828.2117,28852.0597,748807.6869,326198.9629
000058.SZ,20210401,6.07,0.6276,1.1709,0.63,3.8449,5.023,5.1431,123565.6249,53828.2117,28852.0597,750043.3431,326737.245
000058.SZ,20210331,6.12,0.8113,1.5136,0.76,3.8766,5.0643,5.1855,123565.6249,53828.2117,28852.0597,756221.6244,329428.6556
000058.SZ,20210330,6.05,0.9979,1.8617,0.81,3.8323,5.0064,5.1261,123565.6249,53828.2117,28852.0597,747572.0306,325660.6808
000058.SZ,20210329,6.14,0.8391,1.5655,0.59,3.8893,5.0809,5.2024,123565.6249,53828.2117,28852.0597,758692.9369,330505.2198
000058.SZ,20210326,6.09,0.8514,1.5885,0.52,3.8576,5.0395,5.16,123565.6249,53828.2117,28852.0597,752514.6556,327813.8093
000058.SZ,20210325,6.04,1.4954,2.7899,0.77,3.8259,4.9981,5.1177,123565.6249,53828.2117,28852.0597,746336.3744,325122.3987
000058.SZ,20210324,6.22,1.1571,2.1588,0.43,3.94,5.1471,5.2702,123565.6249,53828.2117,28852.0597,768578.1869,334811.4768
000058.SZ,20210323,6.23,1.8007,3.3595,0.59,3.9463,5.1554,5.2787,123565.6249,53828.2117,28852.0597,769813.8431,335349.7589
000058.SZ,20210322,6.4,1.7717,3.3053,0.58,4.053999999999999,5.296,5.4227,123565.6249,53828.2117,28852.0597,790819.9994,344500.5549
000058.SZ,20210319,6.31,1.9047,3.5536,0.59,3.997,5.2216,5.3464,123565.6249,53828.2117,28852.0597,779699.0931,339656.0158
000058.SZ,20210318,6.49,3.0558,5.7010000000000005,0.86,4.111000000000001,5.3705,5.499,123565.6249,53828.2117,28852.0597,801940.9056,349345.0939
000058.SZ,20210317,6.62,4.8974,9.1368,1.19,4.1933,5.4781,5.6091,123565.6249,53828.2117,28852.0597,818004.4368,356342.7615
000058.SZ,20210316,6.47,3.5512,6.6254,0.77,4.0983,5.354,5.482,123565.6249,53828.2117,28852.0597,799469.5931,348268.5297
000058.SZ,20210315,6.17,1.8067,3.3708,0.39,3.9083,5.1057,5.2278,123565.6249,53828.2117,28852.0597,762399.9056,332120.0662
000058.SZ,20210312,6.22,2.8735,5.3611,0.68,3.94,5.1471,5.2702,123565.6249,53828.2117,28852.0597,768578.1869,334811.4768
000058.SZ,20210311,6.29,4.7174,8.801,1.38,3.9843,5.205,5.3295,123565.6249,53828.2117,28852.0597,777227.7806,338579.4516
000058.SZ,20210310,6.33,7.5516,14.0888,3.68,4.0096,5.2381,5.3634,123565.6249,53828.2117,28852.0597,782170.4056,340732.5801
000058.SZ,20210309,6.68,6.0043,11.2021,5.97,4.2313,5.5277,5.6599,123565.6249,53828.2117,28852.0597,825418.3743,359572.4542
000058.SZ,20210308,6.07,2.186,4.0783,2.98,3.8449,5.023,5.1431,123565.6249,53828.2117,28852.0597,750043.3431,326737.245
000058.SZ,20210305,5.89,0.7764,1.4484,1.07,3.7309,4.874,4.9906,123565.6249,53828.2117,28852.0597,727801.5307,317048.1669
000058.SZ,20210304,5.79,0.6237,1.1636,0.68,3.6676,4.7913,4.9058,123565.6249,53828.2117,28852.0597,715444.9682,311665.3457
000058.SZ,20210303,5.87,0.6791,1.2670000000000001,0.58,3.7183,4.8575,4.9736,123565.6249,53828.2117,28852.0597,725330.2182,315971.6027
000058.SZ,20210302,5.85,0.7642,1.4257,0.64,3.7056,4.8409,4.9567,123565.6249,53828.2117,28852.0597,722858.9057,314895.0384
000058.SZ,20210301,5.91,0.8278,1.5444,0.64,3.7436,4.8906,5.0075,123565.6249,53828.2117,28852.0597,730272.8432,318124.7311
