ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv
601615.SH,20210528,15.2,1.7671,1.9796,0.87,1.8744,1.3205,1.2453,195092.8712,147260.8257,131450.5566,2965411.6422,2238364.5506
601615.SH,20210527,15.4,2.7401,3.0697,1.31,1.8991,1.3379,1.2617,195092.8712,147260.8257,131450.5566,3004430.2165,2267816.7158
601615.SH,20210526,14.88,1.8112,2.029,0.88,1.8349,1.2927,1.2191,195092.8712,147260.8257,131450.5566,2902981.9235,2191241.0864
601615.SH,20210525,15.1,2.3105,2.5884,0.86,1.8621,1.3118,1.2371,195092.8712,147260.8257,131450.5566,2945902.3551,2223638.4681
601615.SH,20210524,14.96,1.9123,2.1423,0.66,1.8448,1.2996,1.2256,195092.8712,147260.8257,131450.5566,2918589.3532,2203021.9525
601615.SH,20210521,15.24,2.2424,2.5121,0.82,1.8793,1.324,1.2486,195092.8712,147260.8257,131450.5566,2973215.3571,2244254.9837
601615.SH,20210520,15.43,2.1895,2.4529,0.87,1.9028,1.3405,1.2641,195092.8712,147260.8257,131450.5566,3010283.0026,2272234.5406
601615.SH,20210519,15.33,1.651,1.8495,0.69,1.8904,1.3318,1.2559,195092.8712,147260.8257,131450.5566,2990773.7155,2257508.458
601615.SH,20210518,15.39,5.422999999999999,6.0753,3.42,1.8978,1.337,1.2608,195092.8712,147260.8257,131450.5566,3002479.2878,2266344.1075
601615.SH,20210517,16.73,4.2293,4.9718,2.1,2.0631,1.4534,1.3706,195092.8712,105869.1544,90058.8853,3263903.7352,1771190.9531
601615.SH,20210514,15.39,1.8041,2.1208,0.87,1.8978,1.337,1.2608,195092.8712,105869.1544,90058.8853,3002479.2878,1629326.2862
601615.SH,20210513,15.31,1.6359,1.9231,0.71,1.8880000000000001,1.33,1.2543,195092.8712,105869.1544,90058.8853,2986871.8581,1620856.7539
601615.SH,20210512,15.32,1.3942,1.639,0.56,1.8892,1.3309,1.2551,195092.8712,105869.1544,90058.8853,2988822.7868,1621915.4454
601615.SH,20210511,15.58,1.9680000000000002,2.3135,0.81,1.9213,1.3535,1.2764,195092.8712,105869.1544,90058.8853,3039546.9333,1649441.4256
601615.SH,20210510,15.69,3.2771,3.8525,1.32,1.9348,1.3631,1.2854,195092.8712,105869.1544,90058.8853,3061007.1491,1661087.0325
601615.SH,20210507,17.12,2.0542,2.4149,0.86,2.1112,1.4873,1.4026,195092.8712,105869.1544,90058.8853,3339989.9549,1812479.9233
601615.SH,20210506,16.9,2.9021,3.4116,1.34,2.084,1.4682,1.3846,195092.8712,105869.1544,90058.8853,3297069.5233,1789188.7094
601615.SH,20210430,17.74,2.2822,2.6828,1.14,2.1876,1.5411,1.4534,195092.8712,105869.1544,90058.8853,3460947.5351,1878118.7991
601615.SH,20210429,17.6,1.6363,1.9783,0.86,2.2145,1.5290000000000001,1.5290000000000001,195092.8712,105869.1544,87569.3452,3433634.5331,1863297.1174
601615.SH,20210428,17.73,3.5672,4.3127,2.43,2.2309,1.5403,1.5403,195092.8712,105869.1544,87569.3452,3458996.6064,1877060.1075
601615.SH,20210427,16.73,1.5513,1.8754,1.06,2.105,1.4534,1.4534,195092.8712,105869.1544,87569.3452,3263903.7352,1771190.9531
601615.SH,20210426,16.59,1.7572,2.1244,1.22,2.0874,1.4412,1.4412,195092.8712,105869.1544,87569.3452,3236590.7332,1756369.2715
601615.SH,20210423,16.86,1.4868,1.7975,1.04,2.1214,1.4647,1.4647,195092.8712,105869.1544,87569.3452,3289265.8084,1784953.9432
601615.SH,20210422,16.67,1.1286,1.3644,0.72,2.0975,1.4482,1.4482,195092.8712,105869.1544,87569.3452,3252198.1629,1764838.8038
601615.SH,20210421,16.72,1.4222,1.7193,0.91,2.1038,1.4525,1.4525,195092.8712,105869.1544,87569.3452,3261952.8065,1770132.2616
601615.SH,20210420,16.97,1.5317,1.8517,1.01,2.1352,1.4743,1.4743,195092.8712,105869.1544,87569.3452,3310726.0243,1796599.5502
601615.SH,20210419,17.13,1.6564,2.0026,1.11,2.1554,1.4882,1.4882,195092.8712,105869.1544,87569.3452,3341940.8837,1813538.6149
601615.SH,20210416,16.78,1.3980000000000001,1.6902,0.83,2.1113,1.4577,1.4577,195092.8712,105869.1544,87569.3452,3273658.3787,1776484.4108
601615.SH,20210415,16.45,1.8489,2.2353,1.09,2.0698,1.4291,1.4291,195092.8712,105869.1544,87569.3452,3209277.7312,1741547.5899
601615.SH,20210414,16.88,1.4004,1.693,0.8,2.1239,1.4664,1.4664,195092.8712,105869.1544,87569.3452,3293167.6659,1787071.3263
601615.SH,20210413,16.52,1.2539,1.516,0.67,2.0786,1.4352,1.4352,195092.8712,105869.1544,87569.3452,3222934.2322,1748958.4307
601615.SH,20210412,16.79,1.5784,1.9083,0.78,2.1126,1.4586,1.4586,195092.8712,105869.1544,87569.3452,3275609.3074,1777543.1024
601615.SH,20210409,16.9,2.3040000000000003,2.7855,1.25,2.1264,1.4682,1.4682,195092.8712,105869.1544,87569.3452,3297069.5233,1789188.7094
601615.SH,20210408,17.2,1.915,2.3152,1.05,2.1642,1.4942,1.4942,195092.8712,105869.1544,87569.3452,3355597.3846,1820949.4557
601615.SH,20210407,17.37,1.7413,2.1051,0.78,2.2554,3.2295,1.8408,195092.8712,105869.1544,87569.3452,3388763.1727,1838947.2119
601615.SH,20210406,17.56,1.8809,2.274,0.8,2.2801,3.2648,1.861,195092.8712,105869.1544,87569.3452,3425830.8183,1859062.3513
601615.SH,20210402,17.01,2.3227,2.8081,0.89,2.2087,3.1626,1.8027,195092.8712,105869.1544,87569.3452,3318529.7391,1800834.3163
601615.SH,20210401,17.41,1.3487,1.6305,0.52,2.2606,3.2369,1.8451,195092.8712,105869.1544,87569.3452,3396566.8876,1843181.9781
601615.SH,20210331,17.45,1.8295,2.2118,0.69,2.2658,3.2444,1.8493,195092.8712,105869.1544,87569.3452,3404370.6024,1847416.7443
601615.SH,20210330,17.78,3.7783,4.5679,1.66,2.3087,3.3057,1.8843,195092.8712,105869.1544,87569.3452,3468751.2499,1882353.5652
601615.SH,20210329,18.55,2.4466,2.9579,1.08,2.4086,3.4489,1.9659,195092.8712,105869.1544,87569.3452,3618972.7608,1963872.8141
601615.SH,20210326,18.98,3.7159,4.4925,1.7,2.4645,3.5288,2.0114,195092.8712,105869.1544,87569.3452,3702862.6954,2009396.5505
601615.SH,20210325,18.0,1.3074,1.5806,0.54,2.3372,3.3466,1.9076,195092.8712,105869.1544,87569.3452,3511671.6816,1905644.7792
601615.SH,20210324,18.22,2.0064,2.4257,0.85,2.3658,3.3875,1.9309,195092.8712,105869.1544,87569.3452,3554592.1133,1928935.9932
601615.SH,20210323,18.93,1.9014,2.2988,0.81,2.458,3.5195,2.0061,195092.8712,105869.1544,87569.3452,3693108.0518,2004103.0928
601615.SH,20210322,18.9,2.419,3.0278,1.07,2.4541,3.514,2.003,195092.8712,105869.1544,84584.4962,3687255.2657,2000927.0182
601615.SH,20210319,18.49,3.4130000000000003,4.1514,1.58,2.4258,3.3851,1.9295,192108.0222,102884.3054,84584.4962,3552077.3305,1902330.8068
601615.SH,20210318,18.25,2.5443,3.0947,1.19,2.3943,3.3412,1.9045,192108.0222,102884.3054,84584.4962,3505971.4052,1877638.5736
601615.SH,20210317,17.59,1.725,2.0982,0.75,2.3077,3.2204,1.8356,192108.0222,102884.3054,84584.4962,3379180.1105,1809734.9319999998
601615.SH,20210316,17.32,1.8893,2.2981,0.71,2.2723,3.1709,1.8074,192108.0222,102884.3054,84584.4962,3327310.9445,1781956.1695
601615.SH,20210315,17.7,2.1094,2.5658,0.63,2.3222,3.2405,1.8471,192108.0222,102884.3054,84584.4962,3400311.9929,1821052.2056
601615.SH,20210312,18.19,2.5456,3.0963,0.71,2.3864,3.3302,1.8982,192108.0222,102884.3054,84584.4962,3494444.9238,1871465.5152
601615.SH,20210311,17.71,2.4094,2.9307,0.67,2.3235,3.2423,1.8481,192108.0222,102884.3054,84584.4962,3402233.0732,1822081.0486
601615.SH,20210310,17.02,2.5504,3.1877,0.73,2.2329,3.116,1.7761,192108.0222,102884.3054,82314.3637,3269678.5378,1751090.8779
601615.SH,20210309,16.68,3.7568,4.592,1.09,2.2063,3.0177,1.7201,189837.8897,100614.1729,82314.3637,3166496.0002,1678244.404
601615.SH,20210308,17.27,5.5687,6.8067,1.9,2.2843,3.1244,1.7809,189837.8897,100614.1729,82314.3637,3278500.3551,1737606.7659999998
601615.SH,20210305,19.07,3.8589,4.7168,1.46,2.5224,3.4501,1.9665,189837.8897,100614.1729,82314.3637,3620208.5566,1918712.2772
601615.SH,20210304,20.4,2.6243,3.2077,0.96,2.6983,3.6907,2.1037,189837.8897,100614.1729,82314.3637,3872692.9499,2052529.1272
601615.SH,20210303,21.12,2.0689,2.5289,0.68,2.7935,3.8209,2.1779,189837.8897,100614.1729,82314.3637,4009376.2305,2124971.3316
601615.SH,20210302,21.31,3.1809,3.8881,0.98,2.8187,3.8553,2.1975,189837.8897,100614.1729,82314.3637,4045445.4295,2144088.0245
