ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv
600496.SH,20210528,4.19,1.4526,1.9812,0.66,1.2117,0.7344,0.7093,201287.4349,201287.4349,147580.4745,843394.3522,843394.3522
600496.SH,20210527,4.21,0.7705,1.0509,0.65,1.2175,0.7379,0.7127,201287.4349,201287.4349,147580.4745,847420.1009,847420.1009
600496.SH,20210526,4.2,0.9477,1.2926,0.79,1.2146,0.7362,0.711,201287.4349,201287.4349,147580.4745,845407.2266,845407.2266
600496.SH,20210525,4.2,1.0641,1.4513,0.93,1.2146,0.7362,0.711,201287.4349,201287.4349,147580.4745,845407.2266,845407.2266
600496.SH,20210524,4.21,0.8569,1.1688,0.71,1.2175,0.7379,0.7127,201287.4349,201287.4349,147580.4745,847420.1009,847420.1009
600496.SH,20210521,4.23,0.9690000000000001,0.9690000000000001,0.77,1.2233,0.7414,0.7161,201287.4349,201287.4349,201287.4349,851445.8496,851445.8496
600496.SH,20210520,4.27,2.0819,2.8396,2.05,1.2349,0.7484,0.7228,201287.4349,201287.4349,147580.4745,859497.3470000001,859497.3470000001
600496.SH,20210519,4.15,1.0256,1.3988,0.96,1.2001,0.7274,0.7025,201287.4349,201287.4349,147580.4745,835342.8548,835342.8548
600496.SH,20210518,4.2,0.7985,1.0891,0.68,1.2146,0.7362,0.711,201287.4349,201287.4349,147580.4745,845407.2266,845407.2266
600496.SH,20210517,4.2,1.1745,1.6019,0.8,1.2146,0.7362,0.711,201287.4349,201287.4349,147580.4745,845407.2266,845407.2266
600496.SH,20210514,4.21,1.1872,1.6192,0.74,1.2175,0.7379,0.7127,201287.4349,201287.4349,147580.4745,847420.1009,847420.1009
600496.SH,20210513,4.17,0.887,1.2098,0.45,1.2059,0.7309,0.7059,201287.4349,201287.4349,147580.4745,839368.6035,839368.6035
600496.SH,20210512,4.22,1.273,1.7363,0.63,1.2204,0.7397,0.7144,201287.4349,201287.4349,147580.4745,849432.9753,849432.9753
600496.SH,20210511,4.19,1.3512,1.8429,0.66,1.2117,0.7344,0.7093,201287.4349,201287.4349,147580.4745,843394.3522,843394.3522
600496.SH,20210510,4.21,2.6279,3.5843,1.0,1.2175,0.7379,0.7127,201287.4349,201287.4349,147580.4745,847420.1009,847420.1009
600496.SH,20210507,4.38,1.9151,2.6121,0.79,1.2667,0.7677,0.7415,201287.4349,201287.4349,147580.4745,881638.9649,881638.9649
600496.SH,20210506,4.37,2.6917,3.6712,1.22,1.2638,0.7659999999999999,0.7398,201287.4349,201287.4349,147580.4745,879626.0905,879626.0905
600496.SH,20210430,4.51,1.4563,1.9863,0.7,1.3043,0.7905,0.7635,201287.4349,201287.4349,147580.4745,907806.3314,907806.3314
600496.SH,20210429,4.47,1.535,2.0935,0.8,1.2927,0.7835,0.7567,201287.4349,201287.4349,147580.4745,899754.834,899754.834
600496.SH,20210428,4.53,5.6039,7.6432,5.56,1.31,0.794,0.7669,201287.4349,201287.4349,147580.4745,911832.0801,911832.0801
600496.SH,20210427,5.0,0.867,1.1825,0.86,1.4746,0.8764,0.8764,201287.4349,201287.4349,147580.4745,1006437.1745,1006437.1745
600496.SH,20210426,5.08,1.5521,2.1169,1.7,1.4982,0.8904,0.8904,201287.4349,201287.4349,147580.4745,1022540.1693,1022540.1693
600496.SH,20210423,5.06,0.8416,1.1479,0.92,1.4923,0.8869,0.8869,201287.4349,201287.4349,147580.4745,1018514.4206,1018514.4206
600496.SH,20210422,4.99,0.8146,0.9454,0.75,1.4716,0.8746,0.8746,201287.4349,171287.4349,147580.4745,1004424.3002,854724.3002
600496.SH,20210421,4.98,1.2722,1.4766,1.26,1.4687,0.8729,0.8729,201287.4349,171287.4349,147580.4745,1002411.4258,853011.4258
600496.SH,20210420,5.08,1.0062,1.1679,0.94,1.4982,0.8904,0.8904,201287.4349,171287.4349,147580.4745,1022540.1693,870140.1693
600496.SH,20210419,5.11,1.2886,1.4956,1.16,1.507,0.8957,0.8957,201287.4349,171287.4349,147580.4745,1028578.7923,875278.7923
600496.SH,20210416,5.05,1.0012,1.162,0.88,1.4893,0.8851,0.8851,201287.4349,171287.4349,147580.4745,1016501.5462,865001.5462
600496.SH,20210415,4.97,0.8343,0.9683,0.66,1.4612,0.9774,0.8675,201287.4349,171287.4349,147580.4745,1000398.5515,851298.5515
600496.SH,20210414,5.01,0.9339,1.084,0.68,1.4729,0.9853,0.8745,201287.4349,171287.4349,147580.4745,1008450.0488,858150.0488
600496.SH,20210413,4.94,1.3059,1.5157,0.8,1.4524,0.9715,0.8623,201287.4349,171287.4349,147580.4745,994359.9284,846159.9284
600496.SH,20210412,5.05,1.4857,1.7244,0.87,1.4847,0.9931,0.8815,201287.4349,171287.4349,147580.4745,1016501.5462,865001.5462
600496.SH,20210409,5.17,1.1056,1.2832,0.63,1.52,1.0167,0.9024,201287.4349,171287.4349,147580.4745,1040656.0384,885556.0384
600496.SH,20210408,5.26,1.4984,1.7391,0.86,1.5464,1.0344,0.9181,201287.4349,171287.4349,147580.4745,1058771.9076,900971.9076
600496.SH,20210407,5.25,1.4452,1.6774,0.77,1.5435,1.0325,0.9164,201287.4349,171287.4349,147580.4745,1056759.0332,899259.0332
600496.SH,20210406,5.19,2.6479,3.0733,1.61,1.5259,1.0207,0.9059,201287.4349,171287.4349,147580.4745,1044681.7871,888981.7871
600496.SH,20210402,5.32,1.796,2.0845,1.14,1.5641,1.0462,0.9286,201287.4349,171287.4349,147580.4745,1070849.1537,911249.1537
600496.SH,20210401,5.43,1.3457,1.5619,0.84,1.5964,1.0678,0.9478,201287.4349,171287.4349,147580.4745,1092990.7715,930090.7715
600496.SH,20210331,5.41,1.4654,1.7008,0.78,1.5905,1.0639,0.9443,201287.4349,171287.4349,147580.4745,1088965.0228,926665.0228
600496.SH,20210330,5.49,2.1684,2.5167,1.06,1.6141,1.0796,0.9583,201287.4349,171287.4349,147580.4745,1105068.0176,940368.0176
600496.SH,20210329,5.4,1.4434,1.6752,0.56,1.5876,1.0619,0.9426,201287.4349,171287.4349,147580.4745,1086952.1485,924952.1485
