股票代码,交易日期,指数
603017.SH,20210104,9.73
603017.SH,20210105,9.81
603017.SH,20210106,9.73
603017.SH,20210107,9.29
603017.SH,20210108,9.17
603017.SH,20210111,8.96
603017.SH,20210112,9.03
603017.SH,20210113,9.17
603017.SH,20210114,9.19
603017.SH,20210115,9.39
603017.SH,20210118,9.35
603017.SH,20210119,9.35
603017.SH,20210120,9.55
603017.SH,20210121,9.48
603017.SH,20210122,9.38
603017.SH,20210125,9.15
603017.SH,20210126,9.16
603017.SH,20210127,9.15
603017.SH,20210128,9.13
603017.SH,20210129,9.18
603017.SH,20210201,9.28
603017.SH,20210202,9.47
603017.SH,20210203,9.29
603017.SH,20210204,9.02
603017.SH,20210205,9.07
603017.SH,20210208,8.99
603017.SH,20210209,9.07
603017.SH,20210210,9.32
603017.SH,20210218,9.44
603017.SH,20210219,9.65
603017.SH,20210222,9.56
603017.SH,20210223,9.63
603017.SH,20210224,9.65
603017.SH,20210225,9.6
603017.SH,20210226,9.69
603017.SH,20210301,9.8
603017.SH,20210302,9.71
603017.SH,20210303,9.79
603017.SH,20210304,9.68
603017.SH,20210305,9.85
603017.SH,20210308,9.92
603017.SH,20210309,10.1
603017.SH,20210310,10.37
603017.SH,20210311,10.35
603017.SH,20210312,10.13
603017.SH,20210315,10.16
603017.SH,20210316,10.01
603017.SH,20210317,9.95
603017.SH,20210318,10.19
603017.SH,20210319,10.01
603017.SH,20210322,10.09
603017.SH,20210323,9.98
603017.SH,20210324,9.74
603017.SH,20210325,9.68
603017.SH,20210326,9.78
603017.SH,20210329,9.76
603017.SH,20210330,10.11
603017.SH,20210331,10.05
603017.SH,20210401,9.95
603017.SH,20210402,9.9
603017.SH,20210406,9.84
603017.SH,20210407,9.89
603017.SH,20210408,10.08
603017.SH,20210409,10.12
603017.SH,20210412,10.19
603017.SH,20210413,10.03
603017.SH,20210414,10.11
603017.SH,20210415,10.18
603017.SH,20210416,10.19
603017.SH,20210419,10.16
603017.SH,20210420,10.02
603017.SH,20210421,10.05
603017.SH,20210422,10.01
603017.SH,20210423,9.8
603017.SH,20210426,9.85
603017.SH,20210427,9.75
603017.SH,20210428,9.78
603017.SH,20210429,9.86
603017.SH,20210430,9.86
603017.SH,20210506,9.9
603017.SH,20210507,9.84
603017.SH,20210510,9.46
603017.SH,20210511,9.51
603017.SH,20210512,9.67
603017.SH,20210513,9.65
603017.SH,20210514,9.78
603017.SH,20210517,9.76
603017.SH,20210518,9.7
603017.SH,20210519,9.73
603017.SH,20210520,9.68
603017.SH,20210521,9.76
603017.SH,20210524,9.83
603017.SH,20210525,9.87
603017.SH,20210526,9.9
603017.SH,20210527,9.9
603017.SH,20210528,9.84
