股票代码,交易日期,指数
300001.SZ,20210104,31.27
300001.SZ,20210105,30.85
300001.SZ,20210106,30.07
300001.SZ,20210107,35.52
300001.SZ,20210108,35.82
300001.SZ,20210111,38.36
300001.SZ,20210112,39.45
300001.SZ,20210113,38.5
300001.SZ,20210114,35.55
300001.SZ,20210115,35.24
300001.SZ,20210118,35.62
300001.SZ,20210119,33.11
300001.SZ,20210120,35.0
300001.SZ,20210121,36.85
300001.SZ,20210122,37.8
300001.SZ,20210125,39.46
300001.SZ,20210126,38.76
300001.SZ,20210127,38.76
300001.SZ,20210128,40.08
300001.SZ,20210129,36.4
300001.SZ,20210201,35.56
300001.SZ,20210202,35.7
300001.SZ,20210203,34.8
300001.SZ,20210204,34.15
300001.SZ,20210205,33.79
300001.SZ,20210208,33.43
300001.SZ,20210209,34.22
300001.SZ,20210210,35.48
300001.SZ,20210218,32.91
300001.SZ,20210219,33.55
300001.SZ,20210222,31.81
300001.SZ,20210223,30.86
300001.SZ,20210224,30.09
300001.SZ,20210225,30.45
300001.SZ,20210226,29.67
300001.SZ,20210301,29.97
300001.SZ,20210302,30.11
300001.SZ,20210303,30.84
300001.SZ,20210304,29.37
300001.SZ,20210305,29.37
300001.SZ,20210308,26.2
300001.SZ,20210309,25.18
300001.SZ,20210310,25.5
300001.SZ,20210311,26.26
300001.SZ,20210312,26.69
300001.SZ,20210315,26.4
300001.SZ,20210316,26.34
300001.SZ,20210317,26.32
300001.SZ,20210318,26.29
300001.SZ,20210319,26.23
300001.SZ,20210322,26.72
300001.SZ,20210323,26.06
300001.SZ,20210324,25.35
300001.SZ,20210325,25.75
300001.SZ,20210326,26.25
300001.SZ,20210329,25.5
300001.SZ,20210330,25.94
300001.SZ,20210331,25.36
300001.SZ,20210401,26.39
300001.SZ,20210402,28.0
300001.SZ,20210406,27.11
300001.SZ,20210407,25.5
300001.SZ,20210408,25.3
300001.SZ,20210409,24.42
300001.SZ,20210412,23.57
300001.SZ,20210413,23.35
300001.SZ,20210414,24.04
300001.SZ,20210415,24.14
300001.SZ,20210416,23.98
300001.SZ,20210419,25.98
300001.SZ,20210420,25.82
300001.SZ,20210421,25.61
300001.SZ,20210422,25.85
300001.SZ,20210423,26.3
300001.SZ,20210426,25.88
300001.SZ,20210427,25.38
300001.SZ,20210428,26.09
300001.SZ,20210429,25.12
300001.SZ,20210430,25.23
300001.SZ,20210506,24.47
300001.SZ,20210507,24.0
300001.SZ,20210510,23.48
300001.SZ,20210511,23.85
300001.SZ,20210512,23.93
300001.SZ,20210513,23.45
300001.SZ,20210514,24.31
300001.SZ,20210517,24.61
300001.SZ,20210518,23.67
300001.SZ,20210519,25.45
300001.SZ,20210520,26.86
300001.SZ,20210521,26.62
300001.SZ,20210524,26.88
300001.SZ,20210525,26.68
300001.SZ,20210526,26.47
300001.SZ,20210527,26.51
300001.SZ,20210528,27.3
