股票代码,交易日期,指数
000055.SZ,20210104,4.48
000055.SZ,20210105,4.45
000055.SZ,20210106,4.49
000055.SZ,20210107,4.36
000055.SZ,20210108,4.34
000055.SZ,20210111,4.22
000055.SZ,20210112,4.22
000055.SZ,20210113,4.14
000055.SZ,20210114,4.16
000055.SZ,20210115,4.24
000055.SZ,20210118,4.29
000055.SZ,20210119,4.31
000055.SZ,20210120,4.27
000055.SZ,20210121,4.29
000055.SZ,20210122,4.22
000055.SZ,20210125,4.17
000055.SZ,20210126,4.14
000055.SZ,20210127,4.15
000055.SZ,20210128,4.12
000055.SZ,20210129,4.08
000055.SZ,20210201,4.03
000055.SZ,20210202,4.06
000055.SZ,20210203,4.03
000055.SZ,20210204,3.95
000055.SZ,20210205,3.97
000055.SZ,20210208,3.98
000055.SZ,20210209,4.03
000055.SZ,20210210,4.09
000055.SZ,20210218,4.15
000055.SZ,20210219,4.24
000055.SZ,20210222,4.25
000055.SZ,20210223,4.24
000055.SZ,20210224,4.25
000055.SZ,20210225,4.26
000055.SZ,20210226,4.25
000055.SZ,20210301,4.29
000055.SZ,20210302,4.25
000055.SZ,20210303,4.32
000055.SZ,20210304,4.34
000055.SZ,20210305,4.51
000055.SZ,20210308,4.77
000055.SZ,20210309,4.9
000055.SZ,20210310,4.65
000055.SZ,20210311,4.66
000055.SZ,20210312,4.85
000055.SZ,20210315,4.77
000055.SZ,20210316,4.85
000055.SZ,20210317,4.76
000055.SZ,20210318,4.77
000055.SZ,20210319,4.65
000055.SZ,20210322,4.81
000055.SZ,20210323,4.6
000055.SZ,20210324,4.65
000055.SZ,20210325,4.48
000055.SZ,20210326,4.48
000055.SZ,20210329,4.52
000055.SZ,20210330,4.45
000055.SZ,20210331,4.5
000055.SZ,20210401,4.47
000055.SZ,20210402,4.45
000055.SZ,20210406,4.48
000055.SZ,20210407,4.51
000055.SZ,20210408,4.46
000055.SZ,20210409,4.42
000055.SZ,20210412,4.42
000055.SZ,20210413,4.35
000055.SZ,20210414,4.39
000055.SZ,20210415,4.36
000055.SZ,20210416,4.46
000055.SZ,20210419,4.48
000055.SZ,20210420,4.44
000055.SZ,20210421,4.48
000055.SZ,20210422,4.49
000055.SZ,20210423,4.44
000055.SZ,20210426,4.43
000055.SZ,20210427,4.42
000055.SZ,20210428,4.33
000055.SZ,20210429,4.3
000055.SZ,20210430,4.24
000055.SZ,20210506,4.27
000055.SZ,20210507,4.24
000055.SZ,20210510,4.3
000055.SZ,20210511,4.29
000055.SZ,20210512,4.31
000055.SZ,20210513,4.28
000055.SZ,20210514,4.33
000055.SZ,20210517,4.37
000055.SZ,20210518,4.35
000055.SZ,20210519,4.29
000055.SZ,20210520,4.26
000055.SZ,20210521,4.33
000055.SZ,20210524,4.32
000055.SZ,20210525,4.34
000055.SZ,20210526,4.36
000055.SZ,20210527,4.4
000055.SZ,20210528,4.37
