股票代码,交易日期,指数
000040.SZ,20210104,3.58
000040.SZ,20210105,3.45
000040.SZ,20210106,3.31
000040.SZ,20210107,3.08
000040.SZ,20210108,3.07
000040.SZ,20210111,3.1
000040.SZ,20210112,3.09
000040.SZ,20210113,3.05
000040.SZ,20210114,3.12
000040.SZ,20210115,3.12
000040.SZ,20210118,3.12
000040.SZ,20210119,3.16
000040.SZ,20210120,3.12
000040.SZ,20210121,3.11
000040.SZ,20210122,3.04
000040.SZ,20210125,3.04
000040.SZ,20210126,2.97
000040.SZ,20210127,2.93
000040.SZ,20210128,2.9
000040.SZ,20210129,2.8
000040.SZ,20210201,2.52
000040.SZ,20210202,2.42
000040.SZ,20210203,2.33
000040.SZ,20210204,2.24
000040.SZ,20210205,2.28
000040.SZ,20210208,2.24
000040.SZ,20210209,2.31
000040.SZ,20210210,2.33
000040.SZ,20210218,2.45
000040.SZ,20210219,2.55
000040.SZ,20210222,2.6
000040.SZ,20210223,2.54
000040.SZ,20210224,2.56
000040.SZ,20210225,2.54
000040.SZ,20210226,2.54
000040.SZ,20210301,2.58
000040.SZ,20210302,2.58
000040.SZ,20210303,2.61
000040.SZ,20210304,2.64
000040.SZ,20210305,2.7
000040.SZ,20210308,2.66
000040.SZ,20210309,2.72
000040.SZ,20210310,2.57
000040.SZ,20210311,2.83
000040.SZ,20210312,2.84
000040.SZ,20210315,2.93
000040.SZ,20210316,2.89
000040.SZ,20210317,2.84
000040.SZ,20210318,2.81
000040.SZ,20210319,2.86
000040.SZ,20210322,2.93
000040.SZ,20210323,2.8
000040.SZ,20210324,3.06
000040.SZ,20210325,2.87
000040.SZ,20210326,3.16
000040.SZ,20210329,3.19
000040.SZ,20210330,3.1
000040.SZ,20210331,3.15
000040.SZ,20210401,3.05
000040.SZ,20210402,2.93
000040.SZ,20210406,2.98
000040.SZ,20210407,2.98
000040.SZ,20210408,2.87
000040.SZ,20210409,2.83
000040.SZ,20210412,2.83
000040.SZ,20210413,2.71
000040.SZ,20210414,2.75
000040.SZ,20210415,2.65
000040.SZ,20210416,2.71
000040.SZ,20210419,2.79
000040.SZ,20210420,2.73
000040.SZ,20210421,2.69
000040.SZ,20210422,2.67
000040.SZ,20210423,2.61
000040.SZ,20210426,2.61
000040.SZ,20210427,2.57
000040.SZ,20210428,2.59
000040.SZ,20210429,2.56
000040.SZ,20210430,2.54
000040.SZ,20210506,2.58
000040.SZ,20210507,2.63
000040.SZ,20210510,2.68
000040.SZ,20210511,2.7
000040.SZ,20210512,2.68
000040.SZ,20210513,2.66
000040.SZ,20210514,2.7
000040.SZ,20210517,2.62
000040.SZ,20210518,2.62
000040.SZ,20210519,2.61
000040.SZ,20210520,2.57
000040.SZ,20210521,2.66
000040.SZ,20210524,2.68
000040.SZ,20210525,2.65
000040.SZ,20210526,2.66
000040.SZ,20210527,2.64
000040.SZ,20210528,2.62
