股票代码,交易日期,指数
300490.SZ,20210104,11.77
300490.SZ,20210105,12.02
300490.SZ,20210106,12.21
300490.SZ,20210107,11.24
300490.SZ,20210108,10.48
300490.SZ,20210111,9.73
300490.SZ,20210112,9.53
300490.SZ,20210113,8.92
300490.SZ,20210114,8.82
300490.SZ,20210115,9.32
300490.SZ,20210118,9.45
300490.SZ,20210119,9.41
300490.SZ,20210120,9.66
300490.SZ,20210121,9.68
300490.SZ,20210122,9.46
300490.SZ,20210125,9.0
300490.SZ,20210126,8.84
300490.SZ,20210127,8.73
300490.SZ,20210128,8.49
300490.SZ,20210129,8.18
300490.SZ,20210201,8.29
300490.SZ,20210202,8.15
300490.SZ,20210203,8.02
300490.SZ,20210204,7.75
300490.SZ,20210205,7.72
300490.SZ,20210208,7.48
300490.SZ,20210209,7.55
300490.SZ,20210210,7.66
300490.SZ,20210218,8.04
300490.SZ,20210219,8.45
300490.SZ,20210222,8.93
300490.SZ,20210223,8.68
300490.SZ,20210224,8.78
300490.SZ,20210225,8.76
300490.SZ,20210226,9.08
300490.SZ,20210301,9.06
300490.SZ,20210302,9.07
300490.SZ,20210303,9.38
300490.SZ,20210304,9.85
300490.SZ,20210305,9.6
300490.SZ,20210308,10.04
300490.SZ,20210309,8.96
300490.SZ,20210310,9.9
300490.SZ,20210311,10.15
300490.SZ,20210312,10.53
300490.SZ,20210315,10.32
300490.SZ,20210316,11.39
300490.SZ,20210317,10.97
300490.SZ,20210318,10.8
300490.SZ,20210319,10.69
300490.SZ,20210322,11.16
300490.SZ,20210323,10.34
300490.SZ,20210324,10.41
300490.SZ,20210325,9.57
300490.SZ,20210326,10.0
300490.SZ,20210329,10.23
300490.SZ,20210330,9.84
300490.SZ,20210331,10.06
300490.SZ,20210401,9.75
300490.SZ,20210402,9.31
300490.SZ,20210406,9.38
300490.SZ,20210407,9.45
300490.SZ,20210408,9.2
300490.SZ,20210409,9.23
300490.SZ,20210412,9.17
300490.SZ,20210413,9.47
300490.SZ,20210414,9.2
300490.SZ,20210415,9.0
300490.SZ,20210416,9.07
300490.SZ,20210419,9.38
300490.SZ,20210420,9.39
300490.SZ,20210421,9.19
300490.SZ,20210422,9.15
300490.SZ,20210423,9.41
300490.SZ,20210426,9.13
300490.SZ,20210427,8.7
300490.SZ,20210428,8.74
300490.SZ,20210429,9.26
300490.SZ,20210430,8.82
300490.SZ,20210506,8.94
300490.SZ,20210507,8.8
300490.SZ,20210510,8.86
300490.SZ,20210511,8.93
300490.SZ,20210512,8.87
300490.SZ,20210513,8.85
300490.SZ,20210514,9.3
300490.SZ,20210517,9.7
300490.SZ,20210518,9.48
300490.SZ,20210519,10.35
300490.SZ,20210520,10.46
300490.SZ,20210521,10.43
300490.SZ,20210524,10.31
300490.SZ,20210525,10.56
300490.SZ,20210526,10.32
300490.SZ,20210527,10.64
300490.SZ,20210528,10.98
