股票代码,交易日期,指数
300324.SZ,20210104,4.29
300324.SZ,20210105,4.24
300324.SZ,20210106,4.1
300324.SZ,20210107,3.88
300324.SZ,20210108,3.94
300324.SZ,20210111,3.74
300324.SZ,20210112,3.79
300324.SZ,20210113,3.73
300324.SZ,20210114,3.78
300324.SZ,20210115,3.83
300324.SZ,20210118,3.87
300324.SZ,20210119,3.95
300324.SZ,20210120,3.87
300324.SZ,20210121,3.88
300324.SZ,20210122,3.71
300324.SZ,20210125,3.51
300324.SZ,20210126,3.46
300324.SZ,20210127,3.45
300324.SZ,20210128,3.5
300324.SZ,20210129,3.4
300324.SZ,20210201,3.32
300324.SZ,20210202,3.28
300324.SZ,20210203,3.16
300324.SZ,20210204,3.05
300324.SZ,20210205,3.01
300324.SZ,20210208,2.97
300324.SZ,20210209,3.04
300324.SZ,20210210,3.01
300324.SZ,20210218,3.18
300324.SZ,20210219,3.58
300324.SZ,20210222,3.53
300324.SZ,20210223,3.41
300324.SZ,20210224,3.52
300324.SZ,20210225,3.42
300324.SZ,20210226,3.5
300324.SZ,20210301,3.55
300324.SZ,20210302,3.47
300324.SZ,20210303,3.45
300324.SZ,20210304,3.37
300324.SZ,20210305,3.63
300324.SZ,20210308,3.52
300324.SZ,20210309,3.48
300324.SZ,20210310,3.27
300324.SZ,20210311,3.26
300324.SZ,20210312,3.13
300324.SZ,20210315,3.16
300324.SZ,20210316,3.62
300324.SZ,20210317,3.68
300324.SZ,20210318,3.55
300324.SZ,20210319,3.92
300324.SZ,20210322,3.9
300324.SZ,20210323,3.82
300324.SZ,20210324,3.73
300324.SZ,20210325,3.7
300324.SZ,20210326,3.71
300324.SZ,20210329,3.61
300324.SZ,20210330,3.45
300324.SZ,20210331,3.42
300324.SZ,20210401,3.47
300324.SZ,20210402,3.48
300324.SZ,20210406,3.55
300324.SZ,20210407,3.71
300324.SZ,20210408,3.59
300324.SZ,20210409,3.58
300324.SZ,20210412,3.48
300324.SZ,20210413,3.51
300324.SZ,20210414,3.52
300324.SZ,20210415,3.48
300324.SZ,20210416,3.65
300324.SZ,20210419,3.67
300324.SZ,20210420,3.61
300324.SZ,20210421,3.51
300324.SZ,20210422,3.43
300324.SZ,20210423,3.33
300324.SZ,20210426,3.41
300324.SZ,20210427,3.26
300324.SZ,20210428,3.23
300324.SZ,20210429,3.24
300324.SZ,20210430,3.1
300324.SZ,20210506,3.14
300324.SZ,20210507,3.23
300324.SZ,20210510,3.22
300324.SZ,20210511,3.29
300324.SZ,20210512,3.3
300324.SZ,20210513,3.3
300324.SZ,20210514,3.38
300324.SZ,20210517,3.25
300324.SZ,20210518,3.28
300324.SZ,20210519,3.24
300324.SZ,20210520,3.18
300324.SZ,20210521,3.19
300324.SZ,20210524,3.33
300324.SZ,20210525,3.32
300324.SZ,20210526,3.34
300324.SZ,20210527,3.35
300324.SZ,20210528,3.38
