股票代码,交易日期,指数
002178.SZ,20210104,3.33
002178.SZ,20210105,3.21
002178.SZ,20210106,3.13
002178.SZ,20210107,2.98
002178.SZ,20210108,3.07
002178.SZ,20210111,2.98
002178.SZ,20210112,2.95
002178.SZ,20210113,2.89
002178.SZ,20210114,2.89
002178.SZ,20210115,2.96
002178.SZ,20210118,3.07
002178.SZ,20210119,3.11
002178.SZ,20210120,3.07
002178.SZ,20210121,3.08
002178.SZ,20210122,3.01
002178.SZ,20210125,2.91
002178.SZ,20210126,2.94
002178.SZ,20210127,2.9
002178.SZ,20210128,2.89
002178.SZ,20210129,2.77
002178.SZ,20210201,2.69
002178.SZ,20210202,2.68
002178.SZ,20210203,2.66
002178.SZ,20210204,2.55
002178.SZ,20210205,2.56
002178.SZ,20210208,2.56
002178.SZ,20210209,2.58
002178.SZ,20210210,2.62
002178.SZ,20210218,2.73
002178.SZ,20210219,2.94
002178.SZ,20210222,2.99
002178.SZ,20210223,2.89
002178.SZ,20210224,2.91
002178.SZ,20210225,2.88
002178.SZ,20210226,2.93
002178.SZ,20210301,2.99
002178.SZ,20210302,2.96
002178.SZ,20210303,2.99
002178.SZ,20210304,3.01
002178.SZ,20210305,3.13
002178.SZ,20210308,3.44
002178.SZ,20210309,3.78
002178.SZ,20210310,3.4
002178.SZ,20210311,3.24
002178.SZ,20210312,3.56
002178.SZ,20210315,3.65
002178.SZ,20210316,3.69
002178.SZ,20210317,3.57
002178.SZ,20210318,3.46
002178.SZ,20210319,3.4
002178.SZ,20210322,3.49
002178.SZ,20210323,3.84
002178.SZ,20210324,3.91
002178.SZ,20210325,3.69
002178.SZ,20210326,3.66
002178.SZ,20210329,3.62
002178.SZ,20210330,3.55
002178.SZ,20210331,3.65
002178.SZ,20210401,3.94
002178.SZ,20210402,3.71
002178.SZ,20210406,3.76
002178.SZ,20210407,3.68
002178.SZ,20210408,3.52
002178.SZ,20210409,3.44
002178.SZ,20210412,3.42
002178.SZ,20210413,3.32
002178.SZ,20210414,3.28
002178.SZ,20210415,3.23
002178.SZ,20210416,3.36
002178.SZ,20210419,3.5
002178.SZ,20210420,3.42
002178.SZ,20210421,3.35
002178.SZ,20210422,3.31
002178.SZ,20210423,3.32
002178.SZ,20210426,3.15
002178.SZ,20210427,3.05
002178.SZ,20210428,3.15
002178.SZ,20210429,3.13
002178.SZ,20210430,3.09
002178.SZ,20210506,3.11
002178.SZ,20210507,3.09
002178.SZ,20210510,3.28
002178.SZ,20210511,3.46
002178.SZ,20210512,3.54
002178.SZ,20210513,3.46
002178.SZ,20210514,3.4
002178.SZ,20210517,3.32
002178.SZ,20210518,3.24
002178.SZ,20210519,3.16
002178.SZ,20210520,3.19
002178.SZ,20210521,3.51
002178.SZ,20210524,3.56
002178.SZ,20210525,3.52
002178.SZ,20210526,3.56
002178.SZ,20210527,3.49
002178.SZ,20210528,3.56
