股票代码,交易日期,指数
600710.SH,20210104,5.61
600710.SH,20210105,5.65
600710.SH,20210106,5.56
600710.SH,20210107,5.45
600710.SH,20210108,5.23
600710.SH,20210111,5.05
600710.SH,20210112,5.08
600710.SH,20210113,4.95
600710.SH,20210114,4.95
600710.SH,20210115,5.01
600710.SH,20210118,5.13
600710.SH,20210119,5.09
600710.SH,20210120,5.06
600710.SH,20210121,5.12
600710.SH,20210122,5.04
600710.SH,20210125,4.9
600710.SH,20210126,4.78
600710.SH,20210127,4.86
600710.SH,20210128,4.77
600710.SH,20210129,4.71
600710.SH,20210201,4.82
600710.SH,20210202,4.78
600710.SH,20210203,4.7
600710.SH,20210204,4.54
600710.SH,20210205,4.54
600710.SH,20210208,4.66
600710.SH,20210209,4.72
600710.SH,20210210,4.73
600710.SH,20210218,4.82
600710.SH,20210219,4.92
600710.SH,20210222,5.0
600710.SH,20210223,5.0
600710.SH,20210224,4.97
600710.SH,20210225,4.96
600710.SH,20210226,4.97
600710.SH,20210301,5.06
600710.SH,20210302,5.01
600710.SH,20210303,5.05
600710.SH,20210304,5.56
600710.SH,20210305,6.12
600710.SH,20210308,5.99
600710.SH,20210309,5.44
600710.SH,20210310,5.37
600710.SH,20210311,5.45
600710.SH,20210312,5.53
600710.SH,20210315,5.68
600710.SH,20210316,5.66
600710.SH,20210317,5.54
600710.SH,20210318,5.44
600710.SH,20210319,5.37
600710.SH,20210322,5.56
600710.SH,20210323,5.6
600710.SH,20210324,5.68
600710.SH,20210325,5.45
600710.SH,20210326,6.0
600710.SH,20210329,6.05
600710.SH,20210330,5.79
600710.SH,20210331,5.77
600710.SH,20210401,5.91
600710.SH,20210402,5.68
600710.SH,20210406,5.74
600710.SH,20210407,6.31
600710.SH,20210408,6.04
600710.SH,20210409,6.09
600710.SH,20210412,6.25
600710.SH,20210413,6.2
600710.SH,20210414,6.82
600710.SH,20210415,6.61
600710.SH,20210416,6.72
600710.SH,20210419,6.57
600710.SH,20210420,6.74
600710.SH,20210421,6.71
600710.SH,20210422,6.64
600710.SH,20210423,6.35
600710.SH,20210426,6.47
600710.SH,20210427,6.08
600710.SH,20210428,6.11
600710.SH,20210429,5.92
600710.SH,20210430,5.82
600710.SH,20210506,5.89
600710.SH,20210507,6.03
600710.SH,20210510,6.15
600710.SH,20210511,6.34
600710.SH,20210512,6.25
600710.SH,20210513,6.32
600710.SH,20210514,6.28
600710.SH,20210517,6.16
600710.SH,20210518,6.17
600710.SH,20210519,6.42
600710.SH,20210520,6.5
600710.SH,20210521,6.72
600710.SH,20210524,6.58
600710.SH,20210525,6.56
600710.SH,20210526,6.81
600710.SH,20210527,6.66
600710.SH,20210528,6.72
