股票代码,交易日期,指数
600496.SH,20210104,4.58
600496.SH,20210105,4.67
600496.SH,20210106,4.73
600496.SH,20210107,4.65
600496.SH,20210108,4.92
600496.SH,20210111,5.06
600496.SH,20210112,5.09
600496.SH,20210113,5.27
600496.SH,20210114,5.32
600496.SH,20210115,5.32
600496.SH,20210118,5.51
600496.SH,20210119,5.31
600496.SH,20210120,5.3
600496.SH,20210121,5.44
600496.SH,20210122,5.21
600496.SH,20210125,5.0
600496.SH,20210126,4.94
600496.SH,20210127,4.87
600496.SH,20210128,5.0
600496.SH,20210129,4.83
600496.SH,20210201,5.14
600496.SH,20210202,5.29
600496.SH,20210203,5.13
600496.SH,20210204,5.02
600496.SH,20210205,4.96
600496.SH,20210208,4.95
600496.SH,20210209,5.45
600496.SH,20210210,5.45
600496.SH,20210218,5.42
600496.SH,20210219,5.71
600496.SH,20210222,5.88
600496.SH,20210223,5.77
600496.SH,20210224,5.52
600496.SH,20210225,5.6
600496.SH,20210226,5.41
600496.SH,20210301,5.23
600496.SH,20210302,5.16
600496.SH,20210303,5.27
600496.SH,20210304,5.43
600496.SH,20210305,5.4
600496.SH,20210308,5.66
600496.SH,20210309,5.72
600496.SH,20210310,5.75
600496.SH,20210311,5.78
600496.SH,20210312,5.67
600496.SH,20210315,5.74
600496.SH,20210316,5.79
600496.SH,20210317,5.71
600496.SH,20210318,5.5
600496.SH,20210319,5.43
600496.SH,20210322,5.75
600496.SH,20210323,5.58
600496.SH,20210324,5.35
600496.SH,20210325,5.32
600496.SH,20210326,5.41
600496.SH,20210329,5.4
600496.SH,20210330,5.49
600496.SH,20210331,5.41
600496.SH,20210401,5.43
600496.SH,20210402,5.32
600496.SH,20210406,5.19
600496.SH,20210407,5.25
600496.SH,20210408,5.26
600496.SH,20210409,5.17
600496.SH,20210412,5.05
600496.SH,20210413,4.94
600496.SH,20210414,5.01
600496.SH,20210415,4.97
600496.SH,20210416,5.05
600496.SH,20210419,5.11
600496.SH,20210420,5.08
600496.SH,20210421,4.98
600496.SH,20210422,4.99
600496.SH,20210423,5.06
600496.SH,20210426,5.08
600496.SH,20210427,5.0
600496.SH,20210428,4.53
600496.SH,20210429,4.47
600496.SH,20210430,4.51
600496.SH,20210506,4.37
600496.SH,20210507,4.38
600496.SH,20210510,4.21
600496.SH,20210511,4.19
600496.SH,20210512,4.22
600496.SH,20210513,4.17
600496.SH,20210514,4.21
600496.SH,20210517,4.2
600496.SH,20210518,4.2
600496.SH,20210519,4.15
600496.SH,20210520,4.27
600496.SH,20210521,4.23
600496.SH,20210524,4.21
600496.SH,20210525,4.2
600496.SH,20210526,4.2
600496.SH,20210527,4.21
600496.SH,20210528,4.19
