股票代码,交易日期,指数
000058.SZ,20210104,6.62
000058.SZ,20210105,6.45
000058.SZ,20210106,6.36
000058.SZ,20210107,6.15
000058.SZ,20210108,6.22
000058.SZ,20210111,6.03
000058.SZ,20210112,6.09
000058.SZ,20210113,5.91
000058.SZ,20210114,6.04
000058.SZ,20210115,6.23
000058.SZ,20210118,6.24
000058.SZ,20210119,6.34
000058.SZ,20210120,6.27
000058.SZ,20210121,6.22
000058.SZ,20210122,6.06
000058.SZ,20210125,5.94
000058.SZ,20210126,5.92
000058.SZ,20210127,5.95
000058.SZ,20210128,5.92
000058.SZ,20210129,5.55
000058.SZ,20210201,5.47
000058.SZ,20210202,5.4
000058.SZ,20210203,5.52
000058.SZ,20210204,5.36
000058.SZ,20210205,5.29
000058.SZ,20210208,5.29
000058.SZ,20210209,5.37
000058.SZ,20210210,5.45
000058.SZ,20210218,5.6
000058.SZ,20210219,5.76
000058.SZ,20210222,5.85
000058.SZ,20210223,5.7
000058.SZ,20210224,5.86
000058.SZ,20210225,5.92
000058.SZ,20210226,5.83
000058.SZ,20210301,5.91
000058.SZ,20210302,5.85
000058.SZ,20210303,5.87
000058.SZ,20210304,5.79
000058.SZ,20210305,5.89
000058.SZ,20210308,6.07
000058.SZ,20210309,6.68
000058.SZ,20210310,6.33
000058.SZ,20210311,6.29
000058.SZ,20210312,6.22
000058.SZ,20210315,6.17
000058.SZ,20210316,6.47
000058.SZ,20210317,6.62
000058.SZ,20210318,6.49
000058.SZ,20210319,6.31
000058.SZ,20210322,6.4
000058.SZ,20210323,6.23
000058.SZ,20210324,6.22
000058.SZ,20210325,6.04
000058.SZ,20210326,6.09
000058.SZ,20210329,6.14
000058.SZ,20210330,6.05
000058.SZ,20210331,6.12
000058.SZ,20210401,6.07
000058.SZ,20210402,6.06
000058.SZ,20210406,6.19
000058.SZ,20210407,6.18
000058.SZ,20210408,6.11
000058.SZ,20210409,6.06
000058.SZ,20210412,6.01
000058.SZ,20210413,5.87
000058.SZ,20210414,5.93
000058.SZ,20210415,5.91
000058.SZ,20210416,6.04
000058.SZ,20210419,6.15
000058.SZ,20210420,6.08
000058.SZ,20210421,6.11
000058.SZ,20210422,6.09
000058.SZ,20210423,6.03
000058.SZ,20210426,5.96
000058.SZ,20210427,5.96
000058.SZ,20210428,5.95
000058.SZ,20210429,5.94
000058.SZ,20210430,5.86
000058.SZ,20210506,5.84
000058.SZ,20210507,5.75
000058.SZ,20210510,5.72
000058.SZ,20210511,5.83
000058.SZ,20210512,5.88
000058.SZ,20210513,5.89
000058.SZ,20210514,6.26
000058.SZ,20210517,6.04
000058.SZ,20210518,5.94
000058.SZ,20210519,5.65
000058.SZ,20210520,5.62
000058.SZ,20210521,5.41
000058.SZ,20210524,5.44
000058.SZ,20210525,5.44
000058.SZ,20210526,5.57
000058.SZ,20210527,5.57
000058.SZ,20210528,5.52
