股票代码,交易日期,指数
300320.SZ,20210104,7.11
300320.SZ,20210105,6.95
300320.SZ,20210106,6.5
300320.SZ,20210107,5.88
300320.SZ,20210108,5.93
300320.SZ,20210111,5.65
300320.SZ,20210112,5.58
300320.SZ,20210113,5.38
300320.SZ,20210114,5.42
300320.SZ,20210115,5.58
300320.SZ,20210118,5.62
300320.SZ,20210119,5.67
300320.SZ,20210120,5.77
300320.SZ,20210121,5.69
300320.SZ,20210122,5.46
300320.SZ,20210125,5.29
300320.SZ,20210126,5.3
300320.SZ,20210127,5.28
300320.SZ,20210128,5.28
300320.SZ,20210129,5.11
300320.SZ,20210201,5.06
300320.SZ,20210202,5.05
300320.SZ,20210203,4.94
300320.SZ,20210204,4.8
300320.SZ,20210205,4.73
300320.SZ,20210208,4.71
300320.SZ,20210209,4.79
300320.SZ,20210210,4.76
300320.SZ,20210218,4.94
300320.SZ,20210219,5.14
300320.SZ,20210222,5.21
300320.SZ,20210223,5.17
300320.SZ,20210224,5.26
300320.SZ,20210225,5.19
300320.SZ,20210226,5.18
300320.SZ,20210301,5.27
300320.SZ,20210302,5.19
300320.SZ,20210303,5.25
300320.SZ,20210304,5.21
300320.SZ,20210305,5.34
300320.SZ,20210308,5.52
300320.SZ,20210309,5.72
300320.SZ,20210310,5.33
300320.SZ,20210311,5.4
300320.SZ,20210312,5.39
300320.SZ,20210315,5.53
300320.SZ,20210316,5.56
300320.SZ,20210317,5.47
300320.SZ,20210318,5.39
300320.SZ,20210319,5.31
300320.SZ,20210322,5.4
300320.SZ,20210323,5.3
300320.SZ,20210324,5.41
300320.SZ,20210325,5.27
300320.SZ,20210326,5.3
300320.SZ,20210329,5.26
300320.SZ,20210330,5.15
300320.SZ,20210331,5.23
300320.SZ,20210401,5.19
300320.SZ,20210402,5.16
300320.SZ,20210406,5.21
300320.SZ,20210407,5.33
300320.SZ,20210408,5.23
300320.SZ,20210409,5.28
300320.SZ,20210412,5.16
300320.SZ,20210413,5.19
300320.SZ,20210414,5.35
300320.SZ,20210415,5.33
300320.SZ,20210416,5.42
300320.SZ,20210419,5.46
300320.SZ,20210420,5.38
300320.SZ,20210421,5.41
300320.SZ,20210422,5.37
300320.SZ,20210423,5.28
300320.SZ,20210426,5.45
300320.SZ,20210427,5.29
300320.SZ,20210428,5.28
300320.SZ,20210429,5.29
300320.SZ,20210430,5.23
300320.SZ,20210506,5.27
300320.SZ,20210507,5.36
300320.SZ,20210510,5.33
300320.SZ,20210511,5.42
300320.SZ,20210512,5.41
300320.SZ,20210513,5.38
300320.SZ,20210514,5.54
300320.SZ,20210517,5.44
300320.SZ,20210518,5.47
300320.SZ,20210519,5.37
300320.SZ,20210520,5.26
300320.SZ,20210521,5.27
300320.SZ,20210524,5.3
300320.SZ,20210525,5.28
300320.SZ,20210526,5.44
300320.SZ,20210527,5.42
300320.SZ,20210528,5.46
