股票代码,交易日期,指数
300118.SZ,20210104,29.52
300118.SZ,20210105,28.14
300118.SZ,20210106,27.71
300118.SZ,20210107,28.85
300118.SZ,20210108,28.0
300118.SZ,20210111,28.62
300118.SZ,20210112,29.3
300118.SZ,20210113,28.61
300118.SZ,20210114,25.68
300118.SZ,20210115,26.2
300118.SZ,20210118,25.64
300118.SZ,20210119,24.29
300118.SZ,20210120,25.44
300118.SZ,20210121,27.07
300118.SZ,20210122,27.0
300118.SZ,20210125,27.9
300118.SZ,20210126,26.4
300118.SZ,20210127,27.6
300118.SZ,20210128,25.06
300118.SZ,20210129,24.11
300118.SZ,20210201,19.29
300118.SZ,20210202,16.11
300118.SZ,20210203,14.36
300118.SZ,20210204,14.31
300118.SZ,20210205,13.63
300118.SZ,20210208,13.27
300118.SZ,20210209,14.16
300118.SZ,20210210,14.55
300118.SZ,20210218,14.38
300118.SZ,20210219,14.8
300118.SZ,20210222,15.2
300118.SZ,20210223,14.84
300118.SZ,20210224,14.43
300118.SZ,20210225,14.25
300118.SZ,20210226,15.04
300118.SZ,20210301,15.27
300118.SZ,20210302,14.77
300118.SZ,20210303,14.82
300118.SZ,20210304,14.13
300118.SZ,20210305,14.22
300118.SZ,20210308,13.79
300118.SZ,20210309,15.67
300118.SZ,20210310,15.55
300118.SZ,20210311,16.07
300118.SZ,20210312,16.22
300118.SZ,20210315,15.6
300118.SZ,20210316,15.77
300118.SZ,20210317,15.61
300118.SZ,20210318,15.22
300118.SZ,20210319,14.65
300118.SZ,20210322,14.84
300118.SZ,20210323,14.48
300118.SZ,20210324,14.27
300118.SZ,20210325,14.23
300118.SZ,20210326,14.6
300118.SZ,20210329,14.44
300118.SZ,20210330,15.24
300118.SZ,20210331,14.77
300118.SZ,20210401,14.77
300118.SZ,20210402,14.53
300118.SZ,20210406,14.9
300118.SZ,20210407,14.77
300118.SZ,20210408,14.29
300118.SZ,20210409,14.13
300118.SZ,20210412,13.3
300118.SZ,20210413,13.32
300118.SZ,20210414,13.46
300118.SZ,20210415,13.38
300118.SZ,20210416,13.45
300118.SZ,20210419,13.72
300118.SZ,20210420,13.99
300118.SZ,20210421,13.73
300118.SZ,20210422,13.62
300118.SZ,20210423,13.77
300118.SZ,20210426,13.65
300118.SZ,20210427,13.38
300118.SZ,20210428,12.78
300118.SZ,20210429,12.66
300118.SZ,20210430,12.66
300118.SZ,20210506,12.71
300118.SZ,20210507,13.04
300118.SZ,20210510,12.74
300118.SZ,20210511,12.36
300118.SZ,20210512,12.45
300118.SZ,20210513,12.21
300118.SZ,20210514,12.54
300118.SZ,20210517,12.39
300118.SZ,20210518,12.42
300118.SZ,20210519,12.56
300118.SZ,20210520,12.3
300118.SZ,20210521,13.04
300118.SZ,20210524,12.98
300118.SZ,20210525,12.99
300118.SZ,20210526,13.11
300118.SZ,20210527,13.24
300118.SZ,20210528,13.5
