股票代码,交易日期,指数
002218.SZ,20210104,5.4
002218.SZ,20210105,5.18
002218.SZ,20210106,5.1
002218.SZ,20210107,5.13
002218.SZ,20210108,4.88
002218.SZ,20210111,4.59
002218.SZ,20210112,4.61
002218.SZ,20210113,4.66
002218.SZ,20210114,4.52
002218.SZ,20210115,4.56
002218.SZ,20210118,4.75
002218.SZ,20210119,4.74
002218.SZ,20210120,4.74
002218.SZ,20210121,4.83
002218.SZ,20210122,4.9
002218.SZ,20210125,5.05
002218.SZ,20210126,4.86
002218.SZ,20210127,5.18
002218.SZ,20210128,5.04
002218.SZ,20210129,4.85
002218.SZ,20210201,4.92
002218.SZ,20210202,4.73
002218.SZ,20210203,4.55
002218.SZ,20210204,4.3
002218.SZ,20210205,4.07
002218.SZ,20210208,4.13
002218.SZ,20210209,4.24
002218.SZ,20210210,4.28
002218.SZ,20210218,4.34
002218.SZ,20210219,4.44
002218.SZ,20210222,4.47
002218.SZ,20210223,4.56
002218.SZ,20210224,4.56
002218.SZ,20210225,4.39
002218.SZ,20210226,4.38
002218.SZ,20210301,4.45
002218.SZ,20210302,4.48
002218.SZ,20210303,4.51
002218.SZ,20210304,4.38
002218.SZ,20210305,4.38
002218.SZ,20210308,4.48
002218.SZ,20210309,4.93
002218.SZ,20210310,4.8
002218.SZ,20210311,4.89
002218.SZ,20210312,5.07
002218.SZ,20210315,4.98
002218.SZ,20210316,5.12
002218.SZ,20210317,4.92
002218.SZ,20210318,5.03
002218.SZ,20210319,4.96
002218.SZ,20210322,5.25
002218.SZ,20210323,4.99
002218.SZ,20210324,5.02
002218.SZ,20210325,4.75
002218.SZ,20210326,5.09
002218.SZ,20210329,5.12
002218.SZ,20210330,4.96
002218.SZ,20210331,4.87
002218.SZ,20210401,4.91
002218.SZ,20210402,4.79
002218.SZ,20210406,4.86
002218.SZ,20210407,4.89
002218.SZ,20210408,4.76
002218.SZ,20210409,4.63
002218.SZ,20210412,4.66
002218.SZ,20210413,4.51
002218.SZ,20210414,4.53
002218.SZ,20210415,4.49
002218.SZ,20210416,4.56
002218.SZ,20210419,4.62
002218.SZ,20210420,4.59
002218.SZ,20210421,4.48
002218.SZ,20210422,4.44
002218.SZ,20210423,4.37
002218.SZ,20210426,4.4
002218.SZ,20210427,4.35
002218.SZ,20210428,4.38
002218.SZ,20210429,4.31
002218.SZ,20210430,4.23
002218.SZ,20210506,4.28
002218.SZ,20210507,4.31
002218.SZ,20210510,4.36
002218.SZ,20210511,4.34
002218.SZ,20210512,4.36
002218.SZ,20210513,4.27
002218.SZ,20210514,4.36
002218.SZ,20210517,4.33
002218.SZ,20210518,4.3
002218.SZ,20210519,4.3
002218.SZ,20210520,4.39
002218.SZ,20210521,4.4
002218.SZ,20210524,4.39
002218.SZ,20210525,4.4
002218.SZ,20210526,4.43
002218.SZ,20210527,4.39
002218.SZ,20210528,4.32
