股票代码,交易日期,指数
002482.SZ,20210104,3.08
002482.SZ,20210105,3.02
002482.SZ,20210106,3.04
002482.SZ,20210107,2.91
002482.SZ,20210108,2.93
002482.SZ,20210111,2.82
002482.SZ,20210112,2.77
002482.SZ,20210113,2.72
002482.SZ,20210114,2.75
002482.SZ,20210115,2.81
002482.SZ,20210118,2.81
002482.SZ,20210119,2.89
002482.SZ,20210120,2.84
002482.SZ,20210121,2.89
002482.SZ,20210122,2.8
002482.SZ,20210125,2.71
002482.SZ,20210126,2.74
002482.SZ,20210127,2.75
002482.SZ,20210128,2.77
002482.SZ,20210129,2.7
002482.SZ,20210201,2.52
002482.SZ,20210202,2.55
002482.SZ,20210203,2.51
002482.SZ,20210204,2.42
002482.SZ,20210205,2.41
002482.SZ,20210208,2.41
002482.SZ,20210209,2.42
002482.SZ,20210210,2.44
002482.SZ,20210218,2.52
002482.SZ,20210219,2.63
002482.SZ,20210222,2.68
002482.SZ,20210223,2.64
002482.SZ,20210224,2.71
002482.SZ,20210225,2.7
002482.SZ,20210226,2.71
002482.SZ,20210301,2.68
002482.SZ,20210302,2.63
002482.SZ,20210303,2.66
002482.SZ,20210304,2.65
002482.SZ,20210305,2.72
002482.SZ,20210308,2.73
002482.SZ,20210309,2.8
002482.SZ,20210310,2.66
002482.SZ,20210311,2.67
002482.SZ,20210312,2.69
002482.SZ,20210315,2.75
002482.SZ,20210316,2.85
002482.SZ,20210317,2.78
002482.SZ,20210318,2.79
002482.SZ,20210319,2.77
002482.SZ,20210322,2.79
002482.SZ,20210323,2.73
002482.SZ,20210324,2.68
002482.SZ,20210325,2.68
002482.SZ,20210326,2.69
002482.SZ,20210329,2.62
002482.SZ,20210330,2.58
002482.SZ,20210331,2.63
002482.SZ,20210401,2.65
002482.SZ,20210402,2.67
002482.SZ,20210406,2.7
002482.SZ,20210407,2.73
002482.SZ,20210408,2.69
002482.SZ,20210409,2.73
002482.SZ,20210412,2.72
002482.SZ,20210413,2.66
002482.SZ,20210414,2.68
002482.SZ,20210415,2.72
002482.SZ,20210416,2.76
002482.SZ,20210419,2.76
002482.SZ,20210420,2.73
002482.SZ,20210421,2.68
002482.SZ,20210422,2.68
002482.SZ,20210423,2.63
002482.SZ,20210426,2.59
002482.SZ,20210427,2.58
002482.SZ,20210428,2.6
002482.SZ,20210429,2.6
002482.SZ,20210430,2.57
002482.SZ,20210506,2.61
002482.SZ,20210507,2.69
002482.SZ,20210510,2.65
002482.SZ,20210511,2.69
002482.SZ,20210512,2.68
002482.SZ,20210513,2.69
002482.SZ,20210514,2.69
002482.SZ,20210517,2.61
002482.SZ,20210518,2.64
002482.SZ,20210519,2.61
002482.SZ,20210520,2.59
002482.SZ,20210521,2.59
002482.SZ,20210524,2.61
002482.SZ,20210525,2.62
002482.SZ,20210526,2.62
002482.SZ,20210527,2.63
002482.SZ,20210528,2.61
