股票代码,交易日期,指数
002309.SZ,20210104,5.68
002309.SZ,20210105,5.42
002309.SZ,20210106,5.22
002309.SZ,20210107,5.07
002309.SZ,20210108,4.87
002309.SZ,20210111,4.39
002309.SZ,20210112,4.38
002309.SZ,20210113,4.24
002309.SZ,20210114,4.26
002309.SZ,20210115,4.41
002309.SZ,20210118,4.4
002309.SZ,20210119,4.47
002309.SZ,20210120,4.37
002309.SZ,20210121,4.41
002309.SZ,20210122,4.28
002309.SZ,20210125,4.13
002309.SZ,20210126,4.17
002309.SZ,20210127,4.07
002309.SZ,20210128,4.09
002309.SZ,20210129,3.98
002309.SZ,20210201,4.38
002309.SZ,20210202,4.27
002309.SZ,20210203,4.24
002309.SZ,20210204,4.14
002309.SZ,20210205,4.04
002309.SZ,20210208,4.07
002309.SZ,20210209,4.06
002309.SZ,20210210,4.01
002309.SZ,20210218,4.27
002309.SZ,20210219,4.46
002309.SZ,20210222,4.49
002309.SZ,20210223,4.44
002309.SZ,20210224,4.52
002309.SZ,20210225,4.43
002309.SZ,20210226,4.55
002309.SZ,20210301,4.56
002309.SZ,20210302,4.56
002309.SZ,20210303,4.63
002309.SZ,20210304,4.74
002309.SZ,20210305,4.75
002309.SZ,20210308,4.73
002309.SZ,20210309,4.9
002309.SZ,20210310,4.55
002309.SZ,20210311,4.75
002309.SZ,20210312,4.75
002309.SZ,20210315,4.89
002309.SZ,20210316,5.38
002309.SZ,20210317,5.92
002309.SZ,20210318,5.47
002309.SZ,20210319,5.37
002309.SZ,20210322,5.35
002309.SZ,20210323,5.02
002309.SZ,20210324,5.15
002309.SZ,20210325,4.88
002309.SZ,20210326,4.88
002309.SZ,20210329,4.9
002309.SZ,20210330,4.72
002309.SZ,20210331,4.76
002309.SZ,20210401,4.75
002309.SZ,20210402,4.74
002309.SZ,20210406,4.91
002309.SZ,20210407,4.89
002309.SZ,20210408,4.77
002309.SZ,20210409,4.78
002309.SZ,20210412,4.72
002309.SZ,20210413,4.7
002309.SZ,20210414,4.78
002309.SZ,20210415,4.77
002309.SZ,20210416,4.9
002309.SZ,20210419,4.87
002309.SZ,20210420,4.86
002309.SZ,20210421,4.79
002309.SZ,20210422,4.8
002309.SZ,20210423,4.69
002309.SZ,20210426,4.61
002309.SZ,20210427,4.46
002309.SZ,20210428,4.49
002309.SZ,20210429,4.63
002309.SZ,20210430,4.56
002309.SZ,20210506,4.82
002309.SZ,20210507,4.85
002309.SZ,20210510,4.91
002309.SZ,20210511,4.86
002309.SZ,20210512,4.83
002309.SZ,20210513,4.76
002309.SZ,20210514,4.92
002309.SZ,20210517,4.79
002309.SZ,20210518,4.84
002309.SZ,20210519,4.86
002309.SZ,20210520,5.0
002309.SZ,20210521,5.12
002309.SZ,20210524,5.1
002309.SZ,20210525,5.09
002309.SZ,20210526,5.15
002309.SZ,20210527,5.25
002309.SZ,20210528,5.19
