股票代码,交易日期,指数
601615.SH,20210104,20.0
601615.SH,20210105,19.74
601615.SH,20210106,19.39
601615.SH,20210107,19.53
601615.SH,20210108,18.35
601615.SH,20210111,17.97
601615.SH,20210112,18.57
601615.SH,20210113,19.01
601615.SH,20210114,18.23
601615.SH,20210115,18.82
601615.SH,20210118,20.16
601615.SH,20210119,19.25
601615.SH,20210120,19.63
601615.SH,20210121,21.59
601615.SH,20210122,22.39
601615.SH,20210125,22.89
601615.SH,20210126,23.07
601615.SH,20210127,23.68
601615.SH,20210128,21.31
601615.SH,20210129,20.2
601615.SH,20210201,20.5
601615.SH,20210202,21.38
601615.SH,20210203,20.93
601615.SH,20210204,21.12
601615.SH,20210205,19.53
601615.SH,20210208,20.3
601615.SH,20210209,21.15
601615.SH,20210210,21.2
601615.SH,20210218,22.01
601615.SH,20210219,23.24
601615.SH,20210222,22.65
601615.SH,20210223,23.07
601615.SH,20210224,22.11
601615.SH,20210225,21.01
601615.SH,20210226,20.51
601615.SH,20210301,20.71
601615.SH,20210302,21.31
601615.SH,20210303,21.12
601615.SH,20210304,20.4
601615.SH,20210305,19.07
601615.SH,20210308,17.27
601615.SH,20210309,16.68
601615.SH,20210310,17.02
601615.SH,20210311,17.71
601615.SH,20210312,18.19
601615.SH,20210315,17.7
601615.SH,20210316,17.32
601615.SH,20210317,17.59
601615.SH,20210318,18.25
601615.SH,20210319,18.49
601615.SH,20210322,18.9
601615.SH,20210323,18.93
601615.SH,20210324,18.22
601615.SH,20210325,18.0
601615.SH,20210326,18.98
601615.SH,20210329,18.55
601615.SH,20210330,17.78
601615.SH,20210331,17.45
601615.SH,20210401,17.41
601615.SH,20210402,17.01
601615.SH,20210406,17.56
601615.SH,20210407,17.37
601615.SH,20210408,17.2
601615.SH,20210409,16.9
601615.SH,20210412,16.79
601615.SH,20210413,16.52
601615.SH,20210414,16.88
601615.SH,20210415,16.45
601615.SH,20210416,16.78
601615.SH,20210419,17.13
601615.SH,20210420,16.97
601615.SH,20210421,16.72
601615.SH,20210422,16.67
601615.SH,20210423,16.86
601615.SH,20210426,16.59
601615.SH,20210427,16.73
601615.SH,20210428,17.73
601615.SH,20210429,17.6
601615.SH,20210430,17.74
601615.SH,20210506,16.9
601615.SH,20210507,17.12
601615.SH,20210510,15.69
601615.SH,20210511,15.58
601615.SH,20210512,15.32
601615.SH,20210513,15.31
601615.SH,20210514,15.39
601615.SH,20210517,16.73
601615.SH,20210518,15.39
601615.SH,20210519,15.33
601615.SH,20210520,15.43
601615.SH,20210521,15.24
601615.SH,20210524,14.96
601615.SH,20210525,15.1
601615.SH,20210526,14.88
601615.SH,20210527,15.4
601615.SH,20210528,15.2
