股票代码,交易日期,指数
003035.SZ,20210119,2.02
003035.SZ,20210120,2.22
003035.SZ,20210121,2.44
003035.SZ,20210122,2.68
003035.SZ,20210125,2.95
003035.SZ,20210126,3.25
003035.SZ,20210127,3.58
003035.SZ,20210128,3.94
003035.SZ,20210129,4.33
003035.SZ,20210201,4.76
003035.SZ,20210202,5.24
003035.SZ,20210203,5.76
003035.SZ,20210204,6.34
003035.SZ,20210205,6.97
003035.SZ,20210208,7.4
003035.SZ,20210209,8.14
003035.SZ,20210210,7.33
003035.SZ,20210218,7.18
003035.SZ,20210219,6.7
003035.SZ,20210222,6.79
003035.SZ,20210223,6.18
003035.SZ,20210224,5.81
003035.SZ,20210225,6.1
003035.SZ,20210226,6.49
003035.SZ,20210301,6.85
003035.SZ,20210302,7.54
003035.SZ,20210303,7.74
003035.SZ,20210304,7.61
003035.SZ,20210305,6.94
003035.SZ,20210308,7.63
003035.SZ,20210309,7.67
003035.SZ,20210310,7.3
003035.SZ,20210311,7.9
003035.SZ,20210312,8.69
003035.SZ,20210315,8.55
003035.SZ,20210316,9.41
003035.SZ,20210317,9.85
003035.SZ,20210318,10.84
003035.SZ,20210319,11.92
003035.SZ,20210322,13.11
003035.SZ,20210323,14.42
003035.SZ,20210324,13.07
003035.SZ,20210325,13.55
003035.SZ,20210326,12.96
003035.SZ,20210329,14.26
003035.SZ,20210330,13.22
003035.SZ,20210331,13.45
003035.SZ,20210401,12.82
003035.SZ,20210402,12.15
003035.SZ,20210406,12.88
003035.SZ,20210407,14.17
003035.SZ,20210408,13.32
003035.SZ,20210409,13.25
003035.SZ,20210412,13.29
003035.SZ,20210413,12.22
003035.SZ,20210414,12.8
003035.SZ,20210415,12.12
003035.SZ,20210416,11.87
003035.SZ,20210419,11.93
003035.SZ,20210420,11.99
003035.SZ,20210421,11.46
003035.SZ,20210422,11.2
003035.SZ,20210423,10.82
003035.SZ,20210426,10.91
003035.SZ,20210427,10.12
003035.SZ,20210428,10.18
003035.SZ,20210429,10.09
003035.SZ,20210430,9.78
003035.SZ,20210506,10.1
003035.SZ,20210507,10.01
003035.SZ,20210510,10.8
003035.SZ,20210511,11.19
003035.SZ,20210512,10.69
003035.SZ,20210513,10.42
003035.SZ,20210514,10.43
003035.SZ,20210517,10.17
003035.SZ,20210518,10.4
003035.SZ,20210519,11.13
003035.SZ,20210520,10.89
003035.SZ,20210521,11.49
003035.SZ,20210524,11.33
003035.SZ,20210525,11.06
003035.SZ,20210526,11.25
003035.SZ,20210527,11.16
003035.SZ,20210528,11.06
