ts_code,trade_date,close,total_share,float_share,total_mv,circ_mv
600710.SH,20210527,6.66,130674.9434,130674.9434,870295.123,870295.123
600710.SH,20210526,6.81,130674.9434,130674.9434,889896.3646,889896.3646
600710.SH,20210525,6.56,130674.9434,130674.9434,857227.6287,857227.6287
600710.SH,20210524,6.58,130674.9434,130674.9434,859841.1276,859841.1276
600710.SH,20210521,6.72,130674.9434,130674.9434,878135.6196,878135.6196
600710.SH,20210520,6.5,130674.9434,130674.9434,849387.1321,849387.1321
600710.SH,20210519,6.42,130674.9434,130674.9434,838933.1366,838933.1366
600710.SH,20210518,6.17,130674.9434,130674.9434,806264.4008,806264.4008
600710.SH,20210517,6.16,130674.9434,130674.9434,804957.6513,804957.6513
600710.SH,20210514,6.28,130674.9434,130674.9434,820638.6446,820638.6446
600710.SH,20210513,6.32,130674.9434,130674.9434,825865.6423,825865.6423
600710.SH,20210512,6.25,130674.9434,130674.9434,816718.3963,816718.3963
600710.SH,20210511,6.34,130674.9434,130674.9434,828479.1412,828479.1412
600710.SH,20210510,6.15,130674.9434,130674.9434,803650.9019,803650.9019
600710.SH,20210507,6.03,130674.9434,130674.9434,787969.9087,787969.9087
600710.SH,20210506,5.89,130674.9434,130674.9434,769675.4166,769675.4166
600710.SH,20210430,5.82,130674.9434,130674.9434,760528.1706,760528.1706
600710.SH,20210429,5.92,130674.9434,130674.9434,773595.6649,773595.6649
600710.SH,20210428,6.11,130674.9434,130674.9434,798423.9042,798423.9042
600710.SH,20210427,6.08,130674.9434,130674.9434,794503.6559,794503.6559
600710.SH,20210426,6.47,130674.9434,130674.9434,845466.8838,845466.8838
600710.SH,20210423,6.35,130674.9434,130674.9434,829785.8906,829785.8906
600710.SH,20210422,6.64,130674.9434,130674.9434,867681.6242,867681.6242
600710.SH,20210421,6.71,130674.9434,130674.9434,876828.8702,876828.8702
600710.SH,20210420,6.74,130674.9434,130674.9434,880749.1185,880749.1185
600710.SH,20210419,6.57,130674.9434,130674.9434,858534.3781,858534.3781
600710.SH,20210416,6.72,130674.9434,130674.9434,878135.6196,878135.6196
600710.SH,20210415,6.61,130674.9434,130674.9434,863761.3759,863761.3759
600710.SH,20210414,6.82,130674.9434,130674.9434,891203.114,891203.114
600710.SH,20210413,6.2,130674.9434,130674.9434,810184.6491,810184.6491
600710.SH,20210412,6.25,130674.9434,130674.9434,816718.3963,816718.3963
600710.SH,20210409,6.09,130674.9434,130674.9434,795810.4053,795810.4053
600710.SH,20210408,6.04,130674.9434,130674.9434,789276.6581,789276.6581
600710.SH,20210407,6.31,130674.9434,130674.9434,824558.8929,824558.8929
600710.SH,20210406,5.74,130674.9434,130674.9434,750074.1751,750074.1751
600710.SH,20210402,5.68,130674.9434,130674.9434,742233.6785,742233.6785
600710.SH,20210401,5.91,130674.9434,130674.9434,772288.9155,772288.9155
600710.SH,20210331,5.77,130674.9434,130674.9434,753994.4234,753994.4234
600710.SH,20210330,5.79,130674.9434,130674.9434,756607.9223,756607.9223
600710.SH,20210329,6.05,130674.9434,130674.9434,790583.4076,790583.4076
600710.SH,20210326,6.0,130674.9434,130674.9434,784049.6604,784049.6604
600710.SH,20210325,5.45,130674.9434,130674.9434,712178.4415,712178.4415
600710.SH,20210324,5.68,130674.9434,130674.9434,742233.6785,742233.6785
600710.SH,20210323,5.6,130674.9434,130674.9434,731779.683,731779.683
600710.SH,20210322,5.56,130674.9434,130674.9434,726552.6853,726552.6853
600710.SH,20210319,5.37,130674.9434,130674.9434,701724.4461,701724.4461
600710.SH,20210318,5.44,130674.9434,130674.9434,710871.6921,710871.6921
600710.SH,20210317,5.54,130674.9434,130674.9434,723939.1864,723939.1864
600710.SH,20210316,5.66,130674.9434,130674.9434,739620.1796,739620.1796
600710.SH,20210315,5.68,130674.9434,130674.9434,742233.6785,742233.6785
600710.SH,20210312,5.53,130674.9434,130674.9434,722632.437,722632.437
600710.SH,20210311,5.45,130674.9434,130674.9434,712178.4415,712178.4415
600710.SH,20210310,5.37,130674.9434,130674.9434,701724.4461,701724.4461
600710.SH,20210309,5.44,130674.9434,130674.9434,710871.6921,710871.6921
600710.SH,20210308,5.99,130674.9434,130674.9434,782742.911,782742.911
600710.SH,20210305,6.12,130674.9434,130674.9434,799730.6536,799730.6536
600710.SH,20210304,5.56,130674.9434,130674.9434,726552.6853,726552.6853
600710.SH,20210303,5.05,130674.9434,130674.9434,659908.4642,659908.4642
600710.SH,20210302,5.01,130674.9434,130674.9434,654681.4664,654681.4664
600710.SH,20210301,5.06,130674.9434,130674.9434,661215.2136,661215.2136
600710.SH,20210226,4.97,130674.9434,130674.9434,649454.4687,649454.4687
600710.SH,20210225,4.96,130674.9434,130674.9434,648147.7193,648147.7193
