ts_code,trade_date,close,total_share,float_share,total_mv,circ_mv
300117.SZ,20210527,3.45,71676.0,71676.0,247282.2,247282.2
300117.SZ,20210526,3.41,71676.0,71676.0,244415.16,244415.16
300117.SZ,20210525,3.39,71676.0,71676.0,242981.64,242981.64
300117.SZ,20210524,3.38,71676.0,71676.0,242264.88,242264.88
300117.SZ,20210521,3.35,71676.0,71676.0,240114.6,240114.6
300117.SZ,20210520,3.32,71676.0,71676.0,237964.32,237964.32
300117.SZ,20210519,3.39,71676.0,71676.0,242981.64,242981.64
300117.SZ,20210518,3.39,71676.0,71676.0,242981.64,242981.64
300117.SZ,20210517,3.29,71676.0,71676.0,235814.04,235814.04
300117.SZ,20210514,3.41,71676.0,71676.0,244415.16,244415.16
300117.SZ,20210513,3.32,71676.0,71676.0,237964.32,237964.32
300117.SZ,20210512,3.37,71676.0,71676.0,241548.12,241548.12
300117.SZ,20210511,3.39,71676.0,71676.0,242981.64,242981.64
300117.SZ,20210510,3.36,71676.0,71676.0,240831.36,240831.36
300117.SZ,20210507,3.3,71676.0,71676.0,236530.8,236530.8
300117.SZ,20210506,3.23,71676.0,71676.0,231513.48,231513.48
300117.SZ,20210430,3.19,71676.0,71676.0,228646.44,228646.44
300117.SZ,20210429,3.25,71676.0,71676.0,232947.0,232947.0
300117.SZ,20210428,3.27,71676.0,71676.0,234380.52,234380.52
300117.SZ,20210427,3.41,71676.0,71676.0,244415.16,244415.16
300117.SZ,20210426,3.39,71676.0,71676.0,242981.64,242981.64
300117.SZ,20210423,3.4,71676.0,71676.0,243698.4,243698.4
300117.SZ,20210422,3.46,71676.0,71676.0,247998.96,247998.96
300117.SZ,20210421,3.5,71676.0,71676.0,250866.0,250866.0
300117.SZ,20210420,3.59,71676.0,71676.0,257316.84,257316.84
300117.SZ,20210419,3.59,71676.0,71676.0,257316.84,257316.84
300117.SZ,20210416,3.57,71676.0,71676.0,255883.32,255883.32
300117.SZ,20210415,3.47,71676.0,71676.0,248715.72,248715.72
300117.SZ,20210414,3.56,71676.0,71676.0,255166.56,255166.56
300117.SZ,20210413,3.45,71676.0,71676.0,247282.2,247282.2
300117.SZ,20210412,3.51,71676.0,71676.0,251582.76,251582.76
300117.SZ,20210409,3.66,71676.0,71676.0,262334.16,262334.16
300117.SZ,20210408,3.71,71676.0,71676.0,265917.96,265917.96
300117.SZ,20210407,3.8,71676.0,71676.0,272368.8,272368.8
300117.SZ,20210406,3.85,71676.0,71676.0,275952.6,275952.6
300117.SZ,20210402,3.71,71676.0,71676.0,265917.96,265917.96
300117.SZ,20210401,3.82,71676.0,71676.0,273802.32,273802.32
300117.SZ,20210331,3.93,71676.0,71676.0,281686.68,281686.68
300117.SZ,20210330,3.73,71676.0,71676.0,267351.48,267351.48
300117.SZ,20210329,3.92,71676.0,71676.0,280969.92,280969.92
300117.SZ,20210326,3.91,71676.0,71676.0,280253.16,280253.16
300117.SZ,20210325,3.8,71676.0,71676.0,272368.8,272368.8
300117.SZ,20210324,4.08,71676.0,71676.0,292438.08,292438.08
300117.SZ,20210323,4.1,71676.0,71676.0,293871.6,293871.6
300117.SZ,20210322,4.24,71676.0,71676.0,303906.24,303906.24
300117.SZ,20210319,3.93,71676.0,71676.0,281686.68,281686.68
300117.SZ,20210318,3.93,71676.0,71676.0,281686.68,281686.68
300117.SZ,20210317,4.04,71676.0,71676.0,289571.04,289571.04
300117.SZ,20210316,4.18,71676.0,71676.0,299605.68,299605.68
300117.SZ,20210315,4.03,71676.0,71676.0,288854.28,288854.28
300117.SZ,20210312,3.98,71676.0,71676.0,285270.48,285270.48
300117.SZ,20210311,3.9,71676.0,71676.0,279536.4,279536.4
300117.SZ,20210310,3.87,71676.0,71676.0,277386.12,277386.12
300117.SZ,20210309,4.36,71676.0,71676.0,312507.36,312507.36
300117.SZ,20210308,4.03,71676.0,71676.0,288854.28,288854.28
300117.SZ,20210305,3.89,71676.0,71676.0,278819.64,278819.64
300117.SZ,20210304,3.82,71676.0,71676.0,273802.32,273802.32
300117.SZ,20210303,3.88,71676.0,71676.0,278102.88,278102.88
300117.SZ,20210302,3.74,71676.0,71676.0,268068.24,268068.24
300117.SZ,20210301,3.65,71676.0,71676.0,261617.4,261617.4
300117.SZ,20210226,3.59,71676.0,71676.0,257316.84,257316.84
300117.SZ,20210225,3.46,71676.0,71676.0,247998.96,247998.96
300117.SZ,20210224,3.56,71676.0,71676.0,255166.56,255166.56
