ts_code,trade_date,close,total_share,float_share,total_mv,circ_mv
300324.SZ,20210527,3.35,172759.0595,125369.0317,578742.8493,419986.2562
300324.SZ,20210526,3.34,172759.0595,125369.0317,577015.2587,418732.5659
300324.SZ,20210525,3.32,172759.0595,125369.0317,573560.0775,416225.1852
300324.SZ,20210524,3.33,172759.0595,125369.0317,575287.6681,417478.8756
300324.SZ,20210521,3.19,172759.0595,125369.0317,551101.3998,399927.2111
300324.SZ,20210520,3.18,172759.0595,125369.0317,549373.8092,398673.5208
300324.SZ,20210519,3.24,172759.0595,125369.0317,559739.3528,406195.6627
300324.SZ,20210518,3.28,175270.0295,111294.1447,574885.6968,365044.7946
300324.SZ,20210517,3.25,175270.0295,111294.1447,569627.5959,361705.9703
300324.SZ,20210514,3.38,175270.0295,111294.1447,592412.6997,376174.2091
300324.SZ,20210513,3.3,175270.0295,111294.1447,578391.0974,367270.6775
300324.SZ,20210512,3.3,175270.0295,111294.1447,578391.0974,367270.6775
300324.SZ,20210511,3.29,175270.0295,111294.1447,576638.3971,366157.7361
300324.SZ,20210510,3.22,175270.0295,111294.1447,564369.495,358367.1459
300324.SZ,20210507,3.23,175270.0295,111294.1447,566122.1953,359480.0874
300324.SZ,20210506,3.14,175270.0295,111294.1447,550347.8926,349463.6144
300324.SZ,20210430,3.1,175270.0295,111294.1447,543337.0915,345011.8486
300324.SZ,20210429,3.24,175270.0295,111294.1447,567874.8956,360593.0288
300324.SZ,20210428,3.23,175270.0295,111294.1447,566122.1953,359480.0874
300324.SZ,20210427,3.26,175270.0295,111294.1447,571380.2962,362818.9117
300324.SZ,20210426,3.41,175270.0295,111294.1447,597670.8006,379513.0334
300324.SZ,20210423,3.33,175270.0295,111294.1447,583649.1982,370609.5019
300324.SZ,20210422,3.43,175270.0295,111294.1447,601176.2012,381738.9163
300324.SZ,20210421,3.51,175270.0295,111294.1447,615197.8035,390642.4479
300324.SZ,20210420,3.61,175270.0295,111294.1447,632724.8065,401771.8624
300324.SZ,20210419,3.67,175270.0295,111294.1447,643241.0083,408449.511
300324.SZ,20210416,3.65,175270.0295,111294.1447,639735.6077,406223.6282
300324.SZ,20210415,3.48,175270.0295,111294.1447,609939.7027,387303.6236
300324.SZ,20210414,3.52,175270.0295,111294.1447,616950.5038,391755.3893
300324.SZ,20210413,3.51,175270.0295,111294.1447,615197.8035,390642.4479
300324.SZ,20210412,3.48,175270.0295,111294.1447,609939.7027,387303.6236
