ts_code,trade_date,close,total_share,float_share,total_mv,circ_mv
002309.SZ,20210527,5.25,87178.7068,69827.6564,457688.2107,366595.1961
002309.SZ,20210526,5.15,87178.7068,69827.6564,448970.34,359612.4305
002309.SZ,20210525,5.09,87178.7068,69827.6564,443739.6176,355422.7711
002309.SZ,20210524,5.1,87178.7068,69827.6564,444611.4047,356121.0476
002309.SZ,20210521,5.12,87178.7068,69827.6564,446354.9788,357517.6008
002309.SZ,20210520,5.0,87178.7068,69827.6564,435893.534,349138.282
002309.SZ,20210519,4.86,87178.7068,69827.6564,423688.515,339362.4101
002309.SZ,20210518,4.84,87178.7068,69827.6564,421944.9409,337965.857
002309.SZ,20210517,4.79,87178.7068,69827.6564,417586.0056,334474.4742
002309.SZ,20210514,4.92,87178.7068,69827.6564,428919.2375,343552.0695
002309.SZ,20210513,4.76,87178.7068,69827.6564,414970.6444,332379.6445
002309.SZ,20210512,4.83,87178.7068,69827.6564,421073.1538,337267.5804
002309.SZ,20210511,4.86,87178.7068,69827.6564,423688.515,339362.4101
002309.SZ,20210510,4.91,87178.7068,69827.6564,428047.4504,342853.7929
002309.SZ,20210507,4.85,87178.7068,69827.6564,422816.728,338664.1335
002309.SZ,20210506,4.82,87178.7068,69827.6564,420201.3668,336569.3038
002309.SZ,20210430,4.56,87178.7068,69827.6564,397534.903,318414.1132
002309.SZ,20210429,4.63,87178.7068,69827.6564,403637.4125,323302.0491
002309.SZ,20210428,4.49,87178.7068,69827.6564,391432.3935,313526.1772
002309.SZ,20210427,4.46,87178.7068,69827.6564,388817.0323,311431.3475
002309.SZ,20210426,4.61,87178.7068,69827.6564,401893.8383,321905.496
002309.SZ,20210423,4.69,87178.7068,69827.6564,408868.1349,327491.7085
002309.SZ,20210422,4.8,87178.7068,69827.6564,418457.7926,335172.7507
002309.SZ,20210421,4.79,87178.7068,69827.6564,417586.0056,334474.4742
002309.SZ,20210420,4.86,87178.7068,69827.6564,423688.515,339362.4101
002309.SZ,20210419,4.87,87178.7068,69827.6564,424560.3021,340060.6867
002309.SZ,20210416,4.9,87178.7068,69827.6564,427175.6633,342155.5164
002309.SZ,20210415,4.77,87178.7068,69827.6564,415842.4314,333077.921
002309.SZ,20210414,4.78,87178.7068,69827.6564,416714.2185,333776.1976
002309.SZ,20210413,4.7,87178.7068,69827.6564,409739.922,328189.9851
002309.SZ,20210412,4.72,87178.7068,69827.6564,411483.4961,329586.5382
002309.SZ,20210409,4.78,87178.7068,69827.6564,416714.2185,333776.1976
002309.SZ,20210408,4.77,87178.7068,69827.6564,415842.4314,333077.921
002309.SZ,20210407,4.89,87178.7068,69827.6564,426303.8763,341457.2398
002309.SZ,20210406,4.91,87178.7068,69827.6564,428047.4504,342853.7929
002309.SZ,20210402,4.74,87178.7068,69827.6564,413227.0702,330983.0913
002309.SZ,20210401,4.75,87178.7068,69827.6564,414098.8573,331681.3679
002309.SZ,20210331,4.76,87178.7068,69827.6564,414970.6444,332379.6445
002309.SZ,20210330,4.72,87178.7068,69827.6564,411483.4961,329586.5382
002309.SZ,20210329,4.9,87178.7068,69827.6564,427175.6633,342155.5164
002309.SZ,20210326,4.88,87178.7068,69827.6564,425432.0892,340758.9632
002309.SZ,20210325,4.88,87178.7068,69827.6564,425432.0892,340758.9632
002309.SZ,20210324,5.15,87178.7068,69827.6564,448970.34,359612.4305
002309.SZ,20210323,5.02,87178.7068,69827.6564,437637.1081,350534.8351
002309.SZ,20210322,5.35,87178.7068,69827.6564,466406.0814,373577.9617
002309.SZ,20210319,5.37,87178.7068,69827.6564,468149.6555,374974.5149
002309.SZ,20210318,5.47,87178.7068,69827.6564,476867.5262,381957.2805
002309.SZ,20210317,5.92,87178.7068,69827.6564,516097.9443,413379.7259
002309.SZ,20210316,5.38,87178.7068,69827.6564,469021.4426,375672.7914
