ts_code,trade_date,close,total_share,float_share,total_mv,circ_mv
300500.SZ,20210527,11.85,17448.0186,15838.2186,206759.0204,187682.8904
300500.SZ,20210526,11.84,17448.0186,15838.2186,206584.5402,187524.5082
300500.SZ,20210525,11.69,17448.0186,15838.2186,203967.3374,185148.7754
300500.SZ,20210524,11.82,17448.0186,15838.2186,206235.5799,187207.7439
300500.SZ,20210521,11.36,17448.0186,15838.2186,198209.4913,179922.1633
300500.SZ,20210520,11.23,17448.0186,15838.2186,195941.2489,177863.1949
300500.SZ,20210519,11.32,17448.0186,15838.2186,197511.5706,179288.6346
300500.SZ,20210518,11.35,17448.0186,15838.2186,198035.0111,179763.7811
300500.SZ,20210517,11.35,17448.0186,15838.2186,198035.0111,179763.7811
300500.SZ,20210514,11.63,17448.0186,15838.2186,202920.4563,184198.4823
300500.SZ,20210513,11.5,17448.0186,15838.2186,200652.2139,182139.5139
300500.SZ,20210512,11.63,17448.0186,15838.2186,202920.4563,184198.4823
300500.SZ,20210511,11.48,17448.0186,15838.2186,200303.2535,181822.7495
300500.SZ,20210510,11.43,17448.0186,15838.2186,199430.8526,181030.8386
300500.SZ,20210507,11.46,17448.0186,15838.2186,199954.2932,181505.9852
300500.SZ,20210506,11.34,17448.0186,15838.2186,197860.5309,179605.3989
300500.SZ,20210430,11.23,17448.0186,15838.2186,195941.2489,177863.1949
300500.SZ,20210429,11.65,17448.0186,15838.2186,203269.4167,184515.2467
300500.SZ,20210428,11.75,17448.0186,15838.2186,205014.2186,186099.0686
300500.SZ,20210427,11.46,17448.0186,15838.2186,199954.2932,181505.9852
300500.SZ,20210426,11.7,17448.0186,15838.2186,204141.8176,185307.1576
300500.SZ,20210423,11.52,17448.0186,15838.2186,201001.1743,182456.2783
300500.SZ,20210422,12.18,17448.0186,15838.2186,212516.8665,192909.5025
300500.SZ,20210421,12.35,17448.0186,15838.2186,215483.0297,195601.9997
300500.SZ,20210420,12.57,17448.0186,15838.2186,219321.5938,199086.4078
300500.SZ,20210419,12.43,17448.0186,15838.2186,216878.8712,196869.0572
300500.SZ,20210416,12.39,17448.0186,15838.2186,216180.9505,196235.5285
300500.SZ,20210415,12.2,17448.0186,15838.2186,212865.8269,193226.2669
300500.SZ,20210414,12.37,17448.0186,15838.2186,215831.9901,195918.7641
300500.SZ,20210413,12.33,17448.0186,15838.2186,215134.0693,195285.2353
300500.SZ,20210412,12.25,17448.0186,15838.2186,213738.2279,194018.1779
300500.SZ,20210409,12.29,17448.0186,15838.2186,214436.1486,194651.7066
300500.SZ,20210408,12.34,17448.0186,15838.2186,215308.5495,195443.6175
300500.SZ,20210407,12.6,17448.0186,15838.2186,219845.0344,199561.5544
300500.SZ,20210406,12.75,17448.0186,15838.2186,222462.2372,201937.2872
300500.SZ,20210402,12.69,17448.0186,15838.2186,221415.356,200986.994
300500.SZ,20210401,13.28,17448.0186,15838.2186,231709.687,210331.543
300500.SZ,20210331,13.53,17448.0186,15838.2186,236071.6917,214291.0977
300500.SZ,20210330,12.45,17448.0186,15838.2186,217227.8316,197185.8216
300500.SZ,20210329,12.57,17448.0186,15838.2186,219321.5938,199086.4078
300500.SZ,20210326,12.54,17448.0186,15838.2186,218798.1532,198611.2612
300500.SZ,20210325,12.16,17448.0186,15838.2186,212167.9062,192592.7382
300500.SZ,20210324,12.68,17448.0186,15838.2186,221240.8758,200828.6118
300500.SZ,20210323,12.47,17448.0186,15838.2186,217576.7919,197502.5859
300500.SZ,20210322,13.35,17448.0186,15838.2186,232931.0483,211440.2183
300500.SZ,20210319,13.37,17448.0186,15838.2186,233280.0087,211756.9827
300500.SZ,20210318,13.7,17448.0186,15838.2186,239037.8548,216983.5948
300500.SZ,20210317,13.2,17448.0186,15838.2186,230313.8455,209064.4855
300500.SZ,20210316,13.83,17448.0186,15838.2186,241306.0972,219042.5632
300500.SZ,20210315,12.92,17448.0186,15838.2186,225428.4003,204629.7843
300500.SZ,20210312,13.13,17448.0186,15838.2186,229092.4842,207955.8102
300500.SZ,20210311,13.72,17448.0186,15838.2186,239386.8152,217300.3592
300500.SZ,20210310,14.05,17448.0186,15838.2186,245144.6613,222526.9713
300500.SZ,20210309,13.68,17448.0186,15838.2186,238688.8944,216666.8304
300500.SZ,20210308,11.4,17448.0186,15838.2186,198907.412,180555.692
300500.SZ,20210305,11.64,17448.0186,15838.2186,203094.9365,184356.8645
300500.SZ,20210304,11.2,17448.0186,15838.2186,195417.8083,177388.0483
300500.SZ,20210303,11.21,17448.0186,15838.2186,195592.2885,177546.4305
300500.SZ,20210302,11.06,17448.0186,15838.2186,192975.0857,175170.6977
300500.SZ,20210301,11.21,17448.0186,15838.2186,195592.2885,177546.4305
300500.SZ,20210226,11.04,17448.0186,15838.2186,192626.1253,174853.9333
300500.SZ,20210225,11.07,17448.0186,15838.2186,193149.5659,175329.0799
300500.SZ,20210224,11.04,17448.0186,15838.2186,192626.1253,174853.9333
