ts_code,trade_date,close,total_share,float_share,total_mv,circ_mv
603017.SH,20210527,9.9,27680.7728,27479.8234,274039.6507,272050.2517
603017.SH,20210526,9.9,27680.7728,27479.8234,274039.6507,272050.2517
603017.SH,20210525,9.87,27680.7728,27479.8234,273209.2275,271225.857
603017.SH,20210524,9.83,27680.7728,27479.8234,272101.9966,270126.664
603017.SH,20210521,9.76,27680.7728,27479.8234,270164.3425,268203.0764
603017.SH,20210520,9.68,27680.7728,27479.8234,267949.8807,266004.6905
603017.SH,20210519,9.73,27680.7728,27479.8234,269333.9193,267378.6817
603017.SH,20210518,9.7,27680.7728,27479.8234,268503.4962,266554.287
603017.SH,20210517,9.76,27680.7728,27479.8234,270164.3425,268203.0764
603017.SH,20210514,9.78,27680.7728,27479.8234,270717.958,268752.6729
603017.SH,20210513,9.65,27680.7728,27479.8234,267119.4575,265180.2958
603017.SH,20210512,9.67,27680.7728,27479.8234,267673.073,265729.8923
603017.SH,20210511,9.51,27680.7728,27479.8234,263244.1493,261333.1205
603017.SH,20210510,9.46,27680.7728,27479.8234,261860.1107,259959.1294
603017.SH,20210507,9.84,27680.7728,27479.8234,272378.8044,270401.4623
603017.SH,20210506,9.9,27680.7728,27479.8234,274039.6507,272050.2517
603017.SH,20210430,9.86,27680.7728,27479.8234,272932.4198,270951.0587
603017.SH,20210429,9.86,27680.7728,27479.8234,272932.4198,270951.0587
603017.SH,20210428,9.78,27680.7728,27479.8234,270717.958,268752.6729
603017.SH,20210427,9.75,27680.7728,27479.8234,269887.5348,267928.2782
603017.SH,20210426,9.85,27680.7728,27479.8234,272655.6121,270676.2605
603017.SH,20210423,9.8,27680.7728,27479.8234,271271.5734,269302.2693
603017.SH,20210422,10.01,27680.7728,27479.8234,277084.5357,275073.0322
603017.SH,20210421,10.05,27680.7728,27479.8234,278191.7666,276172.2252
603017.SH,20210420,10.02,27680.7728,27479.8234,277361.3435,275347.8305
603017.SH,20210419,10.16,27680.7728,27479.8234,281236.6516,279195.0057
603017.SH,20210416,10.19,27680.7728,27479.8234,282067.0748,280019.4004
603017.SH,20210415,10.18,27680.7728,27479.8234,281790.2671,279744.6022
603017.SH,20210414,10.11,27680.7728,27479.8234,279852.613,277821.0146
603017.SH,20210413,10.03,27680.7728,27479.8234,277638.1512,275622.6287
603017.SH,20210412,10.19,27680.7728,27479.8234,282067.0748,280019.4004
603017.SH,20210409,10.12,27680.7728,27479.8234,280129.4207,278095.8128
603017.SH,20210408,10.08,27680.7728,27479.8234,279022.1898,276996.6199
603017.SH,20210407,9.89,27680.7728,27479.8234,273762.843,271775.4534
603017.SH,20210406,9.84,27680.7728,27479.8234,272378.8044,270401.4623
603017.SH,20210402,9.9,27680.7728,27479.8234,274039.6507,272050.2517
603017.SH,20210401,9.95,27680.7728,27479.8234,275423.6894,273424.2428
603017.SH,20210331,10.05,27680.7728,27479.8234,278191.7666,276172.2252
603017.SH,20210330,10.11,27680.7728,27479.8234,279852.613,277821.0146
603017.SH,20210329,9.76,27680.7728,27479.8234,270164.3425,268203.0764
603017.SH,20210326,9.78,27680.7728,27479.8234,270717.958,268752.6729
603017.SH,20210325,9.68,27680.7728,27479.8234,267949.8807,266004.6905
603017.SH,20210324,9.74,27680.7728,27479.8234,269610.7271,267653.4799
603017.SH,20210323,9.98,27680.7728,27479.8234,276254.1125,274248.6375
603017.SH,20210322,10.09,27680.7728,27479.8234,279298.9976,277271.4181
603017.SH,20210319,10.01,27680.7728,27479.8234,277084.5357,275073.0322
603017.SH,20210318,10.19,27680.7728,27479.8234,282067.0748,280019.4004
603017.SH,20210317,9.95,27680.7728,27479.8234,275423.6894,273424.2428
603017.SH,20210316,10.01,27680.7728,27479.8234,277084.5357,275073.0322
603017.SH,20210315,10.16,27680.7728,27479.8234,281236.6516,279195.0057
603017.SH,20210312,10.13,27680.7728,27479.8234,280406.2285,278370.611
603017.SH,20210311,10.35,27680.7728,27479.8234,286495.9985,284416.1722
603017.SH,20210310,10.37,27680.7728,27479.8234,287049.6139,284965.7687
603017.SH,20210309,10.1,27680.7728,27479.8234,279575.8053,277546.2163
603017.SH,20210308,9.92,27680.7728,27479.8234,274593.2662,272599.8481
603017.SH,20210305,9.85,27680.7728,27479.8234,272655.6121,270676.2605
603017.SH,20210304,9.68,27680.7728,27479.8234,267949.8807,266004.6905
603017.SH,20210303,9.79,27680.7728,27479.8234,270994.7657,269027.4711
603017.SH,20210302,9.71,27680.7728,27479.8234,268780.3039,266829.0852
603017.SH,20210301,9.8,27680.7728,27479.8234,271271.5734,269302.2693
603017.SH,20210226,9.69,27680.7728,27479.8234,268226.6884,266279.4887
603017.SH,20210225,9.6,27680.7728,27479.8234,265735.4189,263806.3046
603017.SH,20210224,9.65,27680.7728,27479.8234,267119.4575,265180.2958
603017.SH,20210223,9.63,27680.7728,27479.8234,266565.8421,264630.6993
603017.SH,20210222,9.56,27680.7728,27479.8234,264628.188,262707.1117
603017.SH,20210219,9.65,27680.7728,27479.8234,267119.4575,265180.2958
603017.SH,20210218,9.44,27680.7728,27479.8234,261306.4952,259409.5329
603017.SH,20210210,9.32,27680.7728,27479.8234,257984.8025,256111.9541
603017.SH,20210209,9.07,27680.7728,27479.8234,251064.6093,249241.9982
603017.SH,20210208,8.99,27680.7728,27479.8234,248850.1475,247043.6124
603017.SH,20210205,9.07,27680.7728,27479.8234,251064.6093,249241.9982
603017.SH,20210204,9.02,27680.7728,27479.8234,249680.5707,247868.0071
603017.SH,20210203,9.29,27680.7728,27479.8234,257154.3793,255287.5594
603017.SH,20210202,9.47,27680.7728,27479.8234,262136.9184,260233.9276
603017.SH,20210201,9.28,27680.7728,27479.8234,256877.5716,255012.7612
603017.SH,20210129,9.18,27680.7728,27479.8234,254109.4943,252264.7788
