ts_code,trade_date,close,total_share,float_share,total_mv,circ_mv
300118.SZ,20210527,13.24,90135.9941,89944.5941,1193400.5619,1190866.4259
300118.SZ,20210526,13.11,90135.9941,89944.5941,1181682.8827,1179173.6287
300118.SZ,20210525,12.99,90135.9941,89944.5941,1170866.5634,1168380.2774
300118.SZ,20210524,12.98,90135.9941,89944.5941,1169965.2034,1167480.8314
300118.SZ,20210521,13.04,90135.9941,89944.5941,1175373.3631,1172877.5071
300118.SZ,20210520,12.3,90135.9941,89944.5941,1108672.7274,1106318.5074
300118.SZ,20210519,12.56,90135.9941,89944.5941,1132108.0859,1129704.1019
300118.SZ,20210518,12.42,90135.9941,89944.5941,1119489.0467,1117111.8587
300118.SZ,20210517,12.39,90135.9941,89944.5941,1116784.9669,1114413.5209
300118.SZ,20210514,12.54,90135.9941,89944.5941,1130305.366,1127905.21
300118.SZ,20210513,12.21,90135.9941,89944.5941,1100560.488,1098223.494
300118.SZ,20210512,12.45,90135.9941,89944.5941,1122193.1265,1119810.1965
300118.SZ,20210511,12.36,90135.9941,89944.5941,1114080.8871,1111715.1831
300118.SZ,20210510,12.74,90135.9941,89944.5941,1148332.5648,1145894.1288
300118.SZ,20210507,13.04,90135.9941,89944.5941,1175373.3631,1172877.5071
300118.SZ,20210506,12.71,90135.9941,89944.5941,1145628.485,1143195.791
300118.SZ,20210430,12.66,90135.9941,89944.5941,1141121.6853,1138698.5613
300118.SZ,20210429,12.66,90135.9941,89944.5941,1141121.6853,1138698.5613
300118.SZ,20210428,12.78,90135.9941,89944.5941,1151938.0046,1149491.9126
300118.SZ,20210427,13.38,90135.9941,89944.5941,1206019.6011,1203458.6691
300118.SZ,20210426,13.65,90135.9941,63199.998,1230356.3195,862679.9727
300118.SZ,20210423,13.77,90135.9941,63199.998,1241172.6388,870263.9725
300118.SZ,20210422,13.62,90135.9941,63199.998,1227652.2396,860783.9728
300118.SZ,20210421,13.73,90135.9941,63199.998,1237567.199,867735.9725
300118.SZ,20210420,13.99,90135.9941,63199.998,1261002.5575,884167.972
300118.SZ,20210419,13.72,90135.9941,63199.998,1236665.8391,867103.9726
300118.SZ,20210416,13.45,90135.9941,63199.998,1212329.1206,850039.9731
300118.SZ,20210415,13.38,90135.9941,63199.998,1206019.6011,845615.9732
300118.SZ,20210414,13.46,90135.9941,63199.998,1213230.4806,850671.9731
300118.SZ,20210413,13.32,90135.9941,63199.998,1200611.4414,841823.9734
300118.SZ,20210412,13.3,90135.9941,63199.998,1198808.7215,840559.9734
300118.SZ,20210409,14.13,90135.9941,63199.998,1273621.5966,893015.9717
300118.SZ,20210408,14.29,90135.9941,63199.998,1288043.3557,903127.9714
300118.SZ,20210407,14.77,90135.9941,63199.998,1331308.6329,933463.9705
300118.SZ,20210406,14.9,90135.9941,63199.998,1343026.3121,941679.9702
300118.SZ,20210402,14.53,90135.9941,63199.998,1309675.9943,918295.9709
300118.SZ,20210401,14.77,90135.9941,63199.998,1331308.6329,933463.9705
300118.SZ,20210331,14.77,90135.9941,63199.998,1331308.6329,933463.9705
300118.SZ,20210330,15.24,90135.9941,63199.998,1373672.5501,963167.9695
300118.SZ,20210329,14.44,90135.9941,63199.998,1301563.7548,912607.9711
300118.SZ,20210326,14.6,90135.9941,63199.998,1315985.5139,922719.9708
300118.SZ,20210325,14.23,90135.9941,63199.998,1282635.196,899335.9715
300118.SZ,20210324,14.27,90135.9941,63199.998,1286240.6358,901863.9715
300118.SZ,20210323,14.48,90135.9941,63199.998,1305169.1946,915135.971
