ts_code,trade_date,close,total_share,float_share,total_mv,circ_mv
002822.SZ,20210527,5.83,72144.5836,63666.4523,420602.9224,371175.4169
002822.SZ,20210526,5.83,72144.5836,63666.4523,420602.9224,371175.4169
002822.SZ,20210525,5.81,72144.5836,63666.4523,419160.0307,369902.0879
002822.SZ,20210524,5.79,72144.5836,63666.4523,417717.139,368628.7588
002822.SZ,20210521,5.84,72144.5836,63666.4523,421324.3682,371812.0814
002822.SZ,20210520,5.84,72144.5836,63666.4523,421324.3682,371812.0814
002822.SZ,20210519,5.85,72144.5836,63666.4523,422045.8141,372448.746
002822.SZ,20210518,5.88,72144.5836,63666.4523,424210.1516,374358.7395
002822.SZ,20210517,5.88,72144.5836,63666.4523,424210.1516,374358.7395
002822.SZ,20210514,6.1,72144.5836,63666.4523,440081.96,388365.359
002822.SZ,20210513,5.77,72144.5836,63666.4523,416274.2474,367355.4298
002822.SZ,20210512,5.86,72144.5836,63666.4523,422767.2599,373085.4105
002822.SZ,20210511,5.78,72144.5836,63666.4523,416995.6932,367992.0943
002822.SZ,20210510,5.73,72144.5836,63666.4523,413388.464,364808.7717
002822.SZ,20210507,5.8,72144.5836,63666.4523,418438.5849,369265.4233
002822.SZ,20210506,5.89,72144.5836,63666.4523,424931.5974,374995.404
002822.SZ,20210430,5.69,72144.5836,63666.4523,410502.6807,362262.1136
002822.SZ,20210429,5.87,72144.5836,63666.4523,423488.7057,373722.075
002822.SZ,20210428,5.93,72144.5836,63666.4523,427817.3807,377542.0621
002822.SZ,20210427,6.02,72144.5836,63666.4523,434310.3933,383272.0428
002822.SZ,20210426,5.99,72144.5836,63666.4523,432146.0558,381362.0493
002822.SZ,20210423,6.14,72144.5836,63666.4523,442967.7433,390912.0171
002822.SZ,20210422,6.28,72144.5836,63666.4523,453067.985,399825.3204
002822.SZ,20210421,6.2,72144.5836,63666.4523,447296.4183,394732.0043
002822.SZ,20210420,6.39,72144.5836,63666.4523,461003.8892,406828.6302
002822.SZ,20210419,6.41,72144.5836,63666.4523,462446.7809,408101.9592
002822.SZ,20210416,6.45,72144.5836,63666.4523,465332.5642,410648.6173
002822.SZ,20210415,6.38,72144.5836,63666.4523,460282.4434,406191.9657
002822.SZ,20210414,6.37,72144.5836,63666.4523,459560.9975,405555.3012
002822.SZ,20210413,6.2,72144.5836,63666.4523,447296.4183,394732.0043
002822.SZ,20210412,6.26,72144.5836,63666.4523,451625.0933,398551.9914
002822.SZ,20210409,6.12,72144.5836,63666.4523,441524.8516,389638.6881
002822.SZ,20210408,6.11,72144.5836,63666.4523,440803.4058,389002.0236
002822.SZ,20210407,6.31,72144.5836,63666.4523,455232.3225,401735.314
002822.SZ,20210406,6.29,72144.5836,63666.4523,453789.4308,400461.985
002822.SZ,20210402,6.26,72144.5836,63666.4523,451625.0933,398551.9914
002822.SZ,20210401,6.22,72144.5836,63666.4523,448739.31,396005.3333
002822.SZ,20210331,6.3,72144.5836,63666.4523,454510.8767,401098.6495
002822.SZ,20210330,6.27,72144.5836,63666.4523,452346.5392,399188.6559
002822.SZ,20210329,6.34,72144.5836,63666.4523,457396.66,403645.3076
002822.SZ,20210326,6.44,72144.5836,63666.4523,464611.1184,410011.9528
002822.SZ,20210325,6.38,72144.5836,63666.4523,460282.4434,406191.9657
002822.SZ,20210324,6.36,72144.5836,63666.4523,458839.5517,404918.6366
002822.SZ,20210323,6.47,72144.5836,63666.4523,466775.4559,411921.9464
002822.SZ,20210322,6.49,72144.5836,63666.4523,468218.3476,413195.2754
002822.SZ,20210319,6.45,72144.5836,63666.4523,465332.5642,410648.6173
002822.SZ,20210318,6.4,72144.5836,63666.4523,461725.335,407465.2947
002822.SZ,20210317,6.23,72144.5836,63666.4523,449460.7558,396641.9978
002822.SZ,20210316,6.16,72144.5836,63666.4523,444410.635,392185.3462
002822.SZ,20210315,5.93,72144.5836,63666.4523,427817.3807,377542.0621
002822.SZ,20210312,6.04,72144.5836,63666.4523,435753.2849,384545.3719
002822.SZ,20210311,6.11,72144.5836,63666.4523,440803.4058,389002.0236
002822.SZ,20210310,6.04,72144.5836,63666.4523,435753.2849,384545.3719
002822.SZ,20210309,6.33,72144.5836,63666.4523,456675.2142,403008.6431
002822.SZ,20210308,6.28,72144.5836,63666.4523,453067.985,399825.3204
002822.SZ,20210305,6.53,72144.5836,63666.4523,471104.1309,415741.9335
002822.SZ,20210304,6.53,72144.5836,63666.4523,471104.1309,415741.9335
002822.SZ,20210303,6.57,72144.5836,63666.4523,473989.9143,418288.5916
002822.SZ,20210302,6.41,72144.5836,62254.6876,462446.7809,399052.5475
002822.SZ,20210301,6.57,72144.5836,62254.6876,473989.9143,409013.2975
002822.SZ,20210226,6.71,72144.5836,62254.6876,484090.156,417728.9538
002822.SZ,20210225,6.66,72144.5836,62254.6876,480482.9268,414616.2194
002822.SZ,20210224,6.37,72144.5836,62255.3776,459560.9975,396566.7553
002822.SZ,20210223,6.69,72144.5836,62255.3776,482647.2643,416488.4761
002822.SZ,20210222,6.7,72144.5836,62255.3776,483368.7101,417111.0299
002822.SZ,20210219,6.52,72144.5836,62255.3776,470382.6851,405905.062
002822.SZ,20210218,6.31,72144.5836,62255.3776,455232.3225,392831.4327
002822.SZ,20210210,6.23,72144.5836,62255.3776,449460.7558,387851.0024
002822.SZ,20210209,6.47,72144.5836,62255.3776,466775.4559,402792.2931
002822.SZ,20210208,6.45,72144.5836,62255.3776,465332.5642,401547.1855
002822.SZ,20210205,6.45,72144.5836,62255.3776,465332.5642,401547.1855
002822.SZ,20210204,6.16,72144.5836,62984.2176,444410.635,387982.7804
002822.SZ,20210203,6.14,72144.5836,62984.2176,442967.7433,386723.0961
002822.SZ,20210202,6.14,72144.5836,62984.2176,442967.7433,386723.0961
002822.SZ,20210201,6.08,72144.5836,62984.2176,438639.0683,382944.043
002822.SZ,20210129,6.07,72144.5836,62984.2176,437917.6225,382314.2008
002822.SZ,20210128,6.07,72144.5836,62984.2176,437917.6225,382314.2008
002822.SZ,20210127,5.79,72144.5836,62984.2176,417717.139,364678.6199
002822.SZ,20210126,5.57,72144.5836,62984.2176,401845.3307,350822.092
002822.SZ,20210125,5.7,72144.5836,62984.2176,411224.1265,359010.0403
002822.SZ,20210122,5.78,72144.5836,62984.2176,416995.6932,364048.7777
002822.SZ,20210121,5.98,72144.5836,62984.2176,431424.6099,376645.6212
002822.SZ,20210120,5.89,72144.5836,62984.2176,424931.5974,370977.0417
002822.SZ,20210119,6.04,72144.5836,62984.2176,435753.2849,380424.6743
002822.SZ,20210118,6.03,72144.5836,62984.2176,435031.8391,379794.8321
002822.SZ,20210115,6.14,72144.5836,62984.2176,442967.7433,386723.0961
002822.SZ,20210114,5.85,72144.5836,62984.2176,422045.8141,368457.673
002822.SZ,20210113,5.6,72144.5836,62984.2176,404009.6682,352711.6186
002822.SZ,20210112,5.77,72144.5836,62984.2176,416274.2474,363418.9356
002822.SZ,20210111,5.85,72144.5836,62984.2176,422045.8141,368457.673
002822.SZ,20210108,6.05,72144.5836,62984.2176,436474.7308,381054.5165
002822.SZ,20210107,5.5,72144.5836,62984.2176,396795.2098,346413.1968
002822.SZ,20210106,6.06,72144.5836,62984.2176,437196.1766,381684.3587
002822.SZ,20210105,6.03,72144.5836,62984.2176,435031.8391,379794.8321
002822.SZ,20210104,6.23,72144.5836,62984.2176,449460.7558,392391.6756
002822.SZ,20201231,6.4,72144.5836,62984.2176,461725.335,403098.9926
002822.SZ,20201230,6.16,72144.5836,62984.2176,444410.635,387982.7804
002822.SZ,20201229,6.16,72144.5836,62984.2176,444410.635,387982.7804
002822.SZ,20201228,6.19,72144.5836,62984.2176,446574.9725,389872.3069
002822.SZ,20201225,6.57,72144.5836,62984.2176,473989.9143,413806.3096
002822.SZ,20201224,6.45,72144.5836,62984.2176,465332.5642,406248.2035
002822.SZ,20201223,6.63,72144.5836,62984.2176,478318.5893,417585.3627
002822.SZ,20201222,6.59,72144.5836,62984.2176,475432.8059,415065.994
002822.SZ,20201221,7.06,72144.5836,62984.2176,509340.7602,444668.5763
002822.SZ,20201218,7.11,72144.5836,62984.2176,512947.9894,447817.7871
002822.SZ,20201217,6.87,72144.5836,62984.2176,495633.2893,432701.5749
002822.SZ,20201216,7.09,72144.5836,62984.2176,511505.0977,446558.1028
002822.SZ,20201215,7.1,72144.5836,62984.2176,512226.5436,447187.945
002822.SZ,20201214,7.17,72144.5836,62984.2176,517276.6644,451596.8402
002822.SZ,20201211,7.18,72144.5836,62984.2176,517998.1102,452226.6824
002822.SZ,20201210,7.33,72144.5836,62984.2176,528819.7978,461674.315
002822.SZ,20201209,7.52,72144.5836,62984.2176,542527.2687,473641.3164
002822.SZ,20201208,7.5,72144.5836,62984.2176,541084.377,472381.632
002822.SZ,20201207,7.54,72144.5836,62984.2176,543970.1603,474901.0007
002822.SZ,20201204,7.56,72144.5836,62984.2176,545413.052,476160.6851
002822.SZ,20201203,7.75,72144.5836,62984.2176,559120.5229,488127.6864
002822.SZ,20201202,7.41,72144.5836,62984.2176,534591.3645,466713.0524
002822.SZ,20201201,7.5,72144.5836,62984.2176,541084.377,472381.632
002822.SZ,20201130,7.54,72144.5836,62984.2176,543970.1603,474901.0007
002822.SZ,20201127,7.42,72168.5336,62872.6576,535490.5193,466515.1194
