ts_code,trade_date,close,total_share,float_share,total_mv,circ_mv
300001.SZ,20210527,26.51,104071.0713,94472.3457,2758924.1002,2504461.8845
300001.SZ,20210526,26.47,104071.0713,94472.3457,2754761.2573,2500682.9907
300001.SZ,20210525,26.68,104071.0713,94472.3457,2776616.1823,2520522.1833
300001.SZ,20210524,26.88,104071.0713,94472.3457,2797430.3965,2539416.6524
300001.SZ,20210521,26.62,104071.0713,94472.3457,2770371.918,2514853.8425
300001.SZ,20210520,26.86,104071.0713,94472.3457,2795348.9751,2537527.2055
300001.SZ,20210519,25.45,104071.0713,94472.3457,2648608.7646,2404321.1981
300001.SZ,20210518,23.67,104071.0713,94472.3457,2463362.2577,2236160.4227
300001.SZ,20210517,24.61,104071.0713,94472.3457,2561189.0647,2324964.4277
300001.SZ,20210514,24.31,104071.0713,94472.3457,2529967.7433,2296622.724
300001.SZ,20210513,23.45,104071.0713,94472.3457,2440466.622,2215376.5067
300001.SZ,20210512,23.93,104071.0713,94472.3457,2490420.7362,2260723.2326
300001.SZ,20210511,23.85,104071.0713,94472.3457,2482095.0505,2253165.4449
300001.SZ,20210510,23.48,104071.0713,94472.3457,2443588.7541,2218210.677
300001.SZ,20210507,24.0,104071.0713,94472.3457,2497705.7112,2267336.2968
300001.SZ,20210506,24.47,104071.0713,94472.3457,2546619.1147,2311738.2993
300001.SZ,20210430,25.23,99757.0075,94472.3457,2516869.2992,2383537.282
300001.SZ,20210429,25.12,99757.0075,94472.3457,2505896.0284,2373145.324
300001.SZ,20210428,26.09,99757.0075,94472.3457,2602660.3257,2464783.4993
300001.SZ,20210427,25.38,99757.0075,94472.3457,2531832.8504,2397708.1339
300001.SZ,20210426,25.88,99757.0075,94472.3457,2581711.3541,2444944.3067
300001.SZ,20210423,26.3,99757.0075,94472.3457,2623609.2973,2484622.6919
300001.SZ,20210422,25.85,99757.0075,94472.3457,2578718.6439,2442110.1363
300001.SZ,20210421,25.61,99757.0075,94472.3457,2554776.9621,2419436.7734
300001.SZ,20210420,25.82,99757.0075,94472.3457,2575725.9337,2439275.966
300001.SZ,20210419,25.98,99757.0075,94472.3457,2591687.0549,2454391.5413
300001.SZ,20210416,23.98,99757.0075,94472.3457,2392173.0399,2265446.8499
300001.SZ,20210415,24.14,99757.0075,94472.3457,2408134.1611,2280562.4252
300001.SZ,20210414,24.04,99757.0075,94472.3457,2398158.4603,2271115.1906
300001.SZ,20210413,23.35,99757.0075,94472.3457,2329326.1251,2205929.2721
300001.SZ,20210412,23.57,99757.0075,94472.3457,2351272.6668,2226713.1881
300001.SZ,20210409,24.42,99757.0075,94472.3457,2436066.1232,2307014.682
300001.SZ,20210408,25.3,99757.0075,94472.3457,2523852.2898,2390150.3462
300001.SZ,20210407,25.5,99757.0075,94472.3457,2543803.6913,2409044.8154
300001.SZ,20210406,27.11,99757.0075,94472.3457,2704412.4733,2561145.2919
300001.SZ,20210402,28.0,99757.0075,94472.3457,2793196.21,2645225.6796
300001.SZ,20210401,26.39,99757.0075,94472.3457,2632587.4279,2493125.203
300001.SZ,20210331,25.36,99757.0075,94472.3457,2529837.7102,2395818.687
300001.SZ,20210330,25.94,99757.0075,94472.3457,2587696.7746,2450612.6475
300001.SZ,20210329,25.5,99757.0075,94472.3457,2543803.6913,2409044.8154
300001.SZ,20210326,26.25,99757.0075,94472.3457,2618621.4469,2479899.0746
300001.SZ,20210325,25.75,99757.0075,94472.3457,2568742.9431,2432662.9018
300001.SZ,20210324,25.35,99757.0075,94472.3457,2528840.1401,2394873.9635
300001.SZ,20210323,26.06,99757.0075,94472.3457,2599667.6155,2461949.3289
300001.SZ,20210322,26.72,99757.0075,94472.3457,2665507.2404,2524301.0771
300001.SZ,20210319,26.23,99757.0075,94472.3457,2616626.3067,2478009.6277
300001.SZ,20210318,26.29,99757.0075,94472.3457,2622611.7272,2483677.9685
