ts_code,trade_date,close,total_share,float_share,total_mv,circ_mv
300490.SZ,20210527,10.64,25617.1546,24500.1921,272566.5249,260682.0439
300490.SZ,20210526,10.32,25617.1546,24500.1921,264369.0355,252841.9825
300490.SZ,20210525,10.56,25617.1546,24500.1921,270517.1526,258722.0286
300490.SZ,20210524,10.31,25617.1546,24500.1921,264112.8639,252596.9806
300490.SZ,20210521,10.43,25617.1546,24500.1921,267186.9225,255537.0036
300490.SZ,20210520,10.46,25617.1546,24500.1921,267955.4371,256272.0094
300490.SZ,20210519,10.35,25617.1546,24500.1921,265137.5501,253576.9882
300490.SZ,20210518,9.48,25617.1546,24500.1921,242850.6256,232261.8211
300490.SZ,20210517,9.7,25617.1546,24500.1921,248486.3996,237651.8634
300490.SZ,20210514,9.3,25617.1546,24500.1921,238239.5378,227851.7865
300490.SZ,20210513,8.85,25617.1546,24500.1921,226711.8182,216826.7001
300490.SZ,20210512,8.87,25617.1546,24500.1921,227224.1613,217316.7039
300490.SZ,20210511,8.93,25617.1546,24500.1921,228761.1906,218786.7155
300490.SZ,20210510,8.86,25617.1546,24500.1921,226967.9898,217071.702
300490.SZ,20210507,8.8,25617.1546,24500.1921,225430.9605,215601.6905
300490.SZ,20210506,8.94,25617.1546,24500.1921,229017.3621,219031.7174
300490.SZ,20210430,8.82,25617.1546,24500.1921,225943.3036,216091.6943
300490.SZ,20210429,9.26,25617.1546,24500.1921,237214.8516,226871.7788
300490.SZ,20210428,8.74,25617.1546,24500.1921,223893.9312,214131.679
300490.SZ,20210427,8.7,25617.1546,24500.1921,222869.245,213151.6713
300490.SZ,20210426,9.13,25617.1546,24500.1921,233884.6215,223686.7539
300490.SZ,20210423,9.41,25617.1546,24500.1921,241057.4248,230546.8077
300490.SZ,20210422,9.15,25617.1546,24500.1921,234396.9646,224176.7577
300490.SZ,20210421,9.19,25617.1546,24500.1921,235421.6508,225156.7654
300490.SZ,20210420,9.39,25617.1546,24500.1921,240545.0817,230056.8038
300490.SZ,20210419,9.38,25617.1546,24500.1921,240288.9101,229811.8019
300490.SZ,20210416,9.07,25617.1546,24500.1921,232347.5922,222216.7423
300490.SZ,20210415,9.0,25617.1546,24500.1921,230554.3914,220501.7289
300490.SZ,20210414,9.2,25617.1546,24500.1921,235677.8223,225401.7673
300490.SZ,20210413,9.47,25617.1546,24500.1921,242594.4541,232016.8192
300490.SZ,20210412,9.17,25617.1546,24500.1921,234909.3077,224666.7616
300490.SZ,20210409,9.23,25617.1546,24500.1921,236446.337,226136.7731
300490.SZ,20210408,9.2,25617.1546,24500.1921,235677.8223,225401.7673
300490.SZ,20210407,9.45,25617.1546,24500.1921,242082.111,231526.8153
300490.SZ,20210406,9.38,25617.1546,24500.1921,240288.9101,229811.8019
300490.SZ,20210402,9.31,25617.1546,24500.1921,238495.7093,228096.7885
300490.SZ,20210401,9.75,25617.1546,24500.1921,249767.2574,238876.873
300490.SZ,20210331,10.06,25617.1546,24500.1921,257708.5753,246471.9325
300490.SZ,20210330,9.84,25617.1546,24500.1921,252072.8013,241081.8903
300490.SZ,20210329,10.23,25617.1546,24500.1921,262063.4916,250636.9652
300490.SZ,20210326,10.0,25617.1546,24500.1921,256171.546,245001.921
300490.SZ,20210325,9.57,25617.1546,24500.1921,245156.1695,234466.8384
300490.SZ,20210324,10.41,25617.1546,24500.1921,266674.5794,255046.9998
300490.SZ,20210323,10.34,25617.1546,24500.1921,264881.3786,253331.9863
300490.SZ,20210322,11.16,25617.1546,24500.1921,285887.4453,273422.1438
300490.SZ,20210319,10.69,25617.1546,24500.1921,273847.3827,261907.0535
300490.SZ,20210318,10.8,25617.1546,24500.1921,276665.2697,264602.0747
300490.SZ,20210317,10.97,25617.1546,24500.1921,281020.186,268767.1073
300490.SZ,20210316,11.39,25617.1546,24500.1921,291779.3909,279057.188
300490.SZ,20210315,10.32,25617.1546,24500.1921,264369.0355,252841.9825
300490.SZ,20210312,10.53,25617.1546,24500.1921,269748.6379,257987.0228
300490.SZ,20210311,10.15,25617.1546,24500.1921,260014.1192,248676.9498
300490.SZ,20210310,9.9,25617.1546,24500.1921,253609.8305,242551.9018
300490.SZ,20210309,8.96,25617.1546,24500.1921,229529.7052,219521.7212
300490.SZ,20210308,10.04,25617.1546,24500.1921,257196.2322,245981.9287
300490.SZ,20210305,9.6,25617.1546,24500.1921,245924.6842,235201.8442
300490.SZ,20210304,9.85,25617.1546,24500.1921,252328.9728,241326.8922
300490.SZ,20210303,9.38,25617.1546,24500.1921,240288.9101,229811.8019
300490.SZ,20210302,9.07,25617.1546,24500.1921,232347.5922,222216.7423
300490.SZ,20210301,9.06,25617.1546,24500.1921,232091.4207,221971.7404
300490.SZ,20210226,9.08,25617.1546,24500.1921,232603.7638,222461.7443
300490.SZ,20210225,8.76,25617.1546,24500.1921,224406.2743,214621.6828
300490.SZ,20210224,8.78,25617.1546,24500.1921,224918.6174,215111.6866
300490.SZ,20210223,8.68,25617.1546,24500.1921,222356.9019,212661.6674
300490.SZ,20210222,8.93,25617.1546,24500.1921,228761.1906,218786.7155
300490.SZ,20210219,8.45,25617.1546,24500.1921,216464.9564,207026.6232
300490.SZ,20210218,8.04,25617.1546,24500.1921,205961.923,196981.5445
300490.SZ,20210210,7.66,25617.1546,24500.1921,196227.4042,187671.4715
300490.SZ,20210209,7.55,25617.1546,24500.1921,193409.5172,184976.4504
300490.SZ,20210208,7.48,25617.1546,24500.1921,191616.3164,183261.4369
300490.SZ,20210205,7.72,25617.1546,24500.1921,197764.4335,189141.483
300490.SZ,20210204,7.75,25617.1546,24500.1921,198532.9482,189876.4888
300490.SZ,20210203,8.02,25617.1546,24500.1921,205449.5799,196491.5406
300490.SZ,20210202,8.15,25617.1546,24500.1921,208779.81,199676.5656
300490.SZ,20210201,8.29,25617.1546,24500.1921,212366.2116,203106.5925
300490.SZ,20210129,8.18,25617.1546,24500.1921,209548.3246,200411.5714
300490.SZ,20210128,8.49,25617.1546,24500.1921,217489.6426,208006.6309
300490.SZ,20210127,8.73,25617.1546,24500.1921,223637.7597,213886.677
300490.SZ,20210126,8.84,25617.1546,24500.1921,226455.6467,216581.6982
300490.SZ,20210125,9.0,25617.1546,24500.1921,230554.3914,220501.7289
300490.SZ,20210122,9.46,25617.1546,24500.1921,242338.2825,231771.8173
300490.SZ,20210121,9.68,25617.1546,24500.1921,247974.0565,237161.8595
300490.SZ,20210120,9.66,25617.1546,24500.1921,247461.7134,236671.8557
300490.SZ,20210119,9.41,25617.1546,24500.1921,241057.4248,230546.8077
300490.SZ,20210118,9.45,25617.1546,24500.1921,242082.111,231526.8153
300490.SZ,20210115,9.32,25617.1546,24500.1921,238751.8809,228341.7904
300490.SZ,20210114,8.82,25617.1546,24500.1921,225943.3036,216091.6943
300490.SZ,20210113,8.92,25617.1546,24500.1921,228505.019,218541.7135
300490.SZ,20210112,9.53,25617.1546,24500.1921,244131.4833,233486.8307
300490.SZ,20210111,9.73,25617.1546,24500.1921,249254.9143,238386.8691
300490.SZ,20210108,10.48,25617.1546,24500.1921,268467.7802,256762.0132
300490.SZ,20210107,11.24,25617.1546,24500.1921,287936.8177,275382.1592
300490.SZ,20210106,12.21,25617.1546,24500.1921,312785.4577,299147.3455
300490.SZ,20210105,12.02,25617.1546,24500.1921,307918.1983,294492.309
300490.SZ,20210104,11.77,25617.1546,24500.1921,301513.9096,288367.261
300490.SZ,20201231,11.38,25617.1546,24500.1921,291523.2193,278812.1861
300490.SZ,20201230,11.21,25617.1546,24500.1921,287168.3031,274647.1534
300490.SZ,20201229,11.29,25617.1546,24500.1921,289217.6754,276607.1688
300490.SZ,20201228,13.3,25617.1546,24500.1921,340708.1562,325852.5549
300490.SZ,20201225,13.93,25617.1546,24500.1921,356846.9636,341287.676
300490.SZ,20201224,13.72,25617.1546,24500.1921,351467.3611,336142.6356
300490.SZ,20201223,12.82,25617.1546,24500.1921,328411.922,314092.4627
300490.SZ,20201222,12.39,25617.1546,24500.1921,317396.5455,303557.3801
300490.SZ,20201221,13.25,25617.1546,24500.1921,339427.2985,324627.5453
300490.SZ,20201218,11.69,25617.1546,24500.1921,299464.5373,286407.2456
