ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
300160.SZ,20210528,6.1,1.2886,2.3974,,30.9417,35.1862,3.6683,2.933,2.8169,3.2787,,61850.2423,59313.405,31881.8216,377286.478,361811.7705
300160.SZ,20210527,6.2,1.1346,2.1108,1.16,31.449,35.763,3.7284,2.9811,2.8631,3.2258,,61850.2423,59313.405,31881.8216,383471.5023,367743.111
300160.SZ,20210526,6.18,1.198,2.2288,1.32,31.3475,35.6477,3.7164,2.9715,2.8538,3.2362,3.2362,61850.2423,59313.405,31881.8216,382234.4974,366556.8429
300160.SZ,20210525,6.14,0.7257,0.7257,0.79,31.1446,35.4169,3.6923,2.9523,2.8354,3.2573,3.2573,61850.2423,59313.405,59313.405,379760.4877,364184.3067
300160.SZ,20210524,6.12,0.8063,0.8063,0.75,31.0432,35.3016,3.6803,2.9426,2.8261,3.268,3.268,61850.2423,59313.405,59313.405,378523.4829,362998.0386
300160.SZ,20210521,6.01,1.0525,1.0525,0.94,30.4852,34.6671,3.6141,2.8898,2.7753,3.3278,3.3278,61850.2423,59313.405,59313.405,371719.9562,356473.5641
300160.SZ,20210520,6.09,1.1226,2.1524,0.91,30.891,35.1285,3.6622,2.9282,2.8123,3.2841,3.2841,61850.2423,59313.405,30935.1966,376667.9756,361218.6365
300160.SZ,20210519,6.22,0.8473,1.6246,0.6,31.5504,35.8784,3.7404,2.9907,2.8723,3.2154,3.2154,61850.2423,59313.405,30935.1966,384708.5071,368929.3791
300160.SZ,20210518,6.17,0.7764,1.4886,0.44,31.2968,35.59,3.7104,2.9667,2.8492,3.2415,3.2415,61850.2423,59313.405,30935.1966,381615.995,365963.7089
300160.SZ,20210517,6.18,1.5464,2.965,0.91,31.3475,35.6477,3.7164,2.9715,2.8538,3.2362,3.2362,61850.2423,59313.405,30935.1966,382234.4974,366556.8429
300160.SZ,20210514,6.38,1.2826,2.4593,0.68,32.362,36.8013,3.8366,3.0677,2.9462,3.1348,3.1348,61850.2423,59313.405,30935.1966,394604.5459,378419.5239
300160.SZ,20210513,6.34,1.7084,3.2756,1.0,32.1591,36.5706,3.8126,3.0484,2.9277,3.1546,3.1546,61850.2423,59313.405,30935.1966,392130.5362,376046.9877
300160.SZ,20210512,6.35,1.7468,3.3492,1.07,32.2098,36.6283,3.8186,3.0532,2.9323,3.1496,3.1496,61850.2423,59313.405,30935.1966,392749.0386,376640.1218
