ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
002375.SZ,20210528,6.92,0.4775,1.0262,,29.2081,27.9651,1.107,0.8596,0.825,0.4651,0.4651,133999.6498,133099.1211,61930.3183,927277.5766,921045.918
002375.SZ,20210527,6.94,0.4641,0.9974,0.89,29.2925,28.0459,1.1102,0.8621,0.8274,0.4638,0.4638,133999.6498,133099.1211,61930.3183,929957.5696,923707.9004
002375.SZ,20210526,6.89,0.2948,0.6336,0.49,29.0815,27.8439,1.1022,0.8559,0.8214,0.4672,0.4672,133999.6498,133099.1211,61930.3183,923257.5871,917052.9444
002375.SZ,20210525,6.91,0.5514,1.1851,0.8,29.1659,27.9247,1.1054,0.8584,0.8238,0.4658,0.4658,133999.6498,133099.1211,61930.3183,925937.5801,919714.9268
002375.SZ,20210524,6.94,0.5879,1.2634,0.81,29.2925,28.0459,1.1102,0.8621,0.8274,0.4638,0.4638,133999.6498,133099.1211,61930.3183,929957.5696,923707.9004
002375.SZ,20210521,6.74,0.4772,1.0256,0.55,28.4484,27.2377,1.0782,0.8372,0.8035,0.4776,0.4776,133999.6498,133099.1211,61930.3183,903157.6397,897088.0762
002375.SZ,20210520,6.79,0.7093,1.5245,0.74,28.6594,27.4397,1.0862,0.8434,0.8095,0.474,0.474,133999.6498,133099.1211,61930.3183,909857.6221,903743.0323
002375.SZ,20210519,7.0,0.6607,1.42,0.7,29.5458,28.2884,1.1198,0.8695,0.8345,0.4598,0.4598,133999.6498,133099.1211,61930.3183,937997.5486,931693.8477
002375.SZ,20210518,6.94,1.0229,2.1984,1.17,29.2925,28.0459,1.1102,0.8621,0.8274,0.4638,0.4638,133999.6498,133099.1211,61930.3183,929957.5696,923707.9004
002375.SZ,20210517,6.71,0.7574,1.6277,0.8,28.3218,27.1164,1.0734,0.8335,0.8,0.4797,0.4797,133999.6498,133099.1211,61930.3183,899137.6502,893095.1026
002375.SZ,20210514,6.76,1.201,2.5811,1.26,28.5328,27.3185,1.0814,0.8397,0.8059,0.4761,0.4761,133999.6498,133099.1211,61930.3183,905837.6326,899750.0586
002375.SZ,20210513,6.45,1.1223,2.4121,1.23,27.2243,26.0657,1.0318,0.8012,0.769,0.499,0.499,133999.6498,133099.1211,61930.3183,864297.7412,858489.3311
002375.SZ,20210512,6.66,0.6446,1.3854,0.73,28.1107,26.9144,1.0654,0.8273,0.794,0.4833,0.4833,133999.6498,133099.1211,61930.3183,892437.6677,886440.1465
002375.SZ,20210511,6.66,0.6353,1.3654,0.62,28.1107,26.9144,1.0654,0.8273,0.794,0.4833,0.4833,133999.6498,133099.1211,61930.3183,892437.6677,886440.1465
