ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
002822.SZ,20210528,5.77,1.0097,1.4532,,16.111,15.4863,1.2341,0.7458,0.6882,0.6634,0.6634,72144.5836,63666.4523,44235.4257,416274.2474,367355.4298
002822.SZ,20210527,5.83,0.9596,1.3811,1.18,16.2785,15.6473,1.247,0.7536,0.6953,0.6566,0.6566,72144.5836,63666.4523,44235.4257,420602.9224,371175.4169
002822.SZ,20210526,5.83,0.8887,1.2791,1.13,16.2785,15.6473,1.247,0.7536,0.6953,0.6566,0.6566,72144.5836,63666.4523,44235.4257,420602.9224,371175.4169
002822.SZ,20210525,5.81,0.8416,1.2112,1.06,16.2227,15.5936,1.2427,0.751,0.693,0.6589,0.6589,72144.5836,63666.4523,44235.4257,419160.0307,369902.0879
002822.SZ,20210524,5.79,0.9696,1.3955,0.87,16.1668,15.54,1.2384,0.7484,0.6906,0.6611,0.6611,72144.5836,63666.4523,44235.4257,417717.139,368628.7588
002822.SZ,20210521,5.84,0.5212,0.7502,0.34,16.3065,15.6741,1.2491,0.7549,0.6965,0.6555,0.6555,72144.5836,63666.4523,44235.4257,421324.3682,371812.0814
002822.SZ,20210520,5.84,0.8441,1.2149,0.55,16.3065,15.6741,1.2491,0.7549,0.6965,0.6555,0.6555,72144.5836,63666.4523,44235.4257,421324.3682,371812.0814
002822.SZ,20210519,5.85,0.7504,1.0801,0.5,16.3344,15.701,1.2513,0.7562,0.6977,0.6544,0.6544,72144.5836,63666.4523,44235.4257,422045.8141,372448.746
002822.SZ,20210518,5.88,0.8917,1.2834,0.61,16.4181,15.7815,1.2577,0.76,0.7013,0.651,0.651,72144.5836,63666.4523,44235.4257,424210.1516,374358.7395
002822.SZ,20210517,5.88,2.5345,3.6478,2.31,16.4181,15.7815,1.2577,0.76,0.7013,0.651,0.651,72144.5836,63666.4523,44235.4257,424210.1516,374358.7395
002822.SZ,20210514,6.1,2.726,3.9234,3.87,17.0324,16.372,1.3047,0.7885,0.7275,0.6275,0.6275,72144.5836,63666.4523,44235.4257,440081.96,388365.359
002822.SZ,20210513,5.77,0.707,1.0176,0.81,16.111,15.4863,1.2341,0.7458,0.6882,0.6634,0.6634,72144.5836,63666.4523,44235.4257,416274.2474,367355.4298
002822.SZ,20210512,5.86,0.6308,0.9079,0.58,16.3623,15.7278,1.2534,0.7575,0.6989,0.6532,0.6532,72144.5836,63666.4523,44235.4257,422767.2599,373085.4105
002822.SZ,20210511,5.78,0.6763,0.9733,0.56,16.1389,15.5131,1.2363,0.7471,0.6894,0.6623,0.6623,72144.5836,63666.4523,44235.4257,416995.6932,367992.0943
002822.SZ,20210510,5.73,0.739,1.0637,0.53,15.9993,15.3789,1.2256,0.7406,0.6834,0.6681,0.6681,72144.5836,63666.4523,44235.4257,413388.464,364808.7717
002822.SZ,20210507,5.8,0.7727,1.1121,0.54,16.1948,15.5668,1.2406,0.7497,0.6918,0.66,0.66,72144.5836,63666.4523,44235.4257,418438.5849,369265.4233
002822.SZ,20210506,5.89,1.562,2.2481,1.06,16.4461,15.8083,1.2598,0.7613,0.7025,0.6499,0.6499,72144.5836,63666.4523,44235.4257,424931.5974,374995.404
002822.SZ,20210430,5.69,1.6901,2.4325,1.12,15.8876,15.2716,1.217,0.7355,0.6786,0.6728,0.6728,72144.5836,63666.4523,44235.4257,410502.6807,362262.1136
002822.SZ,20210429,5.87,1.3118,1.8881,0.77,16.3902,15.7547,1.2555,0.7587,0.7001,0.6521,0.6521,72144.5836,63666.4523,44235.4257,423488.7057,373722.075
002822.SZ,20210428,5.93,1.651,2.3763,0.94,16.5577,16.5577,1.2787,0.7665,0.7665,0.6455,0.6455,72144.5836,63666.4523,44235.4257,427817.3807,377542.0621
002822.SZ,20210427,6.02,0.9352,1.3461,0.45,17.5402,15.2386,1.2877,0.8938,0.7929,0.6359,0.6359,72144.5836,63666.4523,44235.4257,434310.3933,383272.0428
002822.SZ,20210426,5.99,1.7458,2.5127,0.83,17.4528,15.1627,1.2813,0.8894,0.789,0.6391,0.6391,72144.5836,63666.4523,44235.4257,432146.0558,381362.0493
002822.SZ,20210423,6.14,1.9224,2.7668,0.83,17.8898,15.5424,1.3134,0.9116,0.8087,0.6235,0.6235,72144.5836,63666.4523,44235.4257,442967.7433,390912.0171
002822.SZ,20210422,6.28,2.3061,3.3192,1.09,18.2977,15.8968,1.3433,0.9324,0.8272,0.6096,0.6096,72144.5836,63666.4523,44235.4257,453067.985,399825.3204
002822.SZ,20210421,6.2,1.8656,2.6852,0.87,18.0646,15.6943,1.3262,0.9205,0.8166,0.6174,0.6174,72144.5836,63666.4523,44235.4257,447296.4183,394732.0043
002822.SZ,20210420,6.39,2.599,3.7407,1.42,18.6182,16.1752,1.3668,0.9487,0.8417,0.5991,0.5991,72144.5836,63666.4523,44235.4257,461003.8892,406828.6302
002822.SZ,20210419,6.41,1.8436,2.6535,1.03,18.6765,16.2259,1.3711,0.9517,0.8443,0.5972,0.5972,72144.5836,63666.4523,44235.4257,462446.7809,408101.9592
002822.SZ,20210416,6.45,2.9959,4.3119,2.23,18.793,16.3271,1.3797,0.9577,0.8496,0.5935,0.5935,72144.5836,63666.4523,44235.4257,465332.5642,410648.6173
002822.SZ,20210415,6.38,1.2755,1.8358,0.89,18.5891,16.1499,1.3647,0.9473,0.8403,0.6,0.6,72144.5836,63666.4523,44235.4257,460282.4434,406191.9657
002822.SZ,20210414,6.37,1.9996,2.8779,1.64,18.5599,16.1246,1.3626,0.9458,0.839,0.6009,0.6009,72144.5836,63666.4523,44235.4257,459560.9975,405555.3012
002822.SZ,20210413,6.2,1.0488,1.5096,0.88,18.0646,15.6943,1.3262,0.9205,0.8166,0.6174,0.6174,72144.5836,63666.4523,44235.4257,447296.4183,394732.0043
002822.SZ,20210412,6.26,1.6162,2.3262,1.51,18.2394,15.8462,1.339,0.9294,0.8245,0.6115,0.6115,72144.5836,63666.4523,44235.4257,451625.0933,398551.9914
002822.SZ,20210409,6.12,0.7837,1.1279,0.67,17.8315,15.4918,1.3091,0.9087,0.8061,0.6255,0.6255,72144.5836,63666.4523,44235.4257,441524.8516,389638.6881
002822.SZ,20210408,6.11,1.7266,2.485,1.63,17.8024,15.4665,1.3069,0.9072,0.8048,0.6265,0.6265,72144.5836,63666.4523,44235.4257,440803.4058,389002.0236
002822.SZ,20210407,6.31,0.9272,1.3345,0.83,18.3851,15.9727,1.3497,0.9369,0.8311,0.6067,0.6067,72144.5836,63666.4523,44235.4257,455232.3225,401735.314
002822.SZ,20210406,6.29,0.8723,1.2554,0.73,18.3268,15.9221,1.3454,0.9339,0.8285,0.6086,0.6086,72144.5836,63666.4523,44235.4257,453789.4308,400461.985
002822.SZ,20210402,6.26,1.0553,1.5189,0.8,18.2394,15.8462,1.339,0.9294,0.8245,0.6115,0.6115,72144.5836,63666.4523,44235.4257,451625.0933,398551.9914
002822.SZ,20210401,6.22,1.2257,1.7641,0.89,18.1229,15.7449,1.3305,0.9235,0.8193,0.6154,0.6154,72144.5836,63666.4523,44235.4257,448739.31,396005.3333
002822.SZ,20210331,6.3,1.2034,1.7321,0.85,18.356,15.9474,1.3476,0.9354,0.8298,0.6076,0.6076,72144.5836,63666.4523,44235.4257,454510.8767,401098.6495
002822.SZ,20210330,6.27,1.2268,1.7657,0.8,18.2686,15.8715,1.3412,0.9309,0.8258,0.6105,0.6105,72144.5836,63666.4523,44235.4257,452346.5392,399188.6559
002822.SZ,20210329,6.34,1.2372,1.7807,0.71,18.4725,16.0487,1.3561,0.9413,0.8351,0.6038,0.6038,72144.5836,63666.4523,44235.4257,457396.66,403645.3076
002822.SZ,20210326,6.44,1.7332,2.4945,0.94,18.7639,16.3018,1.3775,0.9562,0.8482,0.5944,0.5944,72144.5836,63666.4523,44235.4257,464611.1184,410011.9528
002822.SZ,20210325,6.38,1.4517,2.0893,0.69,18.5891,16.1499,1.3647,0.9473,0.8403,0.6,0.6,72144.5836,63666.4523,44235.4257,460282.4434,406191.9657
002822.SZ,20210324,6.36,1.4675,2.1121,0.7,18.5308,16.0993,1.3604,0.9443,0.8377,0.6019,0.6019,72144.5836,63666.4523,44235.4257,458839.5517,404918.6366
002822.SZ,20210323,6.47,1.8103,2.6054,0.88,18.8513,16.3777,1.384,0.9606,0.8522,0.5917,0.5917,72144.5836,63666.4523,44235.4257,466775.4559,411921.9464
002822.SZ,20210322,6.49,2.2243,3.2014,1.19,18.9096,16.4284,1.3882,0.9636,0.8548,0.5898,0.5898,72144.5836,63666.4523,44235.4257,468218.3476,413195.2754
002822.SZ,20210319,6.45,2.2204,3.1957,1.38,18.793,16.3271,1.3797,0.9577,0.8496,0.5935,0.5935,72144.5836,63666.4523,44235.4257,465332.5642,410648.6173
002822.SZ,20210318,6.4,2.763,3.9767,2.18,18.6473,16.2005,1.369,0.9502,0.843,0.5981,0.5981,72144.5836,63666.4523,44235.4257,461725.335,407465.2947
002822.SZ,20210317,6.23,1.5057,2.1671,1.06,18.152,15.7702,1.3326,0.925,0.8206,0.6144,0.6144,72144.5836,63666.4523,44235.4257,449460.7558,396641.9978
002822.SZ,20210316,6.16,1.6144,2.3236,1.01,17.9481,15.593,1.3176,0.9146,0.8114,0.6214,0.6214,72144.5836,63666.4523,44235.4257,444410.635,392185.3462
002822.SZ,20210315,5.93,1.2506,1.7999,0.73,17.2779,15.0108,1.2684,0.8804,0.7811,0.6455,0.6455,72144.5836,63666.4523,44235.4257,427817.3807,377542.0621
002822.SZ,20210312,6.04,0.9139,1.3153,0.49,17.5984,15.2893,1.292,0.8968,0.7956,0.6338,0.6338,72144.5836,63666.4523,44235.4257,435753.2849,384545.3719
002822.SZ,20210311,6.11,1.0424,1.5003,0.55,17.8024,15.4665,1.3069,0.9072,0.8048,0.6265,0.6265,72144.5836,63666.4523,44235.4257,440803.4058,389002.0236
002822.SZ,20210310,6.04,2.2825,3.2851,1.23,17.5984,15.2893,1.292,0.8968,0.7956,0.6338,0.6338,72144.5836,63666.4523,44235.4257,435753.2849,384545.3719
002822.SZ,20210309,6.33,2.5364,3.6505,1.5,18.4434,16.0234,1.354,0.9398,0.8338,0.6047,0.6047,72144.5836,63666.4523,44235.4257,456675.2142,403008.6431
002822.SZ,20210308,6.28,1.7817,2.5643,1.03,18.2977,15.8968,1.3433,0.9324,0.8272,0.6096,0.6096,72144.5836,63666.4523,44235.4257,453067.985,399825.3204
002822.SZ,20210305,6.53,1.6026,2.3066,0.88,19.0261,16.5296,1.3968,0.9695,0.8601,0.5862,0.5862,72144.5836,63666.4523,44235.4257,471104.1309,415741.9335
002822.SZ,20210304,6.53,1.2179,1.7528,0.58,19.0261,16.5296,1.3968,0.9695,0.8601,0.5862,0.5862,72144.5836,63666.4523,44235.4257,471104.1309,415741.9335
002822.SZ,20210303,6.57,2.1474,3.0907,1.01,19.1427,16.6309,1.4053,0.9755,0.8654,0.5826,0.5826,72144.5836,63666.4523,44235.4257,473989.9143,418288.5916
002822.SZ,20210302,6.41,1.7175,2.4968,0.81,18.6765,16.2259,1.3711,0.9517,0.8443,0.5972,0.5972,72144.5836,62254.6876,42823.661,462446.7809,399052.5475
002822.SZ,20210301,6.57,2.09,3.0383,0.97,19.1427,16.6309,1.4053,0.9755,0.8654,0.5826,0.5826,72144.5836,62254.6876,42823.661,473989.9143,409013.2975
