ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
000027.SZ,20210506,8.79,2.6719,10.3014,1.52,10.4962,9.8503,1.5344,2.0444,1.8523,0.474,0.474,475738.9916,475738.9916,123393.2166,4181745.7362,4181745.7362
000027.SZ,20210430,8.47,1.8372,7.0832,1.01,10.1141,9.4917,1.4786,1.97,1.7848,0.4919,0.4919,475738.9916,475738.9916,123393.2166,4029509.2589,4029509.2589
000027.SZ,20210429,8.69,1.83,6.9833,1.04,10.3768,10.3768,1.5332,2.0212,2.0212,0.4795,0.4795,475738.9916,475738.9916,124668.8147,4134171.837,4134171.837
000027.SZ,20210428,8.62,1.4907,5.6884,0.75,10.2932,10.2932,1.5208,2.0049,2.0049,0.4834,0.4834,475738.9916,475738.9916,124668.8147,4100870.1076,4100870.1076
000027.SZ,20210427,8.68,1.9797,7.5546,0.9,10.3648,10.3648,1.5314,2.0188,2.0188,0.48,0.48,475738.9916,475738.9916,124668.8147,4129414.4471,4129414.4471
000027.SZ,20210426,8.91,1.6644,6.3512,0.71,10.6395,10.6395,1.572,2.0723,2.0723,0.4676,0.4676,475738.9916,475738.9916,124668.8147,4238834.4152,4238834.4152
000027.SZ,20210423,9.04,2.1467,8.1917,0.94,10.7947,10.7947,1.5949,2.1026,2.1026,0.4609,0.4609,475738.9916,475738.9916,124668.8147,4300680.4841,4300680.4841
000027.SZ,20210422,9.12,1.4795,5.6457,0.59,10.8902,10.8902,1.6091,2.1212,2.1212,0.4569,0.4569,475738.9916,475738.9916,124668.8147,4338739.6034,4338739.6034
000027.SZ,20210421,9.15,2.6136,9.9734,1.03,10.9261,10.9261,1.6144,2.1281,2.1281,0.4554,0.4554,475738.9916,475738.9916,124668.8147,4353011.7731,4353011.7731
000027.SZ,20210420,9.68,3.0415,11.6065,1.08,11.5589,11.5589,1.7079,2.2514,2.2514,0.4304,0.4304,475738.9916,475738.9916,124668.8147,4605153.4387,4605153.4387
000027.SZ,20210419,9.47,2.383,9.0934,0.68,26.4825,11.3082,1.1867,2.1642,2.2026,0.44,0.44,475738.9916,475738.9916,124668.8147,4505248.2505,4505248.2505
000027.SZ,20210416,9.39,1.8857,7.1957,0.48,26.2588,11.2127,1.1767,2.1459,2.184,0.4437,0.4437,475738.9916,475738.9916,124668.8147,4467189.1311,4467189.1311
