ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
603628.SH,20210528,7.74,0.8105,2.3901,,30.9712,28.5098,2.1854,2.3534,2.2946,,,27380.0,27380.0,9284.9055,211921.2,211921.2
603628.SH,20210527,7.86,0.5613,1.6584,1.07,31.4514,28.9518,2.2193,2.3899,2.3302,,,27380.0,27380.0,9267.4755,215206.8,215206.8
603628.SH,20210526,7.89,0.5449,1.6099,1.05,31.5715,29.0623,2.2278,2.399,2.3391,,,27380.0,27380.0,9267.4755,216028.2,216028.2
603628.SH,20210525,7.84,0.49,1.4476,0.96,31.3714,28.8782,2.2136,2.3838,2.3243,,,27380.0,27380.0,9267.4755,214659.2,214659.2
603628.SH,20210524,7.81,0.4586,1.3548,0.83,31.2513,28.7677,2.2052,2.3747,2.3154,,,27380.0,27380.0,9267.4755,213837.8,213837.8
603628.SH,20210521,7.87,0.4732,1.398,0.84,31.4914,28.9887,2.2221,2.393,2.3332,,,27380.0,27380.0,9267.4755,215480.6,215480.6
603628.SH,20210520,7.78,0.668,1.9735,1.11,31.1313,28.6571,2.1967,2.3656,2.3065,,,27380.0,27380.0,9267.4755,213016.4,213016.4
603628.SH,20210519,7.78,0.5069,1.4977,0.88,31.1313,28.6571,2.1967,2.3656,2.3065,,,27380.0,27380.0,9267.4755,213016.4,213016.4
603628.SH,20210518,7.83,0.4453,1.3155,0.75,31.3314,28.8413,2.2108,2.3808,2.3213,,,27380.0,27380.0,9267.4755,214385.4,214385.4
603628.SH,20210517,7.81,0.6827,2.0169,1.14,31.2513,28.7677,2.2052,2.3747,2.3154,,,27380.0,27380.0,9267.4755,213837.8,213837.8
603628.SH,20210514,8.0,0.5297,1.5649,0.89,32.0116,29.4675,2.2588,2.4325,2.3717,,,27380.0,27380.0,9267.4755,219040.0,219040.0
603628.SH,20210513,7.92,0.8326,2.4598,1.62,31.6915,29.1728,2.2362,2.4082,2.348,,,27380.0,27380.0,9267.4755,216849.6,216849.6
603628.SH,20210512,8.08,0.3893,1.1502,0.68,32.3317,29.7622,2.2814,2.4568,2.3954,,,27380.0,27380.0,9267.4755,221230.4,221230.4
603628.SH,20210511,8.13,0.5473,1.6169,1.0,32.5318,29.9464,2.2955,2.472,2.4103,,,27380.0,27380.0,9267.4755,222599.4,222599.4
603628.SH,20210510,8.2,0.6917,2.0445,1.37,32.8119,30.2042,2.3153,2.4933,2.431,,,27380.0,27380.0,9262.8955,224516.0,224516.0
603628.SH,20210507,8.0,0.5118,1.5128,0.96,32.0116,29.4675,2.2588,2.4325,2.3717,,,27380.0,27380.0,9262.8955,219040.0,219040.0
603628.SH,20210506,8.01,0.4277,1.2642,0.75,32.0516,29.5043,2.2616,2.4355,2.3747,,,27380.0,27380.0,9262.8955,219313.8,219313.8
603628.SH,20210430,7.92,0.6907,2.0416,1.17,31.6915,29.1728,2.2362,2.4082,2.348,,,27380.0,27380.0,9262.8955,216849.6,216849.6
603628.SH,20210429,8.04,0.4035,1.1928,0.62,32.1717,29.6148,2.2701,2.4447,2.3836,,,27380.0,27380.0,9262.8955,220135.2,220135.2
603628.SH,20210428,8.05,0.4892,1.4638,0.75,32.2117,29.6517,2.2729,2.4477,2.3865,,,27380.0,27380.0,9149.8955,220409.0,220409.0
603628.SH,20210427,8.11,0.6535,1.9555,0.98,,,2.3592,1.7763,2.0236,,,27380.0,27380.0,9149.8955,222051.8,222051.8
