ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
002309.SZ,20210528,5.19,1.8645,2.3684,,,,0.7984,0.5009,0.4657,,,87178.7068,69827.6564,54971.4527,452457.4883,362405.5367
002309.SZ,20210527,5.25,2.0364,2.5867,0.97,,,0.8076,0.5067,0.4711,,,87178.7068,69827.6564,54971.4527,457688.2107,366595.1961
002309.SZ,20210526,5.15,1.6594,2.1079,0.83,,,0.7922,0.497,0.4622,,,87178.7068,69827.6564,54971.4527,448970.34,359612.4305
002309.SZ,20210525,5.09,1.6093,2.0442,0.81,,,0.783,0.4912,0.4568,,,87178.7068,69827.6564,54971.4527,443739.6176,355422.7711
002309.SZ,20210524,5.1,1.8472,2.3464,0.94,,,0.7846,0.4922,0.4577,,,87178.7068,69827.6564,54971.4527,444611.4047,356121.0476
002309.SZ,20210521,5.12,2.5054,3.1825,1.3,,,0.7876,0.4941,0.4595,,,87178.7068,69827.6564,54971.4527,446354.9788,357517.6008
002309.SZ,20210520,5.0,2.8383,3.6054,1.68,,,0.7692,0.4825,0.4487,,,87178.7068,69827.6564,54971.4527,435893.534,349138.282
002309.SZ,20210519,4.86,1.232,1.565,0.74,,,0.7476,0.469,0.4361,,,87178.7068,69827.6564,54971.4527,423688.515,339362.4101
002309.SZ,20210518,4.84,1.5413,1.9579,0.97,,,0.7446,0.4671,0.4343,,,87178.7068,69827.6564,54971.4527,421944.9409,337965.857
002309.SZ,20210517,4.79,1.7301,2.1977,1.15,,,0.7369,0.4623,0.4298,,,87178.7068,69827.6564,54971.4527,417586.0056,334474.4742
002309.SZ,20210514,4.92,2.319,2.9458,1.78,,,0.7569,0.4748,0.4415,,,87178.7068,69827.6564,54971.4527,428919.2375,343552.0695
002309.SZ,20210513,4.76,1.6003,2.0327,1.15,,,0.7323,0.4594,0.4272,,,87178.7068,69827.6564,54971.4527,414970.6444,332379.6445
002309.SZ,20210512,4.83,1.159,1.4722,0.78,,,0.743,0.4661,0.4334,,,87178.7068,69827.6564,54971.4527,421073.1538,337267.5804
002309.SZ,20210511,4.86,1.1453,1.4548,0.68,,,0.7476,0.469,0.4361,,,87178.7068,69827.6564,54971.4527,423688.515,339362.4101
002309.SZ,20210510,4.91,1.2847,1.6318,0.76,,,0.7553,0.4738,0.4406,,,87178.7068,69827.6564,54971.4527,428047.4504,342853.7929
002309.SZ,20210507,4.85,1.3302,1.6897,0.79,,,0.7461,0.4681,0.4352,,,87178.7068,69827.6564,54971.4527,422816.728,338664.1335
002309.SZ,20210506,4.82,2.0552,2.6106,1.3,,,0.7415,0.4652,0.4325,,,87178.7068,69827.6564,54971.4527,420201.3668,336569.3038
002309.SZ,20210430,4.56,1.588,2.0171,1.05,,,0.7015,0.4401,0.4092,,,87178.7068,69827.6564,54971.4527,397534.903,318414.1132
002309.SZ,20210429,4.63,2.2064,2.8027,1.78,,,0.7175,0.4468,0.4468,,,87178.7068,69827.6564,54971.4527,403637.4125,323302.0491
002309.SZ,20210428,4.49,1.2559,1.5953,1.1,,,0.6959,0.4333,0.4333,,,87178.7068,69827.6564,54971.4527,391432.3935,313526.1772
002309.SZ,20210427,4.46,1.2819,1.6283,1.15,71.1794,,0.6675,0.3288,0.4316,,,87178.7068,69827.6564,54971.4527,388817.0323,311431.3475
002309.SZ,20210426,4.61,1.6005,2.033,1.49,73.5733,,0.69,0.3399,0.4461,,,87178.7068,69827.6564,54971.4527,401893.8383,321905.496
002309.SZ,20210423,4.69,1.2197,1.5493,1.09,74.8501,,0.7019,0.3458,0.4538,,,87178.7068,69827.6564,54971.4527,408868.1349,327491.7085
002309.SZ,20210422,4.8,0.8424,1.0701,0.74,76.6056,,0.7184,0.3539,0.4645,,,87178.7068,69827.6564,54971.4527,418457.7926,335172.7507
002309.SZ,20210421,4.79,0.7524,0.9557,0.63,76.446,,0.7169,0.3531,0.4635,,,87178.7068,69827.6564,54971.4527,417586.0056,334474.4742
002309.SZ,20210420,4.86,1.1472,1.4572,0.99,77.5632,,0.7274,0.3583,0.4703,,,87178.7068,69827.6564,54971.4527,423688.515,339362.4101
002309.SZ,20210419,4.87,1.4244,1.8093,1.35,77.7228,,0.7289,0.359,0.4713,,,87178.7068,69827.6564,54971.4527,424560.3021,340060.6867
002309.SZ,20210416,4.9,1.434,1.8216,1.58,78.2016,,0.7334,0.3612,0.4742,,,87178.7068,69827.6564,54971.4527,427175.6633,342155.5164
002309.SZ,20210415,4.77,0.9072,1.1524,0.91,76.1269,,0.7139,0.3517,0.4616,,,87178.7068,69827.6564,54971.4527,415842.4314,333077.921
002309.SZ,20210414,4.78,1.0988,1.3958,1.11,76.2865,,0.7154,0.3524,0.4625,,,87178.7068,69827.6564,54971.4527,416714.2185,333776.1976
002309.SZ,20210413,4.7,0.9136,1.1605,0.73,75.0097,,0.7034,0.3465,0.4548,,,87178.7068,69827.6564,54971.4527,409739.922,328189.9851
002309.SZ,20210412,4.72,0.9309,1.1825,0.73,75.3289,,0.7064,0.348,0.4567,,,87178.7068,69827.6564,54971.4527,411483.4961,329586.5382
002309.SZ,20210409,4.78,0.6745,0.8568,0.47,76.2865,,0.7154,0.3524,0.4625,,,87178.7068,69827.6564,54971.4527,416714.2185,333776.1976
002309.SZ,20210408,4.77,1.3645,1.7333,0.93,76.1269,,0.7139,0.3517,0.4616,,,87178.7068,69827.6564,54971.4527,415842.4314,333077.921
002309.SZ,20210407,4.89,1.0825,1.375,0.66,78.042,,0.7319,0.3605,0.4732,,,87178.7068,69827.6564,54971.4527,426303.8763,341457.2398
002309.SZ,20210406,4.91,2.2171,2.8162,1.39,78.3612,,0.7349,0.362,0.4751,,,87178.7068,69827.6564,54971.4527,428047.4504,342853.7929
002309.SZ,20210402,4.74,1.0399,1.3209,0.57,75.6481,,0.7094,0.3494,0.4587,,,87178.7068,69827.6564,54971.4527,413227.0702,330983.0913
002309.SZ,20210401,4.75,1.4244,1.8094,0.68,75.8077,,0.7109,0.3502,0.4596,,,87178.7068,69827.6564,54971.4527,414098.8573,331681.3679
002309.SZ,20210331,4.76,1.5863,2.0149,0.64,75.9673,,0.7124,0.3509,0.4606,,,87178.7068,69827.6564,54971.4527,414970.6444,332379.6445
002309.SZ,20210330,4.72,1.9617,2.4919,0.65,75.3289,,0.7064,0.348,0.4567,,,87178.7068,69827.6564,54971.4527,411483.4961,329586.5382
002309.SZ,20210329,4.9,1.9524,2.4801,0.54,78.2016,,0.7334,0.3612,0.4742,,,87178.7068,69827.6564,54971.4527,427175.6633,342155.5164
002309.SZ,20210326,4.88,2.1221,2.6957,0.47,77.8824,,0.7304,0.3598,0.4722,,,87178.7068,69827.6564,54971.4527,425432.0892,340758.9632
002309.SZ,20210325,4.88,2.7865,3.5395,0.48,77.8824,,0.7304,0.3598,0.4722,,,87178.7068,69827.6564,54971.4527,425432.0892,340758.9632
002309.SZ,20210324,5.15,3.6173,4.5949,0.58,82.1915,,0.7708,0.3797,0.4984,,,87178.7068,69827.6564,54971.4527,448970.34,359612.4305
002309.SZ,20210323,5.02,4.6189,5.8672,0.74,80.1167,,0.7513,0.3701,0.4858,,,87178.7068,69827.6564,54971.4527,437637.1081,350534.8351
002309.SZ,20210322,5.35,5.0667,6.436,0.91,85.3834,,0.8007,0.3944,0.5177,,,87178.7068,69827.6564,54971.4527,466406.0814,373577.9617
002309.SZ,20210319,5.37,6.501,8.2579,1.45,85.7026,,0.8037,0.3959,0.5196,,,87178.7068,69827.6564,54971.4527,468149.6555,374974.5149
002309.SZ,20210318,5.47,9.1654,11.6424,2.99,87.2985,,0.8187,0.4033,0.5293,,,87178.7068,69827.6564,54971.4527,476867.5262,381957.2805
002309.SZ,20210317,5.92,6.0135,7.6387,2.6,94.4803,,0.886,0.4364,0.5729,,,87178.7068,69827.6564,54971.4527,516097.9443,413379.7259
002309.SZ,20210316,5.38,4.3984,5.587,2.16,85.8622,,0.8052,0.3966,0.5206,,,87178.7068,69827.6564,54971.4527,469021.4426,375672.7914
002309.SZ,20210315,4.89,1.6169,2.0538,0.85,78.042,,0.7319,0.3605,0.4732,,,87178.7068,69827.6564,54971.4527,426303.8763,341457.2398
002309.SZ,20210312,4.75,1.1894,1.5109,0.65,75.8077,,0.7109,0.3502,0.4596,,,87178.7068,69827.6564,54971.4527,414098.8573,331681.3679
002309.SZ,20210311,4.75,2.1194,2.6922,1.28,75.8077,,0.7109,0.3502,0.4596,,,87178.7068,69827.6564,54971.4527,414098.8573,331681.3679
002309.SZ,20210310,4.55,2.2278,2.8299,1.59,72.6158,,0.681,0.3354,0.4403,,,87178.7068,69827.6564,54971.4527,396663.1159,317715.8366
002309.SZ,20210309,4.9,3.0291,3.8477,3.04,78.2016,,0.7334,0.3612,0.4742,,,87178.7068,69827.6564,54971.4527,427175.6633,342155.5164
002309.SZ,20210308,4.73,0.9428,1.1976,0.9,75.4885,,0.7079,0.3487,0.4577,,,87178.7068,69827.6564,54971.4527,412355.2832,330284.8148
002309.SZ,20210305,4.75,0.8582,1.0901,0.74,75.8077,,0.7109,0.3502,0.4596,,,87178.7068,69827.6564,54971.4527,414098.8573,331681.3679
002309.SZ,20210304,4.74,1.1898,1.5113,1.06,75.6481,,0.7094,0.3494,0.4587,,,87178.7068,69827.6564,54971.4527,413227.0702,330983.0913
002309.SZ,20210303,4.63,0.9691,1.231,0.79,73.8925,,0.693,0.3413,0.448,,,87178.7068,69827.6564,54971.4527,403637.4125,323302.0491
002309.SZ,20210302,4.56,1.0168,1.2916,0.81,72.7754,,0.6825,0.3362,0.4413,,,87178.7068,69827.6564,54971.4527,397534.903,318414.1132
002309.SZ,20210301,4.56,1.2199,1.5496,0.9,72.7754,,0.6825,0.3362,0.4413,,,87178.7068,69827.6564,54971.4527,397534.903,318414.1132
