ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
300490.SZ,20210528,10.98,10.7046,19.4384,,93.5694,58.7228,1.4963,2.42,2.152,0.2733,0.4555,25617.1546,24500.1921,13492.0399,281276.3575,269012.1093
300490.SZ,20210527,10.64,7.9938,14.5159,0.95,90.6719,56.9044,1.45,2.3451,2.0854,0.2821,0.47,25617.1546,24500.1921,13492.0399,272566.5249,260682.0439
300490.SZ,20210526,10.32,6.3086,11.4558,0.62,87.945,55.193,1.4064,2.2746,2.0227,0.2908,0.4846,25617.1546,24500.1921,13492.0399,264369.0355,252841.9825
300490.SZ,20210525,10.56,7.9389,14.4163,0.77,89.9902,56.4766,1.4391,2.3275,2.0697,0.2842,0.4736,25617.1546,24500.1921,13492.0399,270517.1526,258722.0286
300490.SZ,20210524,10.31,7.1104,12.9117,0.61,87.8598,55.1395,1.405,2.2724,2.0207,0.2911,0.4851,25617.1546,24500.1921,13492.0399,264112.8639,252596.9806
300490.SZ,20210521,10.43,7.8986,14.3431,0.71,88.8824,55.7813,1.5257,2.2988,2.0442,0.2878,0.2878,25617.1546,24500.1921,13492.0399,267186.9225,255537.0036
300490.SZ,20210520,10.46,12.8666,23.3645,1.42,89.138,55.9417,1.5301,2.3054,2.0501,0.2869,0.2869,25617.1546,24500.1921,13492.0399,267955.4371,256272.0094
300490.SZ,20210519,10.35,14.9686,27.1814,2.34,88.2006,55.3534,1.514,2.2812,2.0286,0.29,0.29,25617.1546,24500.1921,13492.0399,265137.5501,253576.9882
300490.SZ,20210518,9.48,8.719,15.8329,1.75,80.7867,50.7005,1.3868,2.0894,1.858,0.3166,0.3166,25617.1546,24500.1921,13492.0399,242850.6256,232261.8211
300490.SZ,20210517,9.7,13.9419,25.317,5.47,82.6615,51.8771,1.4189,2.1379,1.9012,0.3094,0.3094,25617.1546,24500.1921,13492.0399,248486.3996,237651.8634
300490.SZ,20210514,9.3,5.1894,9.4234,2.72,79.2527,49.7379,1.3604,2.0498,1.8228,0.3227,0.3227,25617.1546,24500.1921,13492.0399,238239.5378,227851.7865
300490.SZ,20210513,8.85,2.3289,4.229,1.25,75.4179,47.3312,1.2946,1.9506,1.7346,0.3391,0.3391,25617.1546,24500.1921,13492.0399,226711.8182,216826.7001
300490.SZ,20210512,8.87,1.8093,3.2856,0.75,75.5884,47.4382,1.2975,1.955,1.7385,0.3384,0.3384,25617.1546,24500.1921,13492.0399,227224.1613,217316.7039
300490.SZ,20210511,8.93,1.6076,2.9193,0.46,76.0997,47.7591,1.3063,1.9682,1.7502,0.3361,0.3361,25617.1546,24500.1921,13492.0399,228761.1906,218786.7155
300490.SZ,20210510,8.86,1.8097,3.2863,0.53,75.5031,47.3847,1.2961,1.9528,1.7365,0.3387,0.3387,25617.1546,24500.1921,13492.0399,226967.9898,217071.702
300490.SZ,20210507,8.8,1.9684,3.5745,0.52,74.9918,47.0638,1.2873,1.9395,1.7248,0.3411,0.3411,25617.1546,24500.1921,13492.0399,225430.9605,215601.6905
300490.SZ,20210506,8.94,2.1573,3.9175,0.51,76.1849,47.8125,1.3078,1.9704,1.7522,0.3357,0.3357,25617.1546,24500.1921,13492.0399,229017.3621,219031.7174
300490.SZ,20210430,8.82,4.5937,8.3417,1.05,75.1623,47.1708,1.2902,1.944,1.7287,0.3403,0.3403,25617.1546,24500.1921,13492.0399,225943.3036,216091.6943
300490.SZ,20210429,9.26,6.9002,12.53,1.98,78.9119,49.524,1.3546,2.0409,1.8149,0.3241,0.3241,25617.1546,24500.1921,13492.0399,237214.8516,226871.7788
300490.SZ,20210428,8.74,1.4765,2.6812,0.4,74.4805,46.7429,1.2785,1.9263,1.713,0.3434,0.3434,25617.1546,24500.1921,13492.0399,223893.9312,214131.679
300490.SZ,20210427,8.7,3.9283,7.1334,1.12,74.1397,46.529,1.2727,1.9175,1.7052,0.345,0.345,25617.1546,24500.1921,13492.0399,222869.245,213151.6713
300490.SZ,20210426,9.13,4.3166,7.8385,1.27,77.804,77.804,1.3381,2.0123,2.0123,0.3287,0.3287,25617.1546,24500.1921,13492.0399,233884.6215,223686.7539
300490.SZ,20210423,9.41,5.3156,9.6525,1.96,80.1901,80.1901,1.3791,2.074,2.074,0.3189,0.3189,25617.1546,24500.1921,13492.0399,241057.4248,230546.8077
300490.SZ,20210422,9.15,2.3565,4.2792,0.82,77.9745,77.9745,1.341,2.0167,2.0167,0.328,0.328,25617.1546,24500.1921,13492.0399,234396.9646,224176.7577
300490.SZ,20210421,9.19,2.3957,4.3503,0.74,78.3153,78.3153,1.3469,2.0255,2.0255,0.3266,0.3266,25617.1546,24500.1921,13492.0399,235421.6508,225156.7654
300490.SZ,20210420,9.39,3.1524,5.7245,0.82,80.0197,80.0197,1.3762,2.0696,2.0696,0.3196,0.3196,25617.1546,24500.1921,13492.0399,240545.0817,230056.8038
300490.SZ,20210419,9.38,3.7989,6.8984,1.02,79.9345,79.9345,1.3748,2.0674,2.0674,0.32,0.32,25617.1546,24500.1921,13492.0399,240288.9101,229811.8019
300490.SZ,20210416,9.07,1.8748,3.4045,0.5,77.2927,77.2927,1.3293,1.9991,1.9991,0.3309,0.3309,25617.1546,24500.1921,13492.0399,232347.5922,222216.7423
