ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
300320.SZ,20210528,5.46,1.4997,1.811,,16.7866,14.9654,1.7471,1.4504,1.3804,1.0256,0.696,60123.4191,48815.194,40423.5874,328273.8683,266530.9592
300320.SZ,20210527,5.42,1.8404,2.2224,1.36,16.6636,14.8558,1.7343,1.4398,1.3703,1.0332,0.7011,60123.4191,48815.194,40423.5874,325868.9315,264578.3515
300320.SZ,20210526,5.44,2.2265,2.6887,1.94,16.7251,14.9106,1.7407,1.4451,1.3753,1.0294,1.7279,60123.4191,48815.194,40423.5874,327071.3999,265554.6554
300320.SZ,20210525,5.28,1.0817,1.3062,0.97,16.2332,14.4721,1.6895,1.4026,1.3349,1.0606,1.7803,60123.4191,48815.194,40423.5874,317451.6528,257744.2243
300320.SZ,20210524,5.3,1.0339,1.2486,0.81,16.2946,14.5269,1.6755,1.4079,1.3399,1.0566,1.0566,60123.4191,48815.194,40423.5874,318654.1212,258720.5282
300320.SZ,20210521,5.27,0.948,1.1448,0.58,16.2024,14.4447,1.666,1.4,1.3323,1.0626,1.0626,60123.4191,48815.194,40423.5874,316850.4187,257256.0724
300320.SZ,20210520,5.26,1.4915,1.8011,0.94,16.1717,14.4173,1.6629,1.3973,1.3298,1.0646,1.0646,60123.4191,48815.194,40423.5874,316249.1845,256767.9204
300320.SZ,20210519,5.37,1.1778,1.4223,0.74,16.5099,14.7188,1.6977,1.4265,1.3576,1.0428,1.0428,60123.4191,48815.194,40423.5874,322862.7606,262137.5918
300320.SZ,20210518,5.47,0.9282,1.1209,0.55,16.8173,14.9929,1.7293,1.4531,1.3829,1.0238,1.0238,60123.4191,48815.194,40423.5874,328875.1025,267019.1112
300320.SZ,20210517,5.44,1.8021,2.1762,1.14,16.7251,14.9106,1.7198,1.4451,1.3753,1.0294,1.0294,60123.4191,48815.194,40423.5874,327071.3999,265554.6554
