ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
600496.SH,20210528,4.19,1.4526,1.9812,,13.0131,12.9037,1.2117,0.7344,0.7093,0.4937,0.4937,201287.4349,201287.4349,147580.4745,843394.3522,843394.3522
600496.SH,20210527,4.21,0.7705,1.0509,0.65,13.0752,12.9653,1.2175,0.7379,0.7127,0.4914,0.4914,201287.4349,201287.4349,147580.4745,847420.1009,847420.1009
600496.SH,20210526,4.2,0.9477,1.2926,0.79,13.0442,12.9345,1.2146,0.7362,0.711,0.4925,0.4925,201287.4349,201287.4349,147580.4745,845407.2266,845407.2266
600496.SH,20210525,4.2,1.0641,1.4513,0.93,13.0442,12.9345,1.2146,0.7362,0.711,0.4925,0.4925,201287.4349,201287.4349,147580.4745,845407.2266,845407.2266
600496.SH,20210524,4.21,0.8569,1.1688,0.71,13.0752,12.9653,1.2175,0.7379,0.7127,0.4914,0.4914,201287.4349,201287.4349,147580.4745,847420.1009,847420.1009
600496.SH,20210521,4.23,0.969,0.969,0.77,13.1373,13.0269,1.2233,0.7414,0.7161,0.4891,0.4891,201287.4349,201287.4349,201287.4349,851445.8496,851445.8496
600496.SH,20210520,4.27,2.0819,2.8396,2.05,13.2616,13.1501,1.2349,0.7484,0.7228,0.4845,0.4845,201287.4349,201287.4349,147580.4745,859497.347,859497.347
600496.SH,20210519,4.15,1.0256,1.3988,0.96,12.8889,12.7806,1.2001,0.7274,0.7025,0.4985,0.4985,201287.4349,201287.4349,147580.4745,835342.8548,835342.8548
600496.SH,20210518,4.2,0.7985,1.0891,0.68,13.0442,12.9345,1.2146,0.7362,0.711,0.4925,0.4925,201287.4349,201287.4349,147580.4745,845407.2266,845407.2266
600496.SH,20210517,4.2,1.1745,1.6019,0.8,13.0442,12.9345,1.2146,0.7362,0.711,0.4925,0.4925,201287.4349,201287.4349,147580.4745,845407.2266,845407.2266
